AvgSpotLen	BioSample	Experiment	LibraryLayout	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	barcode	c1_batch_id	c1_chip_size	c1_machine_id	c1_plate_coordinate	dilution_plate_coordinate	dob	ercc_spike_in_dilution	experimental_condition	expt_condition	facs_selection	index_set	lane	library_plate_coordinate	library_plate_id	number_of_animals	sequencing_run_id	sex_type	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	genetic_background	source_name	visual_qc
50	SAMN06468780	SRX2607928	SINGLE	54	38	SRR5306721	SRS2020341	GSM2517054	P21	N701_S513	GBC08A	medium	Frodo	49	A4	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	A1	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468783	SRX2607929	SINGLE	61	44	SRR5306722	SRS2020342	GSM2517055	P21	N701_S515	GBC08A	medium	Frodo	51	A6	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	B1	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468781	SRX2607930	SINGLE	32	24	SRR5306723	SRS2020339	GSM2517056	P21	N701_S516	GBC08A	medium	Frodo	6	A7	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	C1	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468782	SRX2607931	SINGLE	68	48	SRR5306724	SRS2020345	GSM2517057	P21	N701_S517	GBC08A	medium	Frodo	5	A8	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	D1	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468779	SRX2607932	SINGLE	67	47	SRR5306725	SRS2020343	GSM2517058	P21	N701_S518	GBC08A	medium	Frodo	53	A11	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	E1	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468778	SRX2607933	SINGLE	62	44	SRR5306726	SRS2020346	GSM2517059	P21	N701_S520	GBC08A	medium	Frodo	54	A12	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	F1	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468777	SRX2607934	SINGLE	51	37	SRR5306727	SRS2020344	GSM2517060	P21	N701_S521	GBC08A	medium	Frodo	7	B3	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	G1	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468776	SRX2607935	SINGLE	70	49	SRR5306728	SRS2020348	GSM2517061	P21	N701_S522	GBC08A	medium	Frodo	11	B8	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	H1	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468775	SRX2607936	SINGLE	56	40	SRR5306729	SRS2020349	GSM2517062	P21	N702_S513	GBC08A	medium	Frodo	59	B11	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	A2	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468773	SRX2607937	SINGLE	28	21	SRR5306730	SRS2020347	GSM2517063	P21	N702_S515	GBC08A	medium	Frodo	15	C1	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	B2	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
