BioSample	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	source_name	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	cell_type	develpmental_stage
SAMN07278134	SRX2956642	2017-06-26	54	23	SRR5756528	SRS2313845	GSM2684108	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278135	SRX2956643	2017-06-26	72	30	SRR5756529	SRS2313846	GSM2684109	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278133	SRX2956644	2017-06-26	62	27	SRR5756530	SRS2313847	GSM2684110	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278132	SRX2956645	2017-06-26	120	51	SRR5756531	SRS2313848	GSM2684111	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278130	SRX2956646	2017-06-26	47	19	SRR5756532	SRS2313850	GSM2684112	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278010	SRX2956647	2017-06-26	92	39	SRR5756533	SRS2313849	GSM2684113	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278137	SRX2956648	2017-06-26	60	25	SRR5756534	SRS2313851	GSM2684114	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278136	SRX2956649	2017-06-26	109	46	SRR5756535	SRS2313852	GSM2684115	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278059	SRX2956650	2017-06-26	72	30	SRR5756536	SRS2313853	GSM2684116	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278058	SRX2956651	2017-06-26	124	53	SRR5756537	SRS2313854	GSM2684117	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278139	SRX2956652	2017-06-26	101	43	SRR5756538	SRS2313855	GSM2684118	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278013	SRX2956653	2017-06-26	174	74	SRR5756539	SRS2313856	GSM2684119	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278012	SRX2956654	2017-06-26	58	25	SRR5756540	SRS2313857	GSM2684120	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278011	SRX2956655	2017-06-26	120	50	SRR5756541	SRS2313858	GSM2684121	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
