AvgSpotLen	BioSample	Experiment	Instrument	MBases	MBytes	Run	SRA_Sample	Sample_Name	cells_in_well	control_well	debris	hour_post_serum_switch	library_protocol	source_name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	cell_type
200	SAMN02413229	SRX379603	Illumina HiSeq 2500	249	152	SRR1032913	SRS504061	GSM1268963	2	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_A	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413240	SRX379604	Illumina HiSeq 2500	357	216	SRR1032914	SRS504062	GSM1268964	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_A	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413230	SRX379605	Illumina HiSeq 2500	621	376	SRR1032915	SRS504063	GSM1268965	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_A	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413236	SRX379606	Illumina HiSeq 2500	573	347	SRR1032916	SRS504064	GSM1268966	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_A	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413237	SRX379607	Illumina HiSeq 2500	363	221	SRR1032917	SRS504065	GSM1268967	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_A	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413241	SRX379608	Illumina HiSeq 2500	238	143	SRR1032918	SRS504066	GSM1268968	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_A	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413244	SRX379609	Illumina HiSeq 2500	484	295	SRR1032919	SRS504067	GSM1268969	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_A	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413245	SRX379610	Illumina HiSeq 2500	975	589	SRR1032920	SRS504068	GSM1268970	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_A	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413239	SRX379611	Illumina HiSeq 2500	197	120	SRR1032921	SRS504069	GSM1268971	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_A	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413243	SRX379612	Illumina HiSeq 2500	792	477	SRR1032922	SRS504070	GSM1268972	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_B	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413247	SRX379613	Illumina HiSeq 2500	797	478	SRR1032923	SRS504071	GSM1268973	~250	TRUE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_B	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413249	SRX379614	Illumina HiSeq 2500	398	240	SRR1032924	SRS504073	GSM1268974	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_B	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413242	SRX379615	Illumina HiSeq 2500	0	0	SRR1032925	SRS504072	GSM1268975	0	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_B	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
