	C_score	pval
0610010K14Rik_1	0.1123125302353376	0.2079207920792079
0610010K14Rik_2	0.08821583055958282	0.3465346534653465
0610010K14Rik_3	0.08198767938857676	0.3069306930693069
0610010K14Rik_4	0.04508459502555362	0.9504950495049505
0610010K14Rik_6	0.04916871935121603	0.8514851485148515
1110038B12Rik_1	0.23050615032913613	0.009900990099009901
1110038B12Rik_8	0.07459130426314253	0.5445544554455446
1110059E24Rik_3	0.1353679176672653	0.12871287128712872
1110059G10Rik_1	0.09163379220847867	0.45544554455445546
1810032O08Rik_1	0.11772402976509777	0.24752475247524752
1810043G02Rik_4	0.36186066171043063	0.009900990099009901
2410002F23Rik_1	0.2499819102196459	0.009900990099009901
2410002F23Rik_10	0.21984126012039262	0.009900990099009901
2410002F23Rik_11	0.19928973000678551	0.009900990099009901
2410002F23Rik_2	0.2780042423188863	0.009900990099009901
2410002F23Rik_3	0.23136056439567265	0.009900990099009901
2410002F23Rik_5	0.15908833421823154	0.019801980198019802
2410004B18Rik_nmdSE_1	0.11391669501145163	0.039603960396039604
2610318N02Rik_1	0.17190849101084094	0.009900990099009901
2700097O09Rik_1	0.0476338222164322	0.7920792079207921
2700099C18Rik_1	0.09451275707461304	0.5346534653465347
3110009E18Rik_1	0.06257482067255549	0.8118811881188119
4833439L19Rik_2	0.05845112671509778	0.7821782178217822
4833439L19Rik_4	0.12893995268349778	0.16831683168316833
5530601H04Rik_1	0.11028818317180455	0.4158415841584158
9430038I01Rik_1	0.1382241878014231	0.04950495049504951
9430038I01Rik_2	0.12506637433713697	0.3564356435643564
A430005L14Rik_1	0.10518457063096287	0.2079207920792079
Aamdc_12	0.11693838883563845	0.5643564356435643
Aamdc_4	0.1779955696316533	0.10891089108910891
Aar2_2	0.14471236364457596	0.13861386138613863
Aar2_3	0.12184166173274513	0.36633663366336633
Abcd3_1	0.08382579891093578	0.8613861386138614
Abhd10_2	0.14725154161108733	0.09900990099009901
Abhd10_3	0.08720837108674351	0.48514851485148514
Abhd14a_1	0.08037127067053318	0.43564356435643564
Abhd14a_4	0.07528739474895851	0.5643564356435643
Abi1_2	0.23677189116006903	0.009900990099009901
Abi1_5	0.6165894231967739	0.009900990099009901
Abtb1_3	0.15374325269229505	0.12871287128712872
Acadvl_1	0.1543307238177254	0.12871287128712872
Acd_1	0.2030553884264672	0.009900990099009901
Acin1_2	0.169821465539166	0.009900990099009901
Acin1_8	0.19821164241562483	0.009900990099009901
Acly_1	0.12047144411644417	0.0297029702970297
Acot8_1	0.16607315959027902	0.019801980198019802
Actr3b_5	0.19956606120496467	0.009900990099009901
Add1_1	0.40667604278121416	0.009900990099009901
Add1_3	0.43950637283437033	0.009900990099009901
Add1_4	0.15512593437132793	0.0891089108910891
Add1_9	0.5410312710125689	0.009900990099009901
Add3_1	0.6161918390521953	0.009900990099009901
Adpgk_1	0.1277578657488352	0.19801980198019803
Adprm_2	0.16564211402160334	0.039603960396039604
Aen_1	0.0807516861848564	0.5742574257425742
Aen_2	0.07565615248747537	0.5544554455445545
Akap2_1	0.1306437258179135	0.0891089108910891
Akap9_6	0.3964006814999187	0.009900990099009901
Aktip_1	0.09480543400626262	0.6435643564356436
Aktip_2	0.13494325340232993	0.37623762376237624
Aldoa_1	0.36188084625926364	0.009900990099009901
Alg13_10	0.12431089905699688	0.06930693069306931
Alg3_1	0.11917463928167082	0.22772277227722773
Alg3_3	0.22459511571913648	0.009900990099009901
Alg3_5	0.11805761119199998	0.039603960396039604
Alg3_6	0.14951591815649568	0.09900990099009901
Alkbh1_nmdSE_1	0.16239906980847896	0.0594059405940594
Alkbh3_1	0.12055266600850512	0.0891089108910891
Alkbh3_2	0.13125214337729707	0.0891089108910891
Alkbh7_1	0.08105801287441217	0.4752475247524752
Amn1_1	0.13930750295987537	0.009900990099009901
Anapc15_3	0.15870816082889183	0.06930693069306931
Anapc16_1	0.15337898405335204	0.0594059405940594
Anapc16_2	0.09719834092644897	0.12871287128712872
Anapc16_4	0.09267878370681482	0.3564356435643564
Angel2_2	0.07477533785351886	0.8613861386138614
Ankra2_1	0.11513183524971948	0.1188118811881188
Ankrd10_nmdSE_1	0.21513316701425245	0.009900990099009901
Ankrd10_nmdSE_2	0.24465254738339481	0.009900990099009901
Ankrd17_2	0.12083323166257454	0.5148514851485149
Anks3_12	0.008744725070840897	1.0
Anxa6_1	0.14517751167915416	0.07920792079207921
Ap2b1_2	0.17069833299693193	0.019801980198019802
Aplp2_2	0.16552647946114707	0.009900990099009901
Arfgap1_2	0.18323409274902525	0.039603960396039604
Arfgap1_4	0.16296627090220583	0.1782178217821782
Arfgap1_7	0.15179967708167963	0.297029702970297
Arfrp1_17	0.1962006320496419	0.009900990099009901
Arhgap1_4	0.2011170081457333	0.009900990099009901
Armc8_2	0.17780228451815083	0.009900990099009901
Armcx1_2	0.23441940267771488	0.009900990099009901
Armcx1_3	0.22174113019674102	0.009900990099009901
Armcx1_5	0.21151649955108798	0.009900990099009901
Asph_7	0.7353722346772199	0.009900990099009901
Aspscr1_1	0.07599924765916322	0.5247524752475248
Atat1_6	0.2686403970314519	0.009900990099009901
Atf2_7	0.1473398112400658	0.07920792079207921
Atg13_1	0.39578069055005394	0.009900990099009901
Atg13_4	0.076207911856219	0.7029702970297029
Atg16l1_2	0.21637449847876378	0.009900990099009901
Atp5g2_1	0.2633634311395877	0.009900990099009901
Atp5h_4	0.12195470582384693	0.0891089108910891
Atp5j_1	0.264439239357556	0.009900990099009901
Atp5s_1	0.10464882740559045	0.5742574257425742
Atp6v1h_1	0.3497543864927365	0.009900990099009901
Atrx_10	0.1179452730427819	0.1485148514851485
Atrx_3	0.049822230023954694	0.8514851485148515
Atrx_4	0.11759647891128133	0.039603960396039604
Atrx_5	0.10114070177977708	0.25742574257425743
Atxn2_1	0.10633806980529625	0.31683168316831684
Atxn2_2	0.14667926205740944	0.07920792079207921
Azi2_4	0.19870842155037594	0.009900990099009901
Azin1_1	0.0893960490556821	0.5148514851485149
B4galt3_1	0.13346044146213343	0.37623762376237624
