	C_score	pvals
0610010K14Rik_1	0.006115334322823962	0.7623762376237624
0610010K14Rik_2	0.004901102474348273	0.8366336633663366
0610010K14Rik_3	0.03677986727651761	0.019801980198019802
0610010K14Rik_4	0.0026223713719267794	0.8861386138613861
0610010K14Rik_6	0.011782484370106094	0.6485148514851485
1110038B12Rik_6	0.032854752012117294	0.3069306930693069
1110059E24Rik_3	0.005489915546464941	0.8415841584158416
1110059G10Rik_1	0.022847427974346468	0.6881188118811881
1810058I24Rik_2	0.03602824740682076	0.5198019801980198
2410002F23Rik_5	0.0261727128664222	0.15841584158415842
2410004B18Rik_nmdSE_1	0.01353574124141721	0.6089108910891089
2410006H16Rik_1	0.10372043216530258	0.06435643564356436
2610318N02Rik_1	0.04851380934397864	0.0049504950495049506
2700062C07Rik_1	0.008944933247945763	0.8316831683168316
2700099C18Rik_1	0.017581019496599626	0.693069306930693
2700099C18Rik_2	0.032742293593771565	0.14356435643564355
4833439L19Rik_2	0.027777316019997778	0.41089108910891087
4833439L19Rik_24	0.0841243427063939	0.054455445544554455
4833439L19Rik_4	0.06180713880130473	0.14356435643564355
4933434E20Rik_2	0.0838491399442367	0.039603960396039604
5530601H04Rik_1	0.04798144589791298	0.01485148514851485
5530601H04Rik_9	0.03762631609100697	0.6386138613861386
Aar2_2	0.030547051954836868	0.41089108910891087
Aar2_3	0.02378760127587709	0.3811881188118812
Aasdhppt_2	0.026459367480499152	0.4603960396039604
Aasdhppt_4	0.062513256842193	0.1188118811881188
Abcb8_3	0.07479382916003696	0.2079207920792079
Abcd4_7	0.04224725636566762	0.2623762376237624
Abhd10_2	0.0186714762880974	0.7376237623762376
Abhd10_3	0.03009919946444728	0.4752475247524752
Abhd14a_4	0.1041176471837556	0.07425742574257425
Abhd17a_2	0.0209637980075571	0.6534653465346535
Acly_1	0.013153122430247355	0.5495049504950495
Acot8_1	0.0004238611242876056	0.9851485148514851
Acsl3_2	0.01779291267622829	0.19306930693069307
Actr6_1	0.04644024836812599	0.3712871287128713
Adprm_2	0.02013917318602787	0.6237623762376238
Aldoa_1	0.021631938058072953	0.2722772277227723
Aldoa_2	0.14837486043791281	0.009900990099009901
Alg3_1	0.041953632627497184	0.22277227722772278
Alg3_5	0.04674877011047618	0.054455445544554455
Alg3_6	0.05500300318141349	0.22772277227722773
Alkbh1_2	0.05045737301134812	0.400990099009901
Alkbh3_1	0.016442286240651693	0.29207920792079206
Alkbh7_1	0.06922928253489402	0.16831683168316833
Anapc16_2	0.06194328442478447	0.0049504950495049506
Angel2_2	0.02631315858070149	0.38613861386138615
Ankra2_1	0.020533753483344186	0.6584158415841584
Ankrd10_nmdSE_1	0.028531859686548366	0.39603960396039606
Ankrd54_2	0.04037578943032594	0.4405940594059406
Aplp2_2	0.03207613494998329	0.039603960396039604
Arfgap1_2	0.03627159078780351	0.5544554455445545
Atat1_6	0.04124283438022347	0.01485148514851485
Atf2_2	0.008452612162202056	0.8663366336633663
Atf2_6	0.008688557266075203	0.7376237623762376
Atf2_7	0.01729154736849492	0.5495049504950495
Atf2_8	0.056735911978817	0.27722772277227725
Atp5h_4	0.014101515659168506	0.6683168316831684
Atp5j_1	0.08494444719913752	0.0049504950495049506
Atp6v1h_1	0.01568309480895891	0.6435643564356436
Atrx_10	0.018261077337210607	0.4900990099009901
Atrx_4	0.006240011891880393	0.7376237623762376
Atrx_5	0.010062013357695632	0.7623762376237624
B9d1_2	0.07022000862887423	0.13861386138613863
BC004004_1	0.025804357680533907	0.6534653465346535
BC004004_4	0.023037876453702477	0.6782178217821783
Bag2_1	0.11228657993362845	0.04455445544554455
Bag6_1	0.05994883582724986	0.024752475247524754
Banp_1	0.007478074766889331	0.7277227722772277
Banp_3	0.03102913741097635	0.18316831683168316
Bbx_3	0.06846090843600205	0.28217821782178215
Bbx_5	0.000503018991358406	0.9851485148514851
Bcl2l12_2	0.048759687775007166	0.14356435643564355
Bcl2l12_4	0.08080371317003143	0.019801980198019802
Bclaf1_nmdSE_1	0.0020489248672435068	0.9603960396039604
Birc5_1	0.12869589630455924	0.009900990099009901
Bnip2_2	0.0546103705056149	0.3465346534653465
Bpnt1_3	0.057177859003604614	0.0049504950495049506
Brd2_nmdSE_1	0.015000586985530084	0.5643564356435643
Brd4_5	0.032760370507277536	0.034653465346534656
Brd4_nmdSE_1	0.017760327546213373	0.7475247524752475
Brd8_1	0.009202665532226262	0.5742574257425742
Btrc_5	0.006014306847179629	0.7970297029702971
Cacul1_1	0.050622112497639704	0.06930693069306931
Cad_1	0.014499778833835908	0.806930693069307
