	C_score	pvals
0610010K14Rik_1	0.015680442328209976	0.2524752475247525
0610010K14Rik_2	0.005293919681461423	0.7079207920792079
0610010K14Rik_3	0.06162983894320251	0.0049504950495049506
0610010K14Rik_4	0.026080887372428974	0.09405940594059406
0610010K14Rik_6	0.05573643499796144	0.01485148514851485
1110038B12Rik_1	0.14359971204438793	0.0049504950495049506
1110038B12Rik_8	0.024584139020447093	0.5099009900990099
1110059E24Rik_3	0.04508286910566428	0.019801980198019802
1110059G10Rik_1	0.04042796805019122	0.2871287128712871
1300002E11Rik_7	0.024767315776712873	0.40594059405940597
2410002F23Rik_1	0.08942674198634737	0.0049504950495049506
2410002F23Rik_10	0.051810447662590464	0.039603960396039604
2410002F23Rik_11	0.04977612581016666	0.0297029702970297
2410002F23Rik_2	0.06373049225881267	0.0049504950495049506
2410002F23Rik_3	0.06701672065114106	0.0049504950495049506
2410004B18Rik_nmdSE_1	0.05326870150067986	0.009900990099009901
2410018L13Rik_1	0.014616780274724905	0.6683168316831684
2610318N02Rik_1	0.05218343032507877	0.01485148514851485
2700099C18Rik_1	0.026607740704687632	0.039603960396039604
3110009E18Rik_1	0.02880306541707478	0.43564356435643564
4833439L19Rik_2	0.014876331068749638	0.5742574257425742
4833439L19Rik_4	0.010050513471272615	0.7722772277227723
5530601H04Rik_1	0.010686206806965859	0.5148514851485149
9430038I01Rik_1	0.022300607590664767	0.37623762376237624
9430038I01Rik_2	0.04455146257966436	0.08415841584158416
A430005L14Rik_1	0.028097367986804844	0.3564356435643564
Aamdc_12	0.0069640688003228535	0.6782178217821783
Aamdc_4	0.01759768847599985	0.5594059405940595
Aar2_2	0.001160173102287887	0.9653465346534653
Aar2_3	0.00017407472157338066	0.9801980198019802
Abcd3_1	0.013403939865419323	0.5742574257425742
Abhd10_2	0.0799488494508449	0.04455445544554455
Abhd14a_1	0.015885489048762302	0.2079207920792079
Abhd14a_4	0.023830528134745177	0.21782178217821782
Abi1_2	0.106089634131599	0.009900990099009901
Abi1_5	0.37577582350526806	0.0049504950495049506
Acin1_8	0.026565090569953376	0.20297029702970298
Acly_1	0.0055914667275968055	0.6732673267326733
Acot8_1	0.09309506562122194	0.0049504950495049506
Add1_3	0.11863262544057107	0.0049504950495049506
Add1_9	0.1715469326058705	0.0049504950495049506
Add3_1	0.38225178609355215	0.0049504950495049506
Adpgk_1	0.033136245900517336	0.39603960396039606
Adprm_2	0.07664258958331949	0.0049504950495049506
Akap2_1	1.7058894146271264e-05	0.995049504950495
Akap9_6	0.15991168320344007	0.0049504950495049506
Aldoa_1	0.23083991088101652	0.0049504950495049506
Alg13_10	0.09514966519039447	0.009900990099009901
Alg3_1	0.010941621627835407	0.6881188118811881
Alg3_3	0.03080371593536546	0.38613861386138615
Alg3_6	0.02083335592426483	0.594059405940594
Alkbh1_nmdSE_1	0.014993016132431647	0.36633663366336633
Alkbh3_1	0.053944894946941435	0.01485148514851485
Alkbh3_2	0.02389083630635014	0.034653465346534656
Alkbh7_1	0.024000594348613014	0.4306930693069307
Anapc15_3	0.035332158274269165	0.2722772277227723
Anapc16_1	0.025199404922333635	0.054455445544554455
Anapc16_4	0.03130506270339262	0.30198019801980197
Angel2_2	0.03453364418071203	0.3069306930693069
Ankra2_1	0.009870442527148415	0.7079207920792079
Ankrd10_nmdSE_1	0.017993517716035634	0.21782178217821782
Ankrd10_nmdSE_2	0.09474571530747422	0.0049504950495049506
Ankrd17_2	0.01901368044464935	0.18316831683168316
Anks3_12	0.028687519464062228	0.5643564356435643
Anxa6_1	0.06334622002351031	0.0049504950495049506
Ap2b1_2	0.025474505068601938	0.04950495049504951
Aplp2_2	0.044707410257531666	0.0049504950495049506
Apobec3_2	0.11073113083937547	0.0049504950495049506
Arfgap1_2	0.10113160739326199	0.0049504950495049506
Arfgap1_4	0.03797312354736915	0.3217821782178218
Arfgap1_7	0.02266877674582235	0.47029702970297027
Arfrp1_17	0.12133574791467527	0.0049504950495049506
Arhgap17_6	0.06151486716234966	0.0049504950495049506
Armc8_2	0.022929472797478256	0.42574257425742573
Armcx1_3	0.027703857653358588	0.0297029702970297
Armcx1_5	0.022823716031211583	0.06435643564356436
Aspscr1_1	0.003545508679506648	0.905940594059406
Atf2_3	0.010814136341829483	0.6336633663366337
Atg13_1	0.20935811288836326	0.0049504950495049506
Atg13_4	0.023970868310658977	0.39603960396039606
Atg16l1_2	0.051059757919754256	0.009900990099009901
Atp5h_4	0.0034108642243397824	0.8217821782178217
Atp5j_1	0.13074346865945197	0.0049504950495049506
Atp5s_1	0.05604831502121177	0.16831683168316833
Atp6v1h_1	0.15433122538271504	0.0049504950495049506
Atrx_10	0.044766878112596276	0.024752475247524754
Atrx_2	0.01901639374138453	0.18316831683168316
Atrx_4	0.05134493303662391	0.0049504950495049506
Atrx_5	0.06137029461151566	0.0049504950495049506
Atxn2_1	0.023703199616155746	0.054455445544554455
Atxn2_2	0.03276075875000917	0.0891089108910891
BC004004_4	0.031658946745510286	0.27722772277227725
BC004004_5	0.042365584388300626	0.31683168316831684
Bag6_1	0.012324198190409863	0.41089108910891087
Bag6_2	0.05177315093776491	0.24257425742574257
Banp_1	0.045275021347216615	0.06435643564356436
Banp_3	0.016215477783230958	0.47029702970297027
Bcl2l12_1	0.004596139576653946	0.806930693069307
Bcl2l12_2	0.045842660017128445	0.16336633663366337
Bcl2l12_4	0.04296943581249457	0.24752475247524752
Bclaf1_3	0.03975497307300957	0.0049504950495049506
Bclaf1_nmdSE_1	0.025751964714992637	0.5297029702970297
Bex1_1	0.015082657954600731	0.18811881188118812
Birc5_1	0.038691185745113876	0.14356435643564355
Bnip1_2	0.15141159475733612	0.0049504950495049506
Bnip2_2	0.11540675697646485	0.0049504950495049506
Bpnt1_1	0.11480037471042015	0.009900990099009901
