	C_score	pval
ACADM_3	0.1682697564954997	0.018352981647018353
ACADM_5	0.1783273964425669	0.009774990225009775
ACP1_1	0.18919158933185787	0.03994896005103995
ACP1_2	0.2548266715037766	9.99999000001e-07
ACP1_5	0.28114075872931454	0.002513997486002514
ACTR2_5	0.5004298467156545	9.99999000001e-07
ACVR2A_4	0.0843484673133269	0.5123154876845123
AHI1_9	0.2328779313911552	0.010545989454010547
AKAP9_3	0.3776703505530985	9.99999000001e-07
AKR1A1_5	0.10001972449338214	0.4932935067064933
ALDOA_1	0.19897288313551975	0.000558999441000559
ANAPC11_3	0.08432076064888061	0.44856355143644855
ANAPC11_5	0.034239530200474544	0.8591431408568592
ANAPC11_6	0.06638427289472515	0.7175422824577176
ANAPC15_4	0.09754083909539557	0.5462514537485462
ANAPC15_5	0.08762347066458609	0.6091333908666091
ANAPC16_1	0.07692244033286921	0.7495062504937495
ANXA2_1	0.2832367998382955	0.00635999364000636
APC_10	0.05768734011270915	0.7864832135167865
ARID4B_3	0.21598350543745737	0.02296997703002297
ARL14EP_1	0.1148129025546426	0.5187824812175188
ARPP19_3	0.15997193142215682	0.14423185576814423
ATRX_1	0.16734064568109996	0.17381982618017383
ATRX_5	0.14549280075041138	0.255012744987255
ATRX_6	0.07393647979025597	0.7832172167827832
BAZ2B_4	0.09643672156112759	0.5244304755695244
BAZ2B_6	0.12073049718012241	0.486954513045487
BCLAF1_1	0.15963206190438117	0.18005981994018005
BEX4_1	0.1855933907851931	0.045574954425045576
BOLA3_1	0.4094641329271548	9.99999000001e-07
BTF3L4_1	0.10859103121252389	0.33854466145533857
BTF3L4_3	0.10266120721524596	0.3877846122153878
C11orf74_10	0.215439910447506	0.03948496051503948
C17orf49_1	0.15918359484530875	0.18225381774618227
C17orf49_4	0.24634028890249193	0.010642989357010644
C1orf43_10	0.11700383549480653	0.4538065461934538
C6orf48_5	0.11746861402893782	0.25003974996025
C8orf59_1	0.07941378516904996	0.6027513972486027
C8orf59_2	0.22808100378789353	2.2999977000023e-05
C8orf59_3	0.23066288751441022	4.3999956000044e-05
C8orf59_4	0.21732243474037072	0.000148999851000149
CAMTA1_3	0.11970872098716567	0.2556037443962556
CBWD2_4	0.1979578438474403	0.013901986098013902
CCDC25_4	0.29319373774770763	0.000380999619000381
CCDC25_5	0.18639452466314088	0.015865984134015867
CCDC82_2	0.17242805689401142	0.3471676528323472
CCDC90B_1	0.1300135350929308	0.11702888297111703
CD59_2	0.3996792071571881	9.99999000001e-07
CDC42BPA_1	0.22969895823333453	0.007738992261007739
CHCHD5_3	0.29383764199862994	0.004366995633004367
CHD6_6	0.07232793628000911	0.8182861817138183
CHURC1_2	0.169122409404998	0.08335891664108336
CHURC1_3	0.15622954810632494	0.11763888236111764
CIAPIN1_4	0.07129144117388353	0.7492082507917492
CLTC_4	0.22353053574191994	0.010133989866010135
CMC2_1	0.16995925513010568	0.16424683575316423
CMC2_10	0.3104935659871637	0.000151999848000152
CMC2_18	0.23720006318649856	0.028874971125028875
CMC2_2	0.1440981270346804	0.27405872594127406
CMC2_4	0.2641726404793838	0.012342987657012344
CMC2_6	0.19893498442676572	0.002294997705002295
CMC2_9	0.2683674988340262	0.010725989274010726
COA1_1	0.3114061131370074	0.00013999986000014
COPS5_4	0.22042090723932817	0.047035952964047036
COPS8_1	0.10937705706235434	0.40036059963940035
COX16_1	0.0725655146763281	0.5885084114915885
COX20_1	0.4029227906878772	9.99999000001e-07
CRBN_1	0.1710268847329225	0.24729475270524728
CRYZL1_1	0.16072531213610697	0.29042470957529043
CSDE1_4	0.12389453667701178	0.22798277201722797
CSNK1A1_4	0.15431599326424383	0.13064686935313063
DDX6_1	0.30749690525614004	0.002685997314002686
DGUOK_1	0.5718286362218061	9.99999000001e-07
DGUOK_11	0.11260203166730465	0.14921585078414923
DGUOK_17	0.006375593692372505	0.9832340167659832
DGUOK_2	0.17962654644679332	0.010487989512010487
DGUOK_3	0.16245621543204158	0.025273974726025272
DGUOK_4	0.5921863668985989	9.99999000001e-07
DGUOK_5	0.20320908551664074	0.043762956237043765
DGUOK_7	0.13111451850123035	0.040971959028040975
DGUOK_8	0.16365225999484057	0.023756976243023756
DGUOK_9	0.3814051306714157	9.99999000001e-07
DHPS_3	0.27875045549040534	0.002912997087002913
DNAJC19_4	0.17718931901612578	0.03495796504203496
DNAJC19_5	0.14671410191672252	0.11166888833111167
DNAJC8_2	0.10344871807394851	0.3761906238093762
DPH3_1	0.1740951680418359	0.012315987684012316
DYNC1I2_1	0.7867960919857331	9.99999000001e-07
ECHDC1_9	0.2744419927804792	0.00347999652000348
EIF3I_3	0.3677223796103539	2.8999971000029e-05
EIF3I_4	0.34152123667613266	0.000160999839000161
EIF3K_1	0.14973045687088804	0.04618095381904618
EIF3M_4	0.03082526996365642	0.8931521068478931
EIF4A2_3	0.3402138950527034	9.99999000001e-07
EIF4A2_4	0.16421559316486656	0.003433996566003434
EIF4A2_7	0.36450214457404173	9.99999000001e-07
EIF4E_1	0.5917942860965926	9.99999000001e-07
EIF5_1	0.11971657167905414	0.15913984086015914
EIF6_1	0.18171603344392273	0.028843971156028846
EMC4_3	0.07013915755799693	0.6804763195236805
ERGIC3_1	0.8663824818472738	9.99999000001e-07
EWSR1_3	0.7644284388894522	9.99999000001e-07
EWSR1_8	0.7756796968708884	9.99999000001e-07
FAM192A_4	0.05030306289998343	0.9065510934489065
FAM204A_1	0.16481743330922594	0.022733977266022734
FDPS_3	0.15350353620396606	0.08789991210008789
FDPS_4	0.1573265996819636	0.0764029235970764
FIBP_1	0.04099621306133894	0.9151570848429151
FIS1_1	0.14913949231854773	0.10263789736210263
FIS1_2	0.29041176630054	0.001698998301001699
G2E3_1	0.23976360629075932	0.026693973306026693
G3BP2_1	0.3390329052866512	0.000215999784000216
GAS5_19	0.18661879277541116	0.007184992815007185
GNAS_6	0.2766774182230559	0.0001999998000002
GNAS_7	0.2982777711497444	9.99999000001e-07
GPBP1_1	0.13185431562168992	0.24727375272624727
GPBP1_5	0.22821593831381604	0.03761896238103762
HMGB1_1	0.14361529004717133	0.21028578971421027
HMGCS1_1	0.09336844393523058	0.39622860377139624
HMGN1_13	0.34845399482997463	9.99999000001e-07
HNRNPA1_7	0.08618750315165213	0.4988235011764988
HNRNPA2B1_1	0.14652521174861888	0.023303976696023306
HNRNPC_1	0.20900058206276562	0.000260999739000261
HNRNPC_2	0.3601415587610737	5.0999949000051e-05
HNRNPDL_7	0.22715394500633912	0.000657999342000658
HNRNPD_4	0.15400191284600806	0.012198987801012199
HNRNPR_4	0.05323001021823792	0.7413962586037414
HNRNPR_6	0.18136891443082326	0.000600999399000601
HNRNPR_7	0.16662641658127408	0.002284997715002285
HP1BP3_7	0.1041555855820876	0.5190604809395191
IDI1_2	0.24077406929623035	0.000130999869000131
ILF3_1	0.12971885613009804	0.27953672046327954
ILF3_11	0.4317207505852656	1.3999986000014e-05
IMMP1L_1	0.24332629849506227	0.000516999483000517
IMMP1L_2	0.2105899549914927	0.03886996113003887
INIP_7	0.1020005100195216	0.5739044260955739
IP6K2_6	0.28314335257732215	0.06148893851106149
ITGAE_2	0.050624381088621995	0.7899142100857899
KDM5B_5	0.2578326332987254	0.04248295751704248
KIAA1586_1	0.19590274510803907	0.030984969015030984
LAMTOR2_1	0.2649920158001785	0.00492999507000493
LAMTOR3_1	0.16561154966791802	0.15365284634715365
LRRC75A-AS1_12	0.17828356593153694	0.011261988738011262
LRRC75A-AS1_2	0.1697440331048069	0.01740898259101741
LRRC75A-AS1_3	0.15842886896324215	0.03073996926003074
LRRC75A-AS1_9	0.14719582600269732	0.1481108518891481
LSM1_1	0.098965317560339	0.41985858014141986
LUC7L3_4	0.12597243017949789	0.24215275784724216
LUC7L3_nmdSE_2	0.10461498278153958	0.5011744988255011
MARCH7_8	0.1976334926583866	0.08635791364208636
MATR3_1	0.14176573359517974	0.16903683096316904
MATR3_10	0.015332912842024093	0.9778990221009779
MEAF6_3	0.7630336744261806	9.99999000001e-07
MOB4_6	0.12210420866097194	0.3936016063983936
MORF4L2_1	0.31733796871415787	0.000462999537000463
MORF4L2_3	0.3232918563456304	0.000364999635000365
MORF4L2_7	0.17504021279910853	0.01160998839001161
MORF4L2_8	0.1835826277563095	0.01836998163001837
MRPL22_1	0.1561476517998962	0.07984992015007986
MRPL22_2	0.13138024090977762	0.1833038166961833
MRPL33_3	0.20793421160838832	5.2999947000053e-05
MRPL47_3	0.2100383185453455	0.035156964843035154
MRPL47_5	0.20723150446514105	0.03860596139403861
MRPL48_1	0.06260743165459837	0.7906672093327907
MRPL48_2	0.16462763682321457	0.18375481624518375
MRPL52_3	0.16475119234250557	0.12816987183012818
MRPL52_6	0.16306480053685413	0.13375086624913374
MRPL55_3	0.12208892562105311	0.3936886063113937
MRPL55_4	0.12180918895574577	0.3953816046183954
MRPS10_1	0.16838172581023492	0.16989183010816988
MRPS18C_1	0.051728376995101466	0.7832292167707833
MSMO1_1	0.10537833802749574	0.36482563517436484
MTCH2_2	0.2717572561220485	0.003742996257003743
MTCH2_3	0.16928022700958778	0.1142998857001143
MTF2_1	0.18783159665180338	0.04207695792304208
MTIF3_6	0.10161658588816269	0.39665360334639665
MYH10_2	0.24345942342203586	0.023846976153023846
MYL6_1	0.5114088732072053	9.99999000001e-07
MYL6_4	0.38678977863454134	7.999992000008e-06
MYL6_7	0.36747590795400076	2.8999971000029e-05
N4BP2L2_1	0.15019206451274725	0.18164781835218166
NAE1_11	0.15156144336616906	0.2387837612162388
NAE1_2	0.030411433240690955	0.911993088006912
NCOR1_3	0.2102041717357589	0.008510991489008512
NDUFA12_1	0.14262257929218503	0.16556383443616557
NDUFA8_2	0.20777614096802366	0.03791896208103792
NDUFB3_1	0.14429392528329565	0.15915784084215917
NDUFB3_2	0.1250408408769933	0.24707775292224707
NDUFS4_1	0.05824692601146908	0.7064532935467065
NDUFS8_3	0.06771082708044707	0.6825713174286826
NDUFV3_1	0.19783269856017272	0.05146994853005147
NDUFV3_3	0.057243964505927614	0.7497062502937497
NEMF_4	0.14491994999975388	0.26999873000127
NFU1_1	0.21752332519884898	0.027651972348027652
NKTR_1	0.18996324609803117	0.025341974658025342
NME1-NME2_1	0.12164531055955385	0.2652077347922652
NONO_1	0.07506323291908823	0.637031362968637
NOP58_8	0.22032190850347655	0.025184974815025185
NREP_1	0.016319806672906112	0.9446890553109447
NSRP1_4	0.22632227291886098	0.02050897949102051
