	C_score	pval
AAMDC_3	0.17123329250665975	0.30895969104030896
AARSD1_3	0.08675864727710914	0.7384832615167385
ABL2_2	0.21046355722595866	0.029035970964029035
ACADM_2	0.11642109685650692	0.4934035065964934
ACADM_3	0.13344352175181673	0.33577066422933577
ACIN1_3	0.24503001570454552	0.000366999633000367
ACOT9_1	0.007745010671081909	0.988025011974988
ACOT9_2	0.17000209185439197	0.20794279205720795
ACOT9_4	0.20573302123265835	0.09586990413009587
ACOT9_5	0.05961290163973132	0.8240891759108241
ACP1_6	0.09652606572141775	0.2666427333572666
ACSL4_2	0.15891871872023555	0.36626063373936624
ACTN1_3	0.12335533895011874	0.34804565195434806
ADIRF_1	0.10392367779249412	0.3009096990903009
ADRM1_1	0.10454435239729787	0.5667154332845667
ADRM1_3	0.04451212993287679	0.8673781326218674
ADSL_2	0.08326375956725451	0.4471355528644471
AHI1_7	0.21290806684199537	0.025898974101025898
AHI1_9	0.08548962428081996	0.767959232040768
AIMP2_2	0.10780650380617085	0.4534545465454535
AK2_1	0.08997814728969322	0.5821304178695821
AKAP9_8	0.06286758421526706	0.7666092333907666
AKIP1_2	0.15411343201897065	0.23032976967023033
AKR1A1_1	0.10410870235594094	0.3351336648663351
AKR1A1_2	0.10867717925117826	0.25022074977925024
ALDOA_1	0.10074137401728833	0.2616387383612616
ALG11_3	0.23682126531044057	0.09751590248409751
ALG11_4	0.16843786236222413	0.185003814996185
ANAPC11_4	0.08617596792138993	0.4136225863774136
ANAPC11_5	0.04806476828420603	0.9172520827479173
ANAPC11_6	0.09432321880343753	0.24954075045924953
ANAPC15_2	0.014252464052780467	0.9760780239219761
ANAPC15_3	0.03716656599375101	0.9147580852419147
ANAPC16_1	0.12194076869012893	0.35714764285235717
ANAPC16_2	0.11293017228526692	0.30523469476530524
ANAPC16_3	0.08993010513332855	0.7792982207017793
ANAPC16_4	0.06442480233037706	0.7466602533397466
ANAPC16_6	0.06666424548968275	0.7977932022067978
ANAPC5_2	0.20677672583856233	0.09353590646409353
ANKRD10_3	0.22716298691266856	0.050201949798050205
ANXA2_14	0.13107510796638444	0.13565086434913565
ANXA2_2	0.282309162319872	5.2999947000053e-05
ANXA2_29	0.12528065341517636	0.16312183687816312
ANXA2_3	0.07666179669347739	0.5255674744325256
ANXA2_4	0.024382584663764195	0.931979068020932
ANXA2_5	0.19167545238326722	0.049604950395049606
ANXA2_7	0.17262122285971038	0.028484971515028486
ANXA7_1	0.09251773920552364	0.5637544362455638
AP2M1_5	0.188419303739622	0.000371999628000372
APOPT1_6	0.15836100710885925	0.0931949068050932
APOPT1_8	0.16141009595493627	0.27575872424127573
ARHGAP29_1	0.2811113449204624	0.011526988473011528
ARIH2_11	0.18099030824448115	0.08042291957708042
ARL4A_2	0.19252260666116106	0.0648109351890648
ARPC1B_3	0.10221606875419775	0.5827944172055828
ARPC1B_5	0.11041492308391765	0.531040468959531
ARPC1B_6	0.10635500520088259	0.5567254432745568
ARPP19_3	0.13163563570864112	0.34874865125134874
ARPP19_6	0.1552968298805727	0.1987118012881987
ASPH_12	0.11984296846522291	0.3156126843873156
ASPH_18	0.15085678213957154	0.15085784914215086
ATP2B1_2	0.591600379350774	9.99999000001e-07
ATP6V0B_1	0.058999959698065374	0.7950462049537951
ATP6V0B_2	0.04567174721969103	0.8909111090888909
ATRX_3	0.10032354187419767	0.4921105078894921
ATRX_4	0.045432705729043676	0.863017136982863
ATRX_6	0.13947501245184324	0.25252974747025253
AZIN1_1	0.16684325229091945	0.19404480595519405
AZIN1_4	0.20844556114018487	0.04605795394204606
BBIP1_3	0.17785973724680282	0.10395289604710395
BBX_5	0.26785520868905865	0.017464982535017465
BCAT1_11	0.15842727076175278	0.2585687414312586
BCLAF1_2	0.11833689338414044	0.41694858305141697
BECN1_10	0.14626624155249757	0.31931168068831933
BECN1_2	0.05966478992260815	0.8545961454038546
BECN1_4	0.1475736430582162	0.31234068765931233
BLOC1S6_10	0.20959908092740143	0.08418591581408419
BLOC1S6_2	0.2661570368760716	0.003640996359003641
BLOC1S6_9	0.10934128313292368	0.6245943754056246
BOLA3_1	0.12121965875575669	0.24458475541524458
BTF3L4_2	0.11294596627158526	0.2572327427672572
BTF3L4_3	0.0885758695427038	0.4938515061484938
C12orf10_5	0.19034587513935364	0.23007076992923006
C17orf49_2	0.15083795479766626	0.05860594139405861
C17orf49_3	0.12803126876552606	0.15232684767315233
C1orf43_1	0.1527150713805192	0.053731946268053735
C1orf43_7	0.09984699649872086	0.32963967036032965
C6orf48_2	0.11391332781329144	0.31885168114831886
C6orf48_3	0.12041343165107266	0.25466174533825464
C8orf59_1	0.09492350238419534	0.31808768191231807
C8orf59_2	0.06907013415945873	0.6555133444866555
C8orf59_3	0.0762825334904359	0.5337504662495337
C8orf59_4	0.07195545394923564	0.6131393868606131
