	C_score	pval
ACADM_3	0.1682697564954997	0.019801980198019802
ACADM_5	0.1783273964425669	0.009900990099009901
ACP1_1	0.18919158933185787	0.04950495049504951
ACP1_2	0.2548266715037766	0.009900990099009901
ACP1_5	0.28114075872931454	0.009900990099009901
ACTR2_5	0.5004298467156545	0.009900990099009901
ACVR2A_4	0.0843484673133269	0.5346534653465347
AHI1_9	0.2328779313911552	0.019801980198019802
AKAP9_3	0.3776703505530985	0.009900990099009901
AKR1A1_5	0.10001972449338214	0.504950495049505
ALDOA_1	0.19897288313551975	0.009900990099009901
ANAPC11_3	0.08432076064888061	0.5445544554455446
ANAPC11_5	0.034239530200474544	0.8118811881188119
ANAPC11_6	0.06638427289472515	0.7128712871287128
ANAPC15_4	0.09754083909539557	0.5742574257425742
ANAPC15_5	0.08762347066458609	0.6534653465346535
ANAPC16_1	0.07692244033286921	0.7821782178217822
ANXA2_1	0.2832367998382955	0.019801980198019802
APC_10	0.05768734011270915	0.7821782178217822
ARID4B_3	0.21598350543745737	0.0297029702970297
ARL14EP_1	0.1148129025546426	0.48514851485148514
ARPP19_3	0.15997193142215682	0.1188118811881188
ATRX_1	0.16734064568109996	0.18811881188118812
ATRX_5	0.14549280075041138	0.24752475247524752
ATRX_6	0.07393647979025597	0.8514851485148515
BAZ2B_4	0.09643672156112759	0.5346534653465347
BAZ2B_6	0.12073049718012241	0.45544554455445546
BCLAF1_1	0.15963206190438117	0.1782178217821782
BEX4_1	0.1855933907851931	0.04950495049504951
BOLA3_1	0.4094641329271548	0.009900990099009901
BTF3L4_1	0.10859103121252389	0.37623762376237624
BTF3L4_3	0.10266120721524596	0.43564356435643564
C11orf74_10	0.215439910447506	0.06930693069306931
C17orf49_1	0.15918359484530875	0.1782178217821782
C17orf49_4	0.24634028890249193	0.009900990099009901
C1orf43_10	0.11700383549480653	0.46534653465346537
C6orf48_5	0.11746861402893782	0.2871287128712871
C8orf59_1	0.07941378516904996	0.594059405940594
C8orf59_2	0.22808100378789353	0.009900990099009901
C8orf59_3	0.23066288751441022	0.009900990099009901
C8orf59_4	0.21732243474037072	0.009900990099009901
CAMTA1_3	0.11970872098716567	0.24752475247524752
CBWD2_4	0.1979578438474403	0.019801980198019802
CCDC25_4	0.29319373774770763	0.009900990099009901
CCDC25_5	0.18639452466314088	0.0297029702970297
CCDC82_2	0.17242805689401142	0.25742574257425743
CCDC90B_1	0.1300135350929308	0.13861386138613863
CD59_2	0.3996792071571881	0.009900990099009901
CDC42BPA_1	0.22969895823333453	0.019801980198019802
CHCHD5_3	0.29383764199862994	0.019801980198019802
CHD6_6	0.07232793628000911	0.8415841584158416
CHURC1_2	0.169122409404998	0.09900990099009901
CHURC1_3	0.15622954810632494	0.15841584158415842
CIAPIN1_4	0.07129144117388353	0.7524752475247525
CLTC_4	0.22353053574191994	0.019801980198019802
CMC2_1	0.16995925513010568	0.16831683168316833
CMC2_10	0.3104935659871637	0.009900990099009901
CMC2_18	0.23720006318649856	0.0297029702970297
CMC2_2	0.1440981270346804	0.27722772277227725
CMC2_4	0.2641726404793838	0.019801980198019802
CMC2_6	0.19893498442676572	0.019801980198019802
CMC2_9	0.2683674988340262	0.019801980198019802
COA1_1	0.3114061131370074	0.009900990099009901
COPS5_4	0.22042090723932817	0.0594059405940594
COPS8_1	0.10937705706235434	0.31683168316831684
COX16_1	0.0725655146763281	0.5643564356435643
COX20_1	0.4029227906878772	0.009900990099009901
CRBN_1	0.1710268847329225	0.2376237623762376
CRYZL1_1	0.16072531213610697	0.27722772277227725
CSDE1_4	0.12389453667701178	0.24752475247524752
CSNK1A1_4	0.15431599326424383	0.16831683168316833
DDX6_1	0.30749690525614004	0.009900990099009901
DGUOK_1	0.5718286362218061	0.009900990099009901
DGUOK_11	0.11260203166730465	0.2079207920792079
DGUOK_17	0.006375593692372505	0.9504950495049505
DGUOK_2	0.17962654644679332	0.019801980198019802
DGUOK_3	0.16245621543204158	0.0297029702970297
DGUOK_4	0.5921863668985989	0.009900990099009901
DGUOK_5	0.20320908551664074	0.039603960396039604
DGUOK_7	0.13111451850123035	0.0594059405940594
DGUOK_8	0.16365225999484057	0.0297029702970297
DGUOK_9	0.3814051306714157	0.009900990099009901
DHPS_3	0.27875045549040534	0.009900990099009901
DNAJC19_4	0.17718931901612578	0.0297029702970297
DNAJC19_5	0.14671410191672252	0.1188118811881188
DNAJC8_2	0.10344871807394851	0.37623762376237624
DPH3_1	0.1740951680418359	0.0297029702970297
