	C_score	pvals
AARSD1_1	0.2940275037082434	0.0049504950495049506
AASS_11	0.17605707926752368	0.0049504950495049506
AASS_9	0.037440262717685635	0.5643564356435643
ACADM_3	0.07008366943799393	0.0049504950495049506
ACADM_5	0.058889099538296574	0.01485148514851485
ACIN1_4	0.08652604324512692	0.0049504950495049506
ACP1_1	0.007799158203752432	0.8514851485148515
ACP1_2	0.0849582302995534	0.0049504950495049506
ACP1_5	0.1605469328051956	0.0049504950495049506
ACTR2_5	0.30215341737179247	0.0049504950495049506
ADK_2	0.21327676743918422	0.0049504950495049506
ADSL_1	0.12720372575753613	0.009900990099009901
AHI1_9	0.04403199832486726	0.09900990099009901
AK2_5	0.32099631483691216	0.0049504950495049506
AKAP9_3	0.19517299706163405	0.0049504950495049506
AKR1A1_1	0.037724405659962934	0.21782178217821782
ALDOA_1	0.11587960647531115	0.0049504950495049506
ALG11_1	0.055271465259150276	0.38613861386138615
ALG11_2	0.024987741836097532	0.4752475247524752
ALG5_3	0.10411116189668934	0.0594059405940594
ANAPC11_3	0.014025868086230187	0.5495049504950495
ANAPC11_6	0.02981540745201794	0.13366336633663367
ANAPC16_1	0.03412803319404989	0.16336633663366337
ANAPC16_3	0.0537310502128403	0.0297029702970297
ANAPC16_4	0.04489828128344209	0.034653465346534656
ANAPC16_6	0.04853493213032878	0.3910891089108911
ANKRD12_2	0.15858476874644156	0.0049504950495049506
ANXA2_1	0.1097686155069606	0.019801980198019802
AP3S1_1	0.039655204679814204	0.5297029702970297
APC_10	0.042751844844000964	0.4801980198019802
APC_7	0.20525295090390705	0.0049504950495049506
APOO_2	0.10785841068149593	0.06930693069306931
APOO_3	0.00910277174236096	0.8217821782178217
APOPT1_10	0.1033371226679689	0.06435643564356436
APOPT1_12	0.028063855896222956	0.504950495049505
APOPT1_2	0.016936171901609898	0.7970297029702971
APOPT1_6	0.008517277791490474	0.8465346534653465
ARID4B_3	0.11751106851885496	0.0049504950495049506
ARL4A_2	0.15972215653367838	0.0049504950495049506
ATAD1_1	0.13978348630359194	0.024752475247524754
ATRX_1	0.065143346437603	0.16336633663366337
ATRX_5	0.002990164401851736	0.9702970297029703
ATRX_6	0.00950186903436856	0.7772277227722773
ATXN3_1	0.09527306344932684	0.08415841584158416
AZIN1_2	0.05872171526935821	0.01485148514851485
AZIN1_5	0.0830857803843329	0.009900990099009901
BARD1_2	0.25112649608622517	0.0049504950495049506
BAZ2B_1	0.04963741720264758	0.06435643564356436
BAZ2B_4	0.052957084491645934	0.07920792079207921
BAZ2B_6	0.13554988415134528	0.019801980198019802
BCLAF1_1	0.07091550559105864	0.07920792079207921
BCLAF1_2	0.030034075558045492	0.5346534653465347
BIRC5_1	0.015509668949035937	0.8267326732673267
BIRC5_3	0.1363825334348343	0.019801980198019802
BLOC1S6_10	0.2641598774060715	0.0049504950495049506
BLOC1S6_11	0.24343113597036192	0.0049504950495049506
BOLA3_1	0.2365582614893439	0.0049504950495049506
BPTF_10	0.015668061089442076	0.6881188118811881
BPTF_4	0.4409999163070515	0.0049504950495049506
BTF3L4_1	0.036910890272729646	0.3465346534653465
BTF3L4_3	0.0101705888733572	0.8663366336633663
C12orf10_8	0.018101353687280275	0.8465346534653465
C16orf87_1	0.037583600183244026	0.3564356435643564
C17orf49_1	0.00790218286422173	0.7920792079207921
C17orf49_4	0.09903720938136418	0.024752475247524754
C1orf123_3	0.009572359659459795	0.8861386138613861
C1orf43_10	0.02719417903681587	0.5792079207920792
C1orf43_6	0.1020018464843665	0.0049504950495049506
C1orf52_1	0.06069597995102283	0.019801980198019802
C6orf48_5	0.05538558408393002	0.019801980198019802
C8orf59_1	0.10190306175591723	0.0049504950495049506
C8orf59_2	0.05071859991374017	0.01485148514851485
C8orf59_3	0.019567533122024194	0.33663366336633666
C8orf59_4	0.03250627963278552	0.11386138613861387
CALU_3	0.15419245386748193	0.01485148514851485
CAMLG_4	0.03997695673650259	0.5247524752475248
CAMTA1_3	0.08084655620640657	0.019801980198019802
CAP1_1	0.23882798247736314	0.009900990099009901
CASP3_2	0.16150593746697728	0.01485148514851485
CASP3_3	0.18259044353111997	0.01485148514851485
CBR4_1	0.10912634649545372	0.019801980198019802
CBR4_2	0.4272153774702069	0.0049504950495049506
CBWD1_14	0.019978549450522465	0.5693069306930693
CCAR1_8	0.0789321664061019	0.13861386138613863
CCDC138_1	0.2907457082464544	0.0049504950495049506
CCDC14_17	0.12801718181290223	0.019801980198019802
CCDC14_4	0.043297773988070665	0.5099009900990099
CCDC25_4	0.24051464195839578	0.0049504950495049506
CCDC25_5	0.017389930694120537	0.5445544554455446
CCDC43_1	0.07816975007002858	0.17326732673267325
CCDC66_8	0.13290689818206503	0.009900990099009901
CCDC90B_1	0.0424073744190242	0.16831683168316833
CCDC90B_12	0.05912333646884349	0.16336633663366337
CCNC_1	0.25321558379642417	0.0049504950495049506
CCNC_2	0.24056388968571008	0.0049504950495049506
CCNH_1	0.09773522593015971	0.10891089108910891
CCNL1_1	0.28180924895029325	0.0049504950495049506
CCNL1_3	0.04687494811484638	0.07920792079207921
CCNL1_6	0.041592596857620956	0.09900990099009901
CD200_1	0.13911223332235356	0.0049504950495049506
CD200_4	0.1264476772804206	0.009900990099009901
CD59_2	0.2517273275423567	0.0049504950495049506
CDC42BPA_1	0.010066804433292331	0.7920792079207921
CDK4_2	0.006103755111112941	0.905940594059406
