	C_score	pval
AAMDC_3	0.011443978765934837	0.8925553722313885
ABL2_2	0.06456607628188082	0.034848257587120644
ACIN1_3	0.09647467223573136	0.00024998750062496874
ACOT9_2	0.02258564954184794	0.7625118744062797
ACOT9_4	0.027736283683193586	0.711814409279536
ADIRF_1	0.0023350631627512275	0.9487525623718814
ADRM1_3	0.02436958792759636	0.7290135493225339
ADSL_2	0.0026922687696969705	0.9547022648867557
AHI1_7	0.020841453026116397	0.5363731813409329
AHI1_9	0.0455038260096946	0.2064396780160992
AIMP2_2	0.0018496535526257851	0.9798510074496275
AKAP9_8	0.0328458327406852	0.6376681165941703
AKIP1_2	0.006869630388605996	0.9186040697965102
AKR1A1_2	0.03981437809932875	0.20033998300084996
ALDOA_1	0.03412759198811055	0.4405779711014449
ALG11_4	0.019634878882676676	0.6338683065846707
ANAPC15_2	0.06129642286756609	0.41152942352882355
ANAPC15_3	0.04596044532526933	0.5411229438528073
ANAPC16_1	0.010868205329663039	0.8771561421928904
ANAPC16_2	0.024645006254103485	0.24648767561621918
ANAPC16_3	0.020988582000542988	0.45782710864456777
ANAPC16_4	0.03284078530600276	0.46392680365981703
ANAPC16_6	0.01652353292638964	0.7387130643467826
ANAPC5_2	0.08698192815513328	0.24948752562371881
ANKRD10_3	0.056745960784643557	0.3135843207839608
ANXA2_2	0.17238870959228747	0.0063996800159992
ANXA2_3	0.0028741415219416533	0.952252387380631
ANXA2_5	0.024191988660437258	0.391930403479826
ANXA2_7	0.09814170632171337	0.10459477026148692
ANXA7_1	0.027646587624325925	0.6931153442327883
AP2M1_5	0.09498971107914567	0.0032998350082495873
APOPT1_6	0.009446921612826897	0.7888105594720264
ARHGAP29_1	0.2350420878524887	0.0042997850107494625
ARIH2_11	0.02303618239798766	0.42412879356032196
ARL4A_2	0.06572394478841825	0.21018949052547373
ARPC1B_3	0.01996902041250881	0.7886605669716514
ARPC1B_6	0.001135007699805679	0.9873006349682516
ARPP19_3	0.03664284254654493	0.487975601219939
ASPH_12	0.022642383912084063	0.6412179391030448
ASPH_18	0.044135356990301466	0.22213889305534723
ATP2B1_2	0.3091012384765307	4.999750012499375e-05
ATRX_3	0.03291216325943658	0.49232538373081347
AZIN1_1	0.026080187424821433	0.5146742662866857
AZIN1_4	0.02832389098490895	0.4774261286935653
BBIP1_3	0.04028383100033228	0.44427778611069446
BBX_5	0.19227585956675108	0.01559922003899805
BCLAF1_2	0.0702167413073137	0.05379731013449328
BECN1_10	0.009609543741066595	0.8982050897455127
BECN1_4	0.04719392595509886	0.5296735163241838
BOLA3_1	0.005037434538047614	0.8842557872106395
BTF3L4_2	0.0070683937671151	0.8781560921953903
C1orf43_1	0.11002073265519363	0.01774911254437278
C6orf48_2	0.019228055189737248	0.5689215539223039
C6orf48_3	0.0214191153979304	0.5224738763061847
C8orf59_1	0.028107459471888863	0.5259237038148092
C8orf59_2	0.009638896143200903	0.7735113244337783
C8orf59_3	0.008371851453067514	0.7732113394330283
CALCOCO2_6	0.05861663345549206	0.480125993700315
CALD1_3	0.2186800713569892	0.00279986000699965
CAMTA1_2	0.005699211887427724	0.8691565421728914
CAP1_1	0.048029848977282796	0.5211739413029348
CASP3_1	0.020857563163282244	0.5352232388380581
CASP3_2	0.010877309893008058	0.8278086095695215
CAST_1	0.028487590220401482	0.5538223088845557
CAST_10	0.03264168097178177	0.1031448427578621
CAST_3	0.02993879278176348	0.5334233288335584
CAST_8	0.031746866501582316	0.5084245787710614
CAV2_2	0.04543820745541127	0.4843257837108145
CBWD1_3	0.07152242150267507	0.1727913604319784
CBWD2_3	0.08038659791662262	0.3374331283435828
CCDC25_5	0.028663442458227606	0.5514224288785561
CCDC25_6	0.055555481515376814	0.1223938803059847
CCDC90B_2	0.06380192180152156	0.32623368831558425
CCDC90B_5	0.019785761199847873	0.5342232888355583
CCNC_1	0.14244720313136416	0.01814909254537273
CCNL1_4	0.03900696588966224	0.10829458527073646
CCNL1_6	0.03902180085302054	0.10814459277036148
CD59_6	0.02817182056848533	0.36673166341682917
CEBPZOS_6	0.048743756193663335	0.5566721663916804
CFLAR_2	0.1257592073970143	0.13744312784360782
CGGBP1_1	0.02382730373702946	0.6754162291885406
CHCHD7_3	0.036791764411370775	0.3096345182740863
CHCHD7_4	0.030689346372716142	0.40197990100494974
CHID1_5	0.015742155704636995	0.7079146042697865
CHRNA1_1	0.13692972273904436	0.00014999250037498125
CHURC1_2	0.03825903118056617	0.38603069846507676
CHURC1_3	0.053438420818717414	0.22598870056497175
CIAPIN1_4	0.07620876840980506	0.3616319184040798
CKLF_1	0.0007882920690712725	0.9884505774711264
CLDND1_3	0.0951499645795878	0.2102894855257237
CLDND1_5	0.09631430555285125	0.20523973801309933
CLDND1_8	0.09621680971034163	0.20538973051347434
CLK1_1	0.08073407106407049	0.28433578321083947
CLTC_1	0.14673847257332617	0.0047997600119994
COA4_1	0.029228797612271373	0.6544172791360432
COL8A1_19	0.023936327289871384	0.33233338333083345
COL8A1_5	0.0733349623912023	0.04424778761061947
COMMD4_7	0.12569931631002051	0.10364481775911205
COPE_1	0.049317543338668	0.2976851157442128
COPS3_5	0.05708953089821256	0.4466776661166942
COPS3_7	0.0754555710375382	0.27453627318634066
COX20_3	0.03122059717935144	0.12504374781260938
