	C_score	pvals
0610010K14Rik_1	0.008343239477286324	0.2925454838190307
0610010K14Rik_3	0.03217419875862382	0.0061181774271453875
0610010K14Rik_4	0.01818750621574705	0.04049267428755434
1110038B12Rik_1	0.0443353438154217	0.002576074706166479
1110059E24Rik_3	0.02270467831566958	0.017871518274029947
2410002F23Rik_1	0.025597138793608698	0.011592336177749154
2410002F23Rik_10	0.01915192810249	0.034052487522138145
2410002F23Rik_11	0.020766712968896317	0.025358235388826277
2410002F23Rik_2	0.011533059826614123	0.14876831428111414
2410002F23Rik_3	0.016618208183458383	0.053856061825792945
2410004B18Rik_nmdSE_1	0.02492878210464977	0.012880373530832394
2610318N02Rik_1	0.013548705713452125	0.09950088552568025
2700099C18Rik_1	0.010075280449453605	0.20640798583158912
5530601H04Rik_1	0.006847982776187367	0.39108034132989855
Aamdc_12	0.000892218378794718	0.9295604572532603
Abcd3_1	0.009824681982500083	0.2160682659797134
Abhd14a_1	0.01048765366557658	0.18893897923039768
Abhd14a_4	0.018040466106085562	0.04161970697150218
Acin1_8	0.002532291827302968	0.78030912896474
Add1_3	0.07284568966868865	0.0006440186765416197
Add1_9	0.10631529661020755	0.0004025116728385123
Aen_2	0.0013470565992379502	0.8876187409434874
Aldoa_1	0.047347661778436745	0.0023345677024633714
Alkbh3_2	0.00856841438462752	0.27918209628079216
Anapc16_1	0.007496266660370288	0.3454355176300113
Ankrd17_2	0.001245964940954969	0.8965545000805023
Anxa6_1	0.011692558618966564	0.1445821928835936
Ap2b1_2	0.006647216487511987	0.4054097568829496
Aplp2_2	0.02297626483855686	0.016824987924649815
Apobec3_2	0.02803632183094773	0.008291740460473354
Arhgap17_6	0.01414327403360005	0.08774754467879568
Armcx1_3	0.011456128541912025	0.15231041700209305
Armcx1_5	0.0065279124949650935	0.415311544034777
Atf2_3	0.0027701874614644018	0.7579294799549187
Atg16l1_2	0.01796063981469087	0.04210272097890839
Atrx_10	0.01786417352075742	0.042988246659153115
Atrx_2	0.010866018311692982	0.1736435356625342
Atrx_4	0.01337313150493058	0.10368700692320078
Atxn2_1	0.013443666344622573	0.10199645789727903
Atxn2_2	0.014751283380131208	0.07712123651585896
Bag6_1	0.0068706442795942735	0.3897118016422476
Banp_3	0.0032392706067478905	0.7089840605377556
Bclaf1_3	0.021178400607047787	0.02350668169376912
Bex1_1	0.007871281075000014	0.3206407985831589
Bpnt1_3	0.02002979381812764	0.029141845113508293
Bptf_1	0.06173776745540249	0.001207535018515537
Bptf_12	0.007280144334176009	0.35984543551763
Brd4_5	0.028534795787788836	0.007969731122202544
Brd8_1	0.002483472582834323	0.7848172597005313
Cadm1_2	0.01613867625875187	0.05957172758009982
Cars_1	0.03403920961357676	0.004749637739494445
Cbs_1	0.031042286232482397	0.006520689099983899
Ccnc_2	0.009701825439055178	0.2225889550796973
Ccnl1_nmdSE_1	0.0028472306203291	0.7492352278216068
Ccnl1_nmdSE_3	0.0018147862851182195	0.8443084849460635
Ccnl2_nmdSE_1	0.01289544565333145	0.11294477539848656
Cdk2_1	0.006850196056459645	0.3909193366607632
Cenpa_6	0.07150038490108168	0.0007245210111093221
Cenpa_nmdSE_1	0.05054898607011826	0.0019320560296248591
Cenpi_1	0.005529954610483889	0.4925937852197714
Chek2_6	0.0070555799824834065	0.3757043954274674
Chka_5	0.0025518180374857202	0.7778940589277089
Chtop_2	0.033696959923323666	0.0050716470777652555
Cldnd1_1	0.07818595959983032	0.0005635163419739172
Clk1_1	0.03023089635107945	0.006923200772822412
Clk4_10	0.005510136973605029	0.4943648365802608
Clk4_5	0.0016176419761309013	0.8633070359040412
Cln8_1	0.0028299906004966013	0.7511672838512317
Cnot10_4	0.012407820954175475	0.12518113025277733
Comt_1	0.012355886193109233	0.12598615359845436
Csde1_6	0.007775930702353384	0.3266784736757366
Ctbp2_7	0.010830088171558394	0.17517308001932055
Ctnnd1_3	0.003230131855525342	0.7097890838834326
Cuedc2_1	0.019090569359789034	0.03445499919497665
Cuta_1	0.00972751911259817	0.22146192239574947
Cwc22_1	0.014695885423438027	0.07792625986153598
Dguok_2	0.001596507087226029	0.8649170825953952
Dmtf1_4	0.002762916498204704	0.7585734986314603
Dmtf1_8	0.0029238241594609082	0.7407019803574304
Dmtf1_9	0.00261818453770557	0.771373369827725
Dmwd_2	0.0031735636332433925	0.7155852519723072
Dnaja3_2	0.017022492989792748	0.05063596844308485
Dnal4_1	0.008747956358271858	0.2685557881178554
Dnm1l_2	2.9319585086673428e-05	0.9979874416358074
Dnm2_3	0.06714898480260445	0.0009660280148124296
Dnmt3b_1	0.0092569845716588	0.2415875060376751
Dph3_2	0.01681698919230501	0.052487522138142007
Dtnb_nmdSE_1	0.012646105708066013	0.11841893414909033
Dtx2_2	0.006322830886326458	0.4306069876026405
Eif4a2_1	0.016039437339966822	0.06085976493318306
Eif4e2_1	0.07060562894077183	0.000885525680244727
Eif4h_1	0.018669964238840597	0.036467557559169216
Eps15l1_6	0.006758571429419935	0.3976010304298825
Ercc8_5	0.004771479346007856	0.560054741587506
Erh_1	0.015525616699743505	0.06778296570600548
Exoc1_4	0.009215640013153892	0.24400257607470616
Ezh2_3	0.009201904585612652	0.24464659475124778
Fance_3	0.017046696789514093	0.05039446143938174
Fat1_2	0.01777008134564706	0.04387377233939784
Fhl1_1	0.059463165627143266	0.0015295443567863469
Fip1l1_1	0.0014029460094310275	0.8819030751891805
Fip1l1_6	0.006080096626620901	0.44904202221864437
Fmr1nb_1	0.06129082049432677	0.0012880373530832394
Fxr1_1	0.02393892839548062	0.01473192722588955
G3bp2_1	0.04366620217675177	0.0028980840444372885
Gab1_1	0.020090369930187868	0.028980840444372886
Ganab_2	0.004078259259002848	0.6288842376428917
Gas5_4	0.007810960191121374	0.3245049106424086
Gm28036_13	0.005902717256255796	0.46192239574947674
Gm28036_3	0.04138226989449356	0.003300595717275801
Gm28036_9	0.040420427805500814	0.003542102720978908
Gmppa_3	0.010752088397825932	0.17799066172919015
Gpbp1_1	0.0067484114458911115	0.3987280631138303
Gprasp1_1	0.03574521794365926	0.004266623732088231
Gtf2i_13	0.0024941519967409675	0.7836097246820157
Gtf2ird1_2	0.0011481616319100052	0.9065367895668974
Gtf3c2_1	0.0019475303387701537	0.8324746417646112
Hnrnpa2b1_1	0.037614338142823445	0.0037836097246820156
Hnrnpa2b1_2	0.05287761496015808	0.0016905490259217517
Hnrnpab_1	0.019361269079015586	0.03292545483819031
Hnrnpc_1	0.04065007252735853	0.003461600386411206
Hnrnpd_3	0.03374525725161259	0.00491064240862985
Hnrnpd_6	0.0011255994191159413	0.90854934793109
Hnrnpr_1	0.002869931736362963	0.7469811624537112
Hnrnpr_2	0.0007921401287320773	0.938576718724843
Hp1bp3_1	0.0337950699324997	0.004830140074062148
Hsf2bp_1	0.012215565213236967	0.12993076799227177
Idh3g_1	0.16236746476768238	8.050233456770246e-05
Ift20_1	0.0034494347476737852	0.6875704395427468
Immt_1	0.04128208986201509	0.0033810980518435034
Inip_1	0.010933238997739236	0.17090645628723233
Ip6k2_4	0.016275027257330654	0.05747866688133956
Ip6k2_8	0.008005857178598474	0.312510062791821
Isca2_1	0.0046221107417359075	0.5747866688133956
Kat5_1	0.0008190898555978654	0.9366446626952182
Kat7_2	0.009386849974006517	0.23587184028336822
Kif23_1	0.006607259005024457	0.4088713572693608
Klhl13_3	0.06424809602869253	0.001046530349380132
Lrr1_1	0.02117661095383294	0.023587184028336823
Lrrfip1_2	0.007227346991898753	0.3634680405731766
Lrrfip2_6	0.0012160488750415643	0.899613588794075
Lsm14a_4	0.04269341701144336	0.003139591048140396
Lsm6_2	0.022880040416637937	0.017388504266623733
Lsr_5	0.015508329677272004	0.06794397037514088
Lta4h_2	0.0056120441589248005	0.48510706810497506
Mbtps2_1	0.0011643943035739568	0.9040412171952986
Mdm4_2	0.011651012451858067	0.14587023023667686
Meaf6_nmdSE_1	0.02851403962702659	0.008050233456770247
Meg3_3	0.014475512090217135	0.08162936725165029
Mff_3	0.06281995159023546	0.0011270326839478344
Mff_5	0.03231482246481854	0.006037675092577684
Mgrn1_2	0.0030526350323790696	0.7273385928191918
Mllt10_3	0.003825016877497811	0.6535984543551763
Mpzl1_1	0.0041866338633012035	0.6172113991305748
Mrpl24_1	0.019046501876285094	0.034777008533247465
Mrpl30_3	0.007465935229016063	0.3472870713250684
Mrpl55_8	0.004431784247485693	0.5915311544034777
Mrps17_1	0.0017688784716399786	0.8496216390275318
Mrps17_2	0.0002209890819560023	0.9839800354210272
Mrps17_4	0.0016048051781242245	0.8641925615842859
Mta1_1	0.12062799445927574	0.00032200933827080985
Mtf2_2	0.012375520420345842	0.12550313959104814
Mtf2_3	0.004237664679410447	0.6110932217034294
Mtf2_4	0.00582602878267946	0.4685235871840283
Mtf2_6	0.010895660111342576	0.1727580099822895
Mtf2_7	0.010508508765950442	0.18813395588472065
Mtg2_11	0.02009907704932168	0.028900338109805183
Mtg2_8	0.01699764862805353	0.05111898245049106
Mtmr14_5	0.006685210246749063	0.4028336821767831
Mtmr14_8	0.018380028307435126	0.03856061825792948
Mtmr2_1	0.0036062354044176237	0.6738045403316696
Mvk_1	0.005615706180785329	0.48470455643213656
Myef2_9	0.0022393736535279984	0.8053453550152955
Mynn_1	0.03324216845095751	0.00523265174690066
Myo1b_1	0.004812071468616286	0.5571566575430688
N6amt1_1	0.026328588939681152	0.010223796490098212
Ncor1_2	0.008486393154511052	0.2840122363548543
Ndufs1_5	0.0095704361373522	0.22798261149573337
Ndufs1_6	0.01102246086506209	0.16784736757365964
Nqo2_4	0.027716311456315368	0.008533247464176462
Nrf1_5	0.011877410727536342	0.13902753179842214
Nsfl1c_2	0.022961422314627278	0.017066494928352924
Nt5c3_2	0.00489465000824052	0.5487844147480276
Odf2_1	0.014250176444523421	0.08573498631460312
Odf2_2	0.01186056769946131	0.13967155047496377
Opa1_1	0.0028429377819203516	0.7498792464981484
Patz1_1	0.02041540691965238	0.027048784414748027
Patz1_3	0.006314474632599376	0.4314120109483175
Pcbp2_7	0.012763906145936144	0.11608436644662695
Pcyt2_1	0.0011501494708651139	0.9062147802286267
Pcyt2_2	0.004863067515349151	0.5519240057961681
Pex2_1	0.0033927124697799016	0.6942521333118661
Phc1_1	0.028967584886427367	0.007486717114796329
Phc1_2	0.022784435802107428	0.01763001127032684
Pla2g1b_1	0.03754347125788138	0.0038641120592497183
Platr3_1	0.025044026398569508	0.012558364192561584
Pml_3	0.02582008488710774	0.011028819835775238
Poldip3_1	0.0027158846813901683	0.762196103687007
Pou2f1_2	0.0020699924152635107	0.8220093382708099
Pphln1_4	0.0028607055348682797	0.7480276928030913
Pphln1_6	0.010129458865774432	0.20375140879085493
Ppig_2	0.021271562791599474	0.023184672355498308
Ppig_4	0.0286749436179653	0.007889228787634841
Ppip5k2_5	0.03965025840233816	0.003622605055546611
Prc1_3	0.014599558781181687	0.07993881822572854
Prc1_6	0.003034731980724792	0.7289486395105458
Prepl_1	0.12062837828544604	0.0002415070037031074
Prmt1_3	0.003400198939603638	0.6935276123007568
Prpf39_nmdSE_1	0.014721496499223274	0.07752374818869748
Prpsap2_6	0.0009021104786068879	0.9290774432458542
Prr3_1	0.051136299874425806	0.0018515536950571567
Prrc2b_5	0.014249963704894841	0.08589599098373853
Psmg4_1	0.056645280677004806	0.0016100466913540493
Pstk_1	0.012352382690893005	0.12614715826758977
Ptbp1_6	0.03494416964560243	0.004427628401223635
Ptma_2	0.013203817006110397	0.10569956528739334
Puf60_1	0.00790157308309225	0.3184672355498309
Pum2_2	0.02049108918742404	0.026887779745612624
Qrich1_2	0.014237681174151695	0.08621800032200934
Qrich1_8	0.01036369345568211	0.19449364031556915
Rabggtb_nmdSE_1	0.020020875165104646	0.029302849782643695
Rad18_2	0.006937875943985206	0.38415714055707617
Rbm10_4	0.006093254225862155	0.44807599420383193
Rbm25_11	0.009362138696003441	0.23675736596361294
Rbm25_7	0.011508817132806826	0.14981484463049427
Rbm39_13	0.011181265359223813	0.16205119948478505
Rbm39_nmdSE_2	0.0713888054484133	0.0008050233456770246
Rbm4_1	0.02221315973627136	0.019481564965383995
Rbpms_15	0.013414718752322585	0.10264047657382064
Rer1_2	0.016411932607343305	0.05602962485912091
Rer1_3	0.015945390870702347	0.06263081629367252
Rhno1_1	0.027793646268411187	0.008452745129608759
Rhot1_3	0.015867375728285782	0.06375784897762035
