	C_score	pvals
0610010K14Rik_1	0.015680442328209976	0.22549019607843138
0610010K14Rik_2	0.005293919681461423	0.803921568627451
0610010K14Rik_3	0.06162983894320251	0.00980392156862745
0610010K14Rik_4	0.026080887372428974	0.08823529411764706
0610010K14Rik_6	0.05573643499796144	0.0196078431372549
1110038B12Rik_1	0.14359971204438793	0.00980392156862745
1110038B12Rik_8	0.024584139020447093	0.49019607843137253
1110059E24Rik_3	0.04508286910566428	0.0196078431372549
1110059G10Rik_1	0.04042796805019122	0.29411764705882354
1300002E11Rik_7	0.024767315776712873	0.3431372549019608
2410002F23Rik_1	0.08942674198634737	0.00980392156862745
2410002F23Rik_10	0.051810447662590464	0.029411764705882353
2410002F23Rik_11	0.04977612581016666	0.058823529411764705
2410002F23Rik_2	0.06373049225881267	0.00980392156862745
2410002F23Rik_3	0.06701672065114106	0.00980392156862745
2410004B18Rik_nmdSE_1	0.05326870150067986	0.0196078431372549
2410018L13Rik_1	0.014616780274724905	0.6078431372549019
2610318N02Rik_1	0.05218343032507877	0.00980392156862745
2700099C18Rik_1	0.026607740704687632	0.06862745098039216
3110009E18Rik_1	0.02880306541707478	0.46078431372549017
4833439L19Rik_2	0.014876331068749638	0.5588235294117647
4833439L19Rik_4	0.010050513471272615	0.7745098039215687
5530601H04Rik_1	0.010686206806965859	0.3431372549019608
9430038I01Rik_1	0.022300607590664767	0.47058823529411764
9430038I01Rik_2	0.04455146257966436	0.08823529411764706
A430005L14Rik_1	0.028097367986804844	0.4019607843137255
Aamdc_12	0.0069640688003228535	0.6470588235294118
Aamdc_4	0.01759768847599985	0.5392156862745098
Aar2_2	0.001160173102287887	0.9509803921568627
Aar2_3	0.00017407472157338066	0.9901960784313726
Abcd3_1	0.013403939865419323	0.5980392156862745
Abhd10_2	0.0799488494508449	0.00980392156862745
Abhd14a_1	0.015885489048762302	0.29411764705882354
Abhd14a_4	0.023830528134745177	0.1568627450980392
Abi1_2	0.106089634131599	0.00980392156862745
Abi1_5	0.37577582350526806	0.00980392156862745
Acin1_8	0.026565090569953376	0.17647058823529413
Acly_1	0.0055914667275968055	0.6176470588235294
Acot8_1	0.09309506562122194	0.00980392156862745
Add1_3	0.11863262544057107	0.00980392156862745
Add1_9	0.1715469326058705	0.00980392156862745
Add3_1	0.38225178609355215	0.00980392156862745
Adpgk_1	0.033136245900517336	0.4215686274509804
Adprm_2	0.07664258958331949	0.00980392156862745
Akap2_1	1.7058894146271264e-05	0.9901960784313726
Akap9_6	0.15991168320344007	0.00980392156862745
Aldoa_1	0.23083991088101652	0.00980392156862745
Alg13_10	0.09514966519039447	0.00980392156862745
Alg3_1	0.010941621627835407	0.6470588235294118
Alg3_3	0.03080371593536546	0.4117647058823529
Alg3_6	0.02083335592426483	0.5882352941176471
Alkbh1_nmdSE_1	0.014993016132431647	0.43137254901960786
Alkbh3_1	0.053944894946941435	0.0196078431372549
Alkbh3_2	0.02389083630635014	0.06862745098039216
Alkbh7_1	0.024000594348613014	0.5098039215686274
Anapc15_3	0.035332158274269165	0.23529411764705882
Anapc16_1	0.025199404922333635	0.08823529411764706
Anapc16_4	0.03130506270339262	0.27450980392156865
Angel2_2	0.03453364418071203	0.24509803921568626
Ankra2_1	0.009870442527148415	0.8137254901960784
Ankrd10_nmdSE_1	0.017993517716035634	0.24509803921568626
Ankrd10_nmdSE_2	0.09474571530747422	0.00980392156862745
Ankrd17_2	0.01901368044464935	0.20588235294117646
Anks3_12	0.028687519464062228	0.4803921568627451
Anxa6_1	0.06334622002351031	0.00980392156862745
Ap2b1_2	0.025474505068601938	0.029411764705882353
Aplp2_2	0.044707410257531666	0.0196078431372549
Apobec3_2	0.11073113083937547	0.00980392156862745
Arfgap1_2	0.10113160739326199	0.00980392156862745
Arfgap1_4	0.03797312354736915	0.2647058823529412
Arfgap1_7	0.02266877674582235	0.6176470588235294
Arfrp1_17	0.12133574791467527	0.00980392156862745
Arhgap17_6	0.06151486716234966	0.00980392156862745
Armc8_2	0.022929472797478256	0.3627450980392157
Armcx1_3	0.027703857653358588	0.0392156862745098
Armcx1_5	0.022823716031211583	0.029411764705882353
Aspscr1_1	0.003545508679506648	0.9215686274509803
Atf2_3	0.010814136341829483	0.6372549019607843
Atg13_1	0.20935811288836326	0.00980392156862745
Atg13_4	0.023970868310658977	0.43137254901960786
Atg16l1_2	0.051059757919754256	0.049019607843137254
Atp5h_4	0.0034108642243397824	0.8235294117647058
Atp5j_1	0.13074346865945197	0.00980392156862745
Atp5s_1	0.05604831502121177	0.17647058823529413
Atp6v1h_1	0.15433122538271504	0.00980392156862745
Atrx_10	0.044766878112596276	0.00980392156862745
Atrx_2	0.01901639374138453	0.08823529411764706
Atrx_4	0.05134493303662391	0.00980392156862745
Atrx_5	0.06137029461151566	0.029411764705882353
Atxn2_1	0.023703199616155746	0.0784313725490196
Atxn2_2	0.03276075875000917	0.11764705882352941
BC004004_4	0.031658946745510286	0.2549019607843137
BC004004_5	0.042365584388300626	0.29411764705882354
Bag6_1	0.012324198190409863	0.4215686274509804
Bag6_2	0.05177315093776491	0.2549019607843137
Banp_1	0.045275021347216615	0.058823529411764705
Banp_3	0.016215477783230958	0.4019607843137255
Bcl2l12_1	0.004596139576653946	0.8921568627450981
Bcl2l12_2	0.045842660017128445	0.19607843137254902
Bcl2l12_4	0.04296943581249457	0.24509803921568626
Bclaf1_3	0.03975497307300957	0.00980392156862745
Bclaf1_nmdSE_1	0.025751964714992637	0.5490196078431373
Bex1_1	0.015082657954600731	0.21568627450980393
Birc5_1	0.038691185745113876	0.14705882352941177
Bnip1_2	0.15141159475733612	0.00980392156862745
Bnip2_2	0.11540675697646485	0.00980392156862745
Bpnt1_1	0.11480037471042015	0.00980392156862745
Bpnt1_3	0.043849363863673	0.00980392156862745
Bptf_1	0.1303175051989699	0.00980392156862745
Bptf_12	0.0153680003025789	0.12745098039215685
Brd4_4	0.1771341835744481	0.00980392156862745
Brd4_5	0.09880121224285765	0.00980392156862745
Brd8_1	0.001416964329304049	0.9509803921568627
Brd8_2	0.025342528181324098	0.5294117647058824
Btbd10_4	0.010491148327072763	0.47058823529411764
Btrc_1	0.05939070258670143	0.058823529411764705
Cacul1_1	0.019822220568049054	0.5294117647058824
Cad_1	0.024169018950796484	0.6078431372549019
Cadm1_2	0.037868384772001384	0.00980392156862745
Cadm1_6	0.47843016399555727	0.00980392156862745
Camta1_3	0.047014137782013465	0.29411764705882354
Carm1_5	0.014785588997781929	0.6078431372549019
Cars_1	0.06297572517632666	0.00980392156862745
Casp8ap2_4	0.07205007849725242	0.08823529411764706
Cbs_1	0.09943363683709927	0.00980392156862745
Cbx5_2	0.012046229865192992	0.4803921568627451
Cbx5_3	0.018270379021439687	0.2647058823529412
Ccdc130_2	0.06645629912958928	0.029411764705882353
Ccdc191_2	0.02967623614191839	0.49019607843137253
Ccm2_1	0.07407039449976771	0.0784313725490196
Ccnc_2	0.014169239341816797	0.30392156862745096
Ccnl1_nmdSE_1	0.011979277736196448	0.29411764705882354
Ccnl1_nmdSE_3	0.01324331274349333	0.27450980392156865
Ccnl2_nmdSE_1	0.04726166743582405	0.00980392156862745
Cdc123_3	0.06491330376924531	0.11764705882352941
Cdc7_9	0.016194836865407014	0.5882352941176471
Cdk11b_2	0.0030867125529633332	0.8823529411764706
Cdk11b_3	0.07409372202546238	0.0196078431372549
Cdk2_1	0.05436487802373069	0.00980392156862745
Cdk4_1	0.11732915264563526	0.0196078431372549
Cenpa_6	0.13425802858905267	0.00980392156862745
Cenpa_nmdSE_1	0.09232750392544553	0.00980392156862745
Cenpc1_3	0.15460035513281134	0.00980392156862745
Cenpi_1	0.02582664299952664	0.058823529411764705
Cenpm_3	0.07679293249498897	0.0392156862745098
Cenpu_nmdSE_1	0.0026827412424009767	0.9215686274509803
Cers5_1	0.38611103725237195	0.00980392156862745
Chchd3_6	0.47241770482136947	0.00980392156862745
Chek2_6	0.0179948195214239	0.20588235294117646
Chka_5	0.01118986373468478	0.4019607843137255
Chtf8_2	0.05465511627780606	0.00980392156862745
Chtf8_3	0.06993824154459505	0.00980392156862745
Chtop_2	0.07864168188080778	0.00980392156862745
Cib1_2	0.00042539325455059895	0.9705882352941176
Cib1_3	0.004835302528212071	0.8823529411764706
Cldnd1_1	0.12540939530844775	0.00980392156862745
Cldnd1_2	0.15431010753536756	0.00980392156862745
Cldnd1_4	0.14387152829472483	0.00980392156862745
Clk1_1	0.06198725262299609	0.00980392156862745
Clk1_2	0.06277160225268008	0.10784313725490197
Clk3_1	0.022611088275900748	0.5490196078431373
Clk4_10	0.009625758719515098	0.5980392156862745
Clk4_5	0.003836063494377262	0.8627450980392157
Cln8_1	0.018825643193106978	0.28431372549019607
Clta_4	0.5108089202535605	0.00980392156862745
Cmc2_3	0.04428578083778856	0.20588235294117646
