	C_score	pvals
0610010K14Rik_1	0.006115334322823962	0.7788852332107606
mock_0610010K14Rik_1_0	0.010987324999828574	0.5844784207470486
mock_0610010K14Rik_1_1	0.008485954249230265	0.683762337913683
mock_0610010K14Rik_1_2	0.021645502666818084	0.23804915811883104
mock_0610010K14Rik_1_3	0.023998151905631815	0.18869750338687827
mock_0610010K14Rik_1_4	0.002158995798338892	0.9296497000193535
mock_0610010K14Rik_1_5	0.013407007536286208	0.4933230114186182
mock_0610010K14Rik_1_6	0.0011812960538073458	0.9625508031739888
mock_0610010K14Rik_1_9	0.00926309624282351	0.6548287207276949
mock_0610010K14Rik_1_10	0.019077302821912334	0.30239984517127927
mock_0610010K14Rik_1_12	0.040709762135567984	0.035417069866460225
mock_0610010K14Rik_1_14	0.011451569707060627	0.5673504935165473
mock_0610010K14Rik_1_15	0.01609573784600926	0.39191019934197796
mock_0610010K14Rik_1_16	0.0124842145852061	0.5277724017805303
mock_0610010K14Rik_1_18	0.005705227445941485	0.7948519450358041
mock_0610010K14Rik_1_19	0.012374281234552753	0.5318366556996322
mock_0610010K14Rik_1_20	0.007260109879678178	0.7322430810915425
mock_0610010K14Rik_1_21	0.005473697114634413	0.804528740081285
mock_0610010K14Rik_1_22	0.012750411159134223	0.5173214631314109
mock_0610010K14Rik_1_23	0.015711878048941363	0.40565124830656085
mock_0610010K14Rik_1_24	0.006497429120476461	0.7613702341784401
mock_0610010K14Rik_1_25	0.014211571948600121	0.46226049932262436
mock_0610010K14Rik_1_26	0.009903550081905688	0.6275401586994388
mock_0610010K14Rik_1_27	0.0029343232715902667	0.9036191213470098
mock_0610010K14Rik_1_28	0.02043265429998009	0.2667892394039094
mock_0610010K14Rik_1_29	0.007230351992884132	0.7335978323979098
mock_0610010K14Rik_1_30	0.009020317367774755	0.6642152119218115
mock_0610010K14Rik_1_31	0.009008651276109836	0.6646990516740855
mock_0610010K14Rik_1_32	0.0021984247477510044	0.9283917166634411
mock_0610010K14Rik_1_33	0.014632741302143093	0.4454228759434875
mock_0610010K14Rik_1_37	0.0053869045063714704	0.8089800658022063
mock_0610010K14Rik_1_40	0.017221111587495064	0.3564931294755177
mock_0610010K14Rik_1_41	0.010312826231917316	0.6103154635184826
mock_0610010K14Rik_1_42	0.005448714471762983	0.8056899554867428
mock_0610010K14Rik_1_44	0.002914934207044917	0.9043932649506483
mock_0610010K14Rik_1_45	0.005299375791502636	0.8121734081672151
mock_0610010K14Rik_1_46	0.0022852787941650687	0.9255854461002516
mock_0610010K14Rik_1_47	0.028695351695108506	0.119798722663054
mock_0610010K14Rik_1_48	0.010427843747166876	0.6056706018966518
0610010K14Rik_3	0.03677986727651761	0.05448035610605768
mock_0610010K14Rik_3_0	0.006589498601949573	0.757886587962067
mock_0610010K14Rik_3_1	0.001444301311476659	0.9535513837816915
mock_0610010K14Rik_3_3	0.011813494168589456	0.5508031739887749
mock_0610010K14Rik_3_5	0.01799535735004365	0.33317205341590866
mock_0610010K14Rik_3_6	0.0013275531661637308	0.9572285658989743
mock_0610010K14Rik_3_7	0.009302523909347493	0.6528933617185988
mock_0610010K14Rik_3_8	0.0029069149687969142	0.9049738726533773
mock_0610010K14Rik_3_9	0.019960308590001752	0.27743371395393845
mock_0610010K14Rik_3_10	0.006817886836263609	0.749274240371589
mock_0610010K14Rik_3_11	0.0185105364697169	0.31643119798722663
mock_0610010K14Rik_3_12	0.006967787076200049	0.7438552351461196
mock_0610010K14Rik_3_14	0.009956680968606801	0.6253144958389781
mock_0610010K14Rik_3_15	0.005822849126394414	0.7902070834139733
mock_0610010K14Rik_3_16	0.011146261491982279	0.5780917360170311
mock_0610010K14Rik_3_17	0.0016358667732547794	0.9479388426553126
mock_0610010K14Rik_3_20	0.006844367680834851	0.7485968647184053
mock_0610010K14Rik_3_21	0.007355577899012644	0.7286626669247145
mock_0610010K14Rik_3_22	0.003919830340308628	0.8675246758273659
mock_0610010K14Rik_3_23	0.009425940355790252	0.6459260692858525
mock_0610010K14Rik_3_24	0.013531711547088654	0.48732339849041995
mock_0610010K14Rik_3_25	0.021131876879389333	0.2509192955293207
mock_0610010K14Rik_3_27	0.010235265763936963	0.6128314302303077
mock_0610010K14Rik_3_28	0.001264295539223248	0.9595509967098896
mock_0610010K14Rik_3_29	0.020738701456438857	0.2593381072188891
mock_0610010K14Rik_3_31	0.0006505463435214631	0.9807431778594929
mock_0610010K14Rik_3_32	0.0014095978095213235	0.9550029030385137
mock_0610010K14Rik_3_34	0.0096025540679755	0.6384749371008323
mock_0610010K14Rik_3_37	0.0009614904056712836	0.970582543061738
mock_0610010K14Rik_3_38	0.016674482976165694	0.3730404490032901
mock_0610010K14Rik_3_39	0.0017760391256078645	0.9429069092316624
mock_0610010K14Rik_3_40	0.008114809556907354	0.698954906135088
mock_0610010K14Rik_3_41	0.017674804423240653	0.343139152312754
mock_0610010K14Rik_3_43	0.0017180112909365164	0.9452293400425779
mock_0610010K14Rik_3_44	0.004808279164352891	0.832010838010451
mock_0610010K14Rik_3_46	0.021712494676524252	0.23592026320882523
mock_0610010K14Rik_3_47	0.021918399292301993	0.2312754015869944
mock_0610010K14Rik_3_49	0.004976315783533969	0.8260112250822528
0610010K14Rik_4	0.0026223713719267794	0.9132959163924909
mock_0610010K14Rik_4_0	0.022218730139451193	0.22343719760015482
mock_0610010K14Rik_4_1	0.0160900444307579	0.39239403909425197
mock_0610010K14Rik_4_2	0.002849674464360352	0.9070059996129282
mock_0610010K14Rik_4_3	0.005434887218894957	0.8065608670408361
mock_0610010K14Rik_4_4	0.032060633825545026	0.08534933230114186
mock_0610010K14Rik_4_5	0.00272575097653327	0.9103928778788465
mock_0610010K14Rik_4_8	0.0176609480153338	0.34352622411457323
mock_0610010K14Rik_4_9	0.020729159215827853	0.25962841107025353
mock_0610010K14Rik_4_10	0.0004818662588422784	0.9846138958776853
mock_0610010K14Rik_4_11	0.03420128989524396	0.06880201277336946
mock_0610010K14Rik_4_13	0.026534164313964492	0.14650667698858139
mock_0610010K14Rik_4_15	0.018359233986972923	0.3212695955099671
mock_0610010K14Rik_4_16	0.02076683673719093	0.25885426746661505
mock_0610010K14Rik_4_17	0.017537858556910146	0.34855815753822333
mock_0610010K14Rik_4_20	0.005034658453220597	0.8227211147667892
mock_0610010K14Rik_4_22	0.028397831069502222	0.1229920650280627
mock_0610010K14Rik_4_23	0.03584643455819203	0.0609638087865299
mock_0610010K14Rik_4_24	0.008961071132294052	0.666537642732727
mock_0610010K14Rik_4_25	0.004271595632183045	0.8527191794077802
mock_0610010K14Rik_4_27	0.007999841544243158	0.7031159280046448
mock_0610010K14Rik_4_28	0.001761182764156155	0.9433907489839365
mock_0610010K14Rik_4_29	0.008989861181701753	0.6652796593768144
mock_0610010K14Rik_4_30	0.02043324532822144	0.2666924714534546
mock_0610010K14Rik_4_31	0.018343340847373768	0.3215598993613315
mock_0610010K14Rik_4_33	0.003060008040274842	0.8995548674279079
mock_0610010K14Rik_4_34	0.008612333527232119	0.6791174762918522
mock_0610010K14Rik_4_37	0.010559016083557804	0.599961292819818
mock_0610010K14Rik_4_38	0.028275514535370472	0.12454035223533966
mock_0610010K14Rik_4_41	0.02803569020013874	0.12754015869943874
mock_0610010K14Rik_4_42	0.032724337381560664	0.07944648732339848
mock_0610010K14Rik_4_43	0.007407300062481692	0.7255660925101607
mock_0610010K14Rik_4_44	0.011881528705304789	0.5486742790787691
mock_0610010K14Rik_4_45	0.006029158165542392	0.7821753435262241
mock_0610010K14Rik_4_46	0.014088026257074171	0.46767950454809365
mock_0610010K14Rik_4_47	0.004261158349707195	0.8532030191600541
mock_0610010K14Rik_4_48	0.021171519445387865	0.24966131217340817
0610010K14Rik_6	0.011782484370106094	0.5522546932455971
mock_0610010K14Rik_6_0	0.020308302199200767	0.2697890458680085
mock_0610010K14Rik_6_1	0.018976479553356906	0.3046255080317399
mock_0610010K14Rik_6_2	0.03428492620622969	0.0681246371201858
mock_0610010K14Rik_6_3	0.009428342003585444	0.6458293013353977
mock_0610010K14Rik_6_4	0.029419427896555828	0.11108960712212115
mock_0610010K14Rik_6_5	0.006845163170975721	0.7485000967679505
mock_0610010K14Rik_6_6	0.0007617198662648317	0.9777433713953938
mock_0610010K14Rik_6_7	0.015919078376611218	0.39839365202245014
mock_0610010K14Rik_6_8	0.04543581008771591	0.021966324753241725
mock_0610010K14Rik_6_10	0.003600348056681524	0.8807818850396748
mock_0610010K14Rik_6_12	0.0010900233559116845	0.9659376814399071
mock_0610010K14Rik_6_13	0.054426127656615364	0.009483259144571318
mock_0610010K14Rik_6_14	0.014271083638999205	0.4598413005612541
mock_0610010K14Rik_6_15	0.020972569403531538	0.2550803173988775
mock_0610010K14Rik_6_16	0.0202844551421012	0.27046642152119216
mock_0610010K14Rik_6_17	0.04468061721184713	0.023708147861428296
mock_0610010K14Rik_6_18	0.017249762208658037	0.3556222179214244
mock_0610010K14Rik_6_19	0.01754493565050186	0.3482678536868589
mock_0610010K14Rik_6_20	0.018163004873242294	0.326882136636346
mock_0610010K14Rik_6_21	0.03170915076241865	0.08854267466615057
mock_0610010K14Rik_6_25	0.004771206408784812	0.8333655893168183
mock_0610010K14Rik_6_29	0.020653872015379493	0.2614670021288949
mock_0610010K14Rik_6_30	0.029173218683053115	0.11437971743758467
mock_0610010K14Rik_6_32	0.015882048239805546	0.3996516353783627
mock_0610010K14Rik_6_34	0.017789041301470077	0.3401393458486549
mock_0610010K14Rik_6_35	0.019486467488616377	0.29069092316624734
mock_0610010K14Rik_6_37	0.031209027802915457	0.09270369653570737
mock_0610010K14Rik_6_39	0.038114967622152496	0.04722275982194697
mock_0610010K14Rik_6_40	0.008860751546114431	0.6697309850977357
mock_0610010K14Rik_6_47	0.016656705783780645	0.3742984323592026
mock_0610010K14Rik_6_48	0.04116563914443239	0.03367524675827366
mock_0610010K14Rik_6_49	0.018659521933356737	0.31256047996903424
2410002F23Rik_5	0.0261727128664222	0.15153861041223146
mock_2410002F23Rik_5_0	0.004321492623585388	0.851267660150958
mock_2410002F23Rik_5_1	0.006244954885033738	0.7725953164311979
mock_2410002F23Rik_5_2	0.021583835958963515	0.23998451712792723
mock_2410002F23Rik_5_3	0.01245518038207627	0.5291271530868976
mock_2410002F23Rik_5_4	0.01446248368250691	0.45326107993032705
mock_2410002F23Rik_5_5	0.026155360832325836	0.15202245016450552
mock_2410002F23Rik_5_6	0.02916141837522157	0.11447648538803948
mock_2410002F23Rik_5_7	0.013303699888291831	0.49680665763499127
mock_2410002F23Rik_5_8	0.018613159526949752	0.3141087671763112
mock_2410002F23Rik_5_9	0.019139376315844836	0.30094832591445714
mock_2410002F23Rik_5_10	0.031631756156781266	0.08922005031933423
mock_2410002F23Rik_5_11	0.005897130387872873	0.787304044900329
mock_2410002F23Rik_5_12	0.012766027223862442	0.516740855428682
mock_2410002F23Rik_5_13	0.01202564023362851	0.5437391136055738
mock_2410002F23Rik_5_14	0.0008783285645027616	0.9738726533772015
mock_2410002F23Rik_5_15	0.016099697054371642	0.3917166634410683
mock_2410002F23Rik_5_18	0.0084631063741325	0.6850203212695956
mock_2410002F23Rik_5_19	0.014479444067455938	0.45219663247532416
mock_2410002F23Rik_5_20	0.002973923152568503	0.9020708341397329
mock_2410002F23Rik_5_21	0.0274089342638828	0.13441068318173022
mock_2410002F23Rik_5_23	0.016385681381992145	0.384265531256048
mock_2410002F23Rik_5_24	0.010880553559390771	0.5884459067156957
mock_2410002F23Rik_5_25	0.015341105530411792	0.419295529320689
mock_2410002F23Rik_5_26	0.02671247272728594	0.1435068705244823
mock_2410002F23Rik_5_27	0.006473056972202906	0.7623379136829882
mock_2410002F23Rik_5_28	0.006796335358185579	0.7500483839752274
mock_2410002F23Rik_5_29	0.0031213920968795605	0.8971356686665376
mock_2410002F23Rik_5_30	0.011980879205299444	0.5452874008128508
mock_2410002F23Rik_5_31	0.005304572225954929	0.8117863363653958
mock_2410002F23Rik_5_35	0.018294097654077857	0.32262434681633445
mock_2410002F23Rik_5_36	0.013237274242460795	0.49932262434681635
mock_2410002F23Rik_5_38	0.00913310198682371	0.6598606541513451
mock_2410002F23Rik_5_40	0.02300930411334845	0.2066963421714728
mock_2410002F23Rik_5_41	0.014987753161843642	0.4312947551770854
mock_2410002F23Rik_5_42	0.02525890981132295	0.16711825043545578
mock_2410002F23Rik_5_43	0.001808739674614146	0.9422295335784788
mock_2410002F23Rik_5_44	0.016980739970286596	0.36326688600735435
mock_2410002F23Rik_5_45	0.00027536682538364943	0.9907102767563383
mock_2410002F23Rik_5_46	0.00934311214279393	0.6504741629572286
mock_2410002F23Rik_5_47	0.01147883206565592	0.5661892781110897
mock_2410002F23Rik_5_48	0.006125246934230444	0.7782078575575769
mock_2410002F23Rik_5_49	0.011189849991286915	0.5763499129088446
2410004B18Rik_nmdSE_1	0.01353574124141721	0.48703309463905553
mock_2410004B18Rik_nmdSE_1_0	0.022174751304161133	0.22450164505515774
mock_2410004B18Rik_nmdSE_1_2	0.0010148708801538397	0.9680665763499129
mock_2410004B18Rik_nmdSE_1_3	4.7647968364428195e-05	0.9980646409909039
mock_2410004B18Rik_nmdSE_1_4	0.002531633372360509	0.9162957228565899
mock_2410004B18Rik_nmdSE_1_6	0.026311764418255	0.15008709115540933
mock_2410004B18Rik_nmdSE_1_7	0.019636569770787093	0.28711050899941937
mock_2410004B18Rik_nmdSE_1_9	0.004537772627904557	0.8427520805109348
mock_2410004B18Rik_nmdSE_1_11	0.007431182023285743	0.7246951809560673
mock_2410004B18Rik_nmdSE_1_12	0.003732206388501691	0.8751693439132959
mock_2410004B18Rik_nmdSE_1_14	0.00040211422371549954	0.9869363266886008
mock_2410004B18Rik_nmdSE_1_15	0.029051752458017277	0.11592800464486162
mock_2410004B18Rik_nmdSE_1_16	0.004072519585726075	0.8612347590478033
mock_2410004B18Rik_nmdSE_1_17	0.01117269613704186	0.5772208244629379
mock_2410004B18Rik_nmdSE_1_18	0.03088690012390083	0.09647764660344493
mock_2410004B18Rik_nmdSE_1_19	0.054981027543681726	0.008709115540932844
mock_2410004B18Rik_nmdSE_1_21	0.003513223200332982	0.8835881556028643
mock_2410004B18Rik_nmdSE_1_23	0.022283295534963332	0.2219856783433327
