	PC1	PC2	cell_type	AC
SRR5756613	-32.7297892795429	33.453842187651894	E7.25	2
SRR5756614	-2.11265107475618	7.45893549941869	E7.25	0
SRR5756615	-9.81882819839918	11.879738731405801	E7.25	0
SRR5756616	-10.6423218707245	21.153234356992396	E7.25	0
SRR5756617	0.7079363773507571	12.6385048059636	E7.25	0
SRR5756618	-43.8069902910019	28.7254389379011	E7.25	2
SRR5756619	-10.4126543441315	14.5861693066036	E7.25	0
SRR5756620	-43.2935843373948	23.349261550208002	E7.25	2
SRR5756621	-8.91179408321926	1.66437804443578	E7.25	0
SRR5756622	-3.3354765273603	19.7010890482245	E7.25	0
SRR5756623	-33.1096407874381	17.4581028695499	E7.25	2
SRR5756624	-0.577747864847793	-1.2783630778866102	E7.25	1
SRR5756625	-1.95393532411366	14.4763475611078	E7.25	0
SRR5756626	3.7128463849734	3.86433349905721	E7.25	0
SRR5756627	-34.4796168368229	30.875768074777106	E7.25	2
SRR5756628	-6.3240116515224	12.8294736620465	E7.25	0
SRR5756629	-36.39644678243821	29.1047150767267	E7.25	2
SRR5756630	-0.257474561919377	11.166109194664	E7.25	0
SRR5756631	-29.0851828233966	22.7041255727893	E7.25	2
SRR5756632	-14.9609946096664	-2.09159566251014	E7.25	1
SRR5756633	-7.15832647233637	20.9801028661274	E7.25	0
SRR5756634	-5.87195429751215	2.63050963338779	E7.25	0
SRR5756635	-6.16867461145008	4.14576136423616	E7.25	0
SRR5756636	-2.931315403822	-11.7009545006771	E7.25	1
SRR5756637	1.76451349990354	6.917226357168	E7.25	0
SRR5756638	1.9715437170317	2.26443719409557	E7.25	0
SRR5756639	5.06285256267516	2.07825118660248	E7.25	0
SRR5756640	-19.4007166215456	32.142164266329395	E7.25	2
SRR5756641	-9.024123874950721	10.1478781004511	E7.25	0
SRR5756642	-5.02234239601691	8.54961352503723	E7.25	0
SRR5756643	-6.737092089313049	24.607064602904806	E7.25	0
SRR5756644	3.33144208763093	14.074584829918	E7.25	0
SRR5756645	-5.80534515702221	4.62599750311849	E7.25	0
SRR5756646	-0.309518500656622	10.4770758744519	E7.25	0
SRR5756647	-10.996974521171598	13.5715049409781	E7.25	0
SRR5756648	-3.87266329262706	1.07696999991266	E7.25	0
SRR5756649	4.87843139648192	5.8282718623281005	E7.25	0
SRR5756650	3.19946551163611	-3.92953159384548	E7.25	1
SRR5756651	2.0482955897011	16.8378706263914	E7.25	0
SRR5756652	-0.9041586755686468	17.6693295772811	E7.25	0
SRR5756653	-7.077386461898531	-0.9156143268935828	E7.25	0
SRR5756654	-6.640686095046999	9.924264214917027	E7.25	0
SRR5756655	10.399157317620599	10.122686086402402	E7.25	0
SRR5756656	-1.12649396834062	-4.24585896834578	E7.25	1
SRR5756657	-6.9679906926371205	9.881402120557961	E7.25	0
SRR5756658	11.750852160101699	-1.23424590354978	E7.25	0
SRR5756659	-5.850901626073	16.858704159309898	E7.25	0
SRR5756660	-1.5812523790104198	19.6181873333536	E7.25	0
SRR5756661	-7.04264967903821	13.3246197159689	E7.25	0
SRR5756662	-8.31119137443936	13.387043160627902	E7.25	0
SRR5756663	-10.6692544941179	0.005749216906866379	E7.25	0
SRR5756664	-0.8626036528420401	4.309563852403819	E7.25	0
SRR5756665	-3.75642390204999	10.583200974653598	E7.25	0
SRR5756666	-9.21929083783844	4.823646488553849	E7.25	0
SRR5756667	-2.30128229990764	10.727134512681099	E7.25	0
SRR5756668	-2.20887649151184	10.6593736019464	E7.25	0
SRR5756669	-2.1172979240271004	-0.9448969264400828	E7.25	1
SRR5756670	7.6648919890029585	8.09281700645701	E7.25	0
SRR5756671	-0.8107258960857929	13.9301988051317	E7.25	0
SRR5756672	5.295169955172192	-0.122911665025276	E7.25	0
SRR5756673	-4.4028733458995095	11.569251971742	E7.25	0
SRR5756674	-5.6678748641254915	13.750455874736199	E7.25	0
SRR5756675	-4.08922033824586	7.28100495506194	E7.25	0
SRR5756676	-4.10621023397647	2.9832301483051	E7.25	0
SRR5756677	2.64433326484718	0.939951725599144	E7.25	0
SRR5756678	0.658666647201166	15.8896344518131	E7.25	0
SRR5756679	-4.70375985682718	5.156895967134741	E7.25	0
SRR5756680	-10.5186683143642	7.63718803112082	E7.25	0
SRR5756681	-12.438161420118899	10.4297756467256	E7.25	0
SRR5756682	-1.6709064244928402	10.4031915309415	E7.25	0
SRR5756683	0.373995932914384	8.84358978919921	E7.25	0
SRR5756684	6.544040371293	17.472446079843902	E7.25	0
SRR5756685	-0.10014315922949303	20.584652811909802	E7.25	0
SRR5756686	-0.535733145636523	14.343476449933199	E7.25	0
SRR5756687	-4.152454939814049	5.47542707218434	E7.25	0
SRR5756688	3.36206461369538	13.6211008076661	E7.25	0
SRR5756689	-20.504683465349103	2.2999580859541897	E7.25	1
SRR5756690	-7.1740357138463615	17.194781029233	E7.25	0
SRR5756691	-1.23312903690256	5.37518026213239	E7.25	0
SRR5756692	-11.450049249814	1.2129439441049	E7.25	0
SRR5756693	8.70765565940008	6.8450018895274605	E7.25	0
SRR5756694	-0.905253460466807	-12.0903719504239	E7.25	1
SRR5756695	17.278810495326	11.4658956243744	E7.25	0
SRR5756696	-20.3897031329517	29.9653352871042	E7.25	2
SRR5756697	7.613164451617742	-10.680264392631	E7.25	1
SRR5756698	11.516196070350098	-4.36294762303362	E7.25	0
SRR5756699	-24.3771074515365	30.8893736192519	E7.25	2
SRR5756700	10.594209156439401	3.24736849716	E7.25	0
SRR5756701	3.31848328836735	5.31101131399022	E7.25	0
SRR5756702	8.774324956303081	-7.76734265762859	E7.25	1
SRR5756703	-33.61968066732361	17.2743337837672	E7.25	2
SRR5756704	9.13129135142397	14.036890922462401	E7.25	0
SRR5756705	0.6549160857863711	-7.67588038114959	E7.25	1
SRR5756706	-0.967522362849698	-8.02804320011438	E7.25	1
SRR5756707	10.2560876853875	-2.48989072105308	E7.25	0
SRR5756708	7.20462814863858	1.28348963765564	E7.25	0
SRR5756709	4.31805929995359	-0.781089329425079	E7.25	0
SRR5756710	5.30988361350648	1.09169281423293	E7.25	0
SRR5756711	7.01959976524189	9.24028791530333	E7.25	0
SRR5756712	11.0531101036202	4.93960400156633	E7.25	0
SRR5756713	7.41889894523959	13.7476632501822	E7.25	0
SRR5756714	12.8920136190664	11.304870687386599	E7.25	0
SRR5756715	17.887485597351198	6.39570630974243	E7.25	0
SRR5756716	14.8332414179393	10.0609697695562	E7.25	0
