	C_score	pval
0610010K14Rik_1	0.008343239477286324	0.22977022977022976
0610010K14Rik_2	0.0016943211204221154	0.8891108891108891
0610010K14Rik_3	0.03217419875862382	0.000999000999000999
0610010K14Rik_4	0.01818750621574705	0.025974025974025976
0610010K14Rik_6	0.04054492322492109	0.012987012987012988
1110038B12Rik_1	0.0443353438154217	0.000999000999000999
1110038B12Rik_8	0.003222892060777194	0.8441558441558441
1110059E24Rik_3	0.02270467831566958	0.030969030969030968
1110059G10Rik_1	0.03391739495402968	0.0899100899100899
1810032O08Rik_1	0.012935723912804509	0.5074925074925075
2410002F23Rik_1	0.025597138793608698	0.000999000999000999
2410002F23Rik_10	0.01915192810249	0.06993006993006994
2410002F23Rik_11	0.020766712968896317	0.05094905094905095
2410002F23Rik_2	0.011533059826614123	0.03396603396603397
2410002F23Rik_3	0.016618208183458383	0.000999000999000999
2410004B18Rik_nmdSE_1	0.02492878210464977	0.012987012987012988
2610318N02Rik_1	0.013548705713452125	0.13086913086913088
2700099C18Rik_1	0.010075280449453605	0.15484515484515485
3110009E18Rik_1	0.009253156987256483	0.6713286713286714
4833439L19Rik_2	0.00902249829155477	0.5794205794205795
5530601H04Rik_1	0.006847982776187367	0.23876123876123875
9430038I01Rik_1	0.01838022992321431	0.18581418581418582
9430038I01Rik_2	0.012796536752941123	0.3906093906093906
A430005L14Rik_1	0.012676644137958548	0.44955044955044954
Aamdc_12	0.000892218378794718	0.9440559440559441
Aamdc_4	0.005689220381908555	0.7272727272727273
Abcd3_1	0.009824681982500083	0.36863136863136864
Abhd10_2	0.04297404817639805	0.04395604395604396
Abhd14a_1	0.01048765366557658	0.23476523476523475
Abhd14a_4	0.018040466106085562	0.03696303696303696
Abi1_2	0.04933722019585418	0.005994005994005994
Abi1_5	0.20852186926672678	0.000999000999000999
Acin1_2	0.005149233589566871	0.5404595404595405
Acin1_8	0.002532291827302968	0.8271728271728271
Acot8_1	0.036375955418613715	0.011988011988011988
Actr3b_5	0.009173459235275017	0.6193806193806194
Add1_3	0.07284568966868865	0.000999000999000999
Add1_9	0.10631529661020778	0.000999000999000999
Add3_1	0.13903754741900176	0.000999000999000999
Adpgk_1	0.019569344503414854	0.3086913086913087
Adprm_2	0.028095947206380756	0.07292707292707293
Aen_1	0.002947512255082607	0.8121878121878122
Aen_2	0.0013470565992379502	0.8921078921078921
Akap9_6	0.09386727091879266	0.000999000999000999
Aldoa_1	0.047347661778436745	0.000999000999000999
Alg13_10	0.035302446750305694	0.029970029970029972
Alg3_1	0.006551911769776431	0.7262737262737263
Alkbh3_1	0.03088924413120342	0.04895104895104895
Alkbh3_2	0.00856841438462752	0.12187812187812187
Amn1_1	0.02178677698899467	0.15084915084915085
Anapc15_3	0.02715228087530519	0.16883116883116883
Anapc16_1	0.007496266660370288	0.2947052947052947
Anapc16_4	0.014260835897335844	0.3966033966033966
Angel2_2	0.02568409412325867	0.1108891108891109
Ankra2_1	0.002770552775722912	0.8451548451548452
Ankrd10_nmdSE_2	0.030504640463475452	0.05094905094905095
Ankrd17_2	0.001245964940954969	0.9210789210789211
Anks3_12	0.01893484937825085	0.43456543456543456
Anxa6_1	0.011692558618966564	0.08791208791208792
Ap2b1_2	0.006647216487511987	0.25874125874125875
Aplp2_2	0.02297626483855686	0.000999000999000999
Arfgap1_2	0.043391480097150104	0.04195804195804196
Arfgap1_4	0.008387652204014384	0.6133866133866134
Arfgap1_7	0.006989408247094042	0.7732267732267732
Arfrp1_17	0.09036420989918015	0.001998001998001998
Armc8_2	0.014920213467084165	0.27972027972027974
Armcx1_2	0.019522928958029206	0.000999000999000999
Armcx1_3	0.011456128541912025	0.028971028971028972
