	C_score	pval
AAMDC_3	0.0030328797330726465	0.9300699300699301
AARSD1_3	0.0009973262237070735	0.9820179820179821
ABL2_2	0.010255678417890879	0.5084915084915085
ACIN1_3	0.024357581134326067	0.007992007992007992
ACOT9_1	0.03406475132771358	0.3626373626373626
ACOT9_5	0.0038533056780797326	0.9080919080919081
ADIRF_1	0.011948434641271821	0.4075924075924076
ADRM1_3	0.009933951615548664	0.7482517482517482
ADSL_2	0.0010288491725488624	0.957042957042957
AHI1_9	0.02374353125469697	0.15584415584415584
AIMP2_2	0.01899564958257194	0.5614385614385614
AKAP9_8	0.016787705570893152	0.6043956043956044
AKIP1_2	0.0010572293122529386	0.991008991008991
AKR1A1_1	0.007580026249738414	0.7082917082917083
AKR1A1_2	0.012354148552753075	0.3926073926073926
ALDOA_1	0.01781431061013783	0.3646353646353646
ALG11_4	0.008575277407627091	0.6593406593406593
ANAPC15_2	0.03255970970684119	0.3826173826173826
ANAPC15_3	0.021353925989298417	0.5494505494505495
ANAPC16_1	0.03379731867610458	0.31868131868131866
ANAPC16_2	0.01203545758995761	0.18681318681318682
ANAPC16_3	0.00460796587967105	0.7872127872127872
ANAPC16_4	0.0022423863496159324	0.9200799200799201
ANAPC16_6	0.000801273737767394	0.977022977022977
ANAPC5_2	0.03691081740782365	0.33966033966033965
ANKRD10_3	0.019991618357351304	0.44655344655344653
ANXA2_2	0.0417828316233857	0.14585414585414586
ANXA2_3	0.007422007327327229	0.7072927072927073
ANXA2_5	0.004710517232577871	0.8901098901098901
ANXA2_7	0.05448911191516814	0.07092907092907093
AP2M1_5	0.02718789864244331	0.06593406593406594
APOPT1_6	0.006186697070663549	0.6903096903096904
APOPT1_8	0.013068381795662165	0.6153846153846154
ARHGAP29_1	0.0484765527495673	0.1918081918081918
ARIH2_11	0.015863702951784964	0.10589410589410589
ARL4A_2	0.022543228001018933	0.35064935064935066
ARPC1B_3	0.004392202747827256	0.8941058941058941
ARPC1B_6	0.007024013325246048	0.8301698301698301
ARPP19_3	0.004871497970734273	0.8581418581418582
ASPH_12	0.015127493273645487	0.5034965034965035
ASPH_18	0.009747910909318036	0.5694305694305695
ATP2B1_2	0.15223702841547793	0.000999000999000999
ATRX_3	0.017577468610244118	0.44155844155844154
ATRX_6	0.024077365858806377	0.4485514485514486
AZIN1_1	0.01148215008016551	0.5394605394605395
AZIN1_4	0.011503628297204749	0.5394605394605395
BBX_5	0.087137212378667	0.025974025974025976
BCLAF1_2	0.032810640633522015	0.04595404595404595
BECN1_4	0.026018862562095513	0.4745254745254745
BOLA3_1	0.0036718717149495372	0.8221778221778222
C1orf43_1	0.03438098233031639	0.09490509490509491
C1orf43_7	0.004328480919746136	0.7502497502497503
C6orf48_2	0.009103105360671604	0.5674325674325674
C6orf48_3	0.007317841542164971	0.6563436563436563
C8orf59_1	0.007929609210742372	0.6883116883116883
C8orf59_2	0.0005253920479482144	0.974025974025974
C8orf59_3	0.0010249358461363878	0.942057942057942
C8orf59_4	0.0009720024348095491	0.954045954045954
CALD1_3	0.09130337157342072	0.015984015984015984
CAP1_1	0.006948218108056681	0.8321678321678322
CAST_1	2.400312841976948e-05	0.999000999000999
CAST_10	0.014593857992908355	0.06393606393606394
