	C_score	pval
0610010K14Rik_1	0.015680442328209976	0.26373626373626374
0610010K14Rik_2	0.005293919681461423	0.8151848151848152
0610010K14Rik_3	0.06162983894320251	0.000999000999000999
0610010K14Rik_4	0.026080887372428974	0.058941058941058944
0610010K14Rik_6	0.05573643499796144	0.026973026973026972
1110038B12Rik_1	0.14359971204438793	0.000999000999000999
1110038B12Rik_8	0.024584139020447093	0.4775224775224775
1110059E24Rik_3	0.04508286910566428	0.026973026973026972
1110059G10Rik_1	0.04042796805019122	0.23076923076923078
2410002F23Rik_1	0.08942674198634737	0.000999000999000999
2410002F23Rik_10	0.051810447662590464	0.00999000999000999
2410002F23Rik_11	0.04977612581016666	0.015984015984015984
2410002F23Rik_2	0.06373049225881267	0.000999000999000999
2410002F23Rik_3	0.06701672065114106	0.000999000999000999
2410004B18Rik_nmdSE_1	0.05326870150067986	0.006993006993006993
2610318N02Rik_1	0.05218343032507877	0.007992007992007992
2700099C18Rik_1	0.026607740704687632	0.04295704295704296
3110009E18Rik_1	0.02880306541707478	0.47952047952047955
4833439L19Rik_2	0.014876331068749638	0.6603396603396603
4833439L19Rik_4	0.010050513471272615	0.7832167832167832
5530601H04Rik_1	0.010686206806965859	0.46153846153846156
9430038I01Rik_1	0.022300607590664767	0.4155844155844156
9430038I01Rik_2	0.04455146257966436	0.12987012987012986
A430005L14Rik_1	0.028097367986804844	0.3986013986013986
Aamdc_12	0.0069640688003228535	0.7532467532467533
Aamdc_4	0.01759768847599985	0.5714285714285714
Aar2_2	0.001160173102287887	0.97002997002997
Aar2_3	0.0001740747215736027	0.995004995004995
Abcd3_1	0.013403939865419323	0.5234765234765235
Abhd10_2	0.0799488494508449	0.054945054945054944
Abhd14a_1	0.015885489048762302	0.34765234765234765
Abhd14a_4	0.023830528134745177	0.15984015984015984
Abi1_2	0.106089634131599	0.001998001998001998
Abi1_5	0.37577582350526806	0.000999000999000999
Acin1_2	0.024037794563329773	0.12787212787212787
Acin1_8	0.026565090569953376	0.1978021978021978
Acly_1	0.0055914667275968055	0.6903096903096904
Acot8_1	0.09309506562122194	0.000999000999000999
Actr3b_5	0.02157665651586782	0.5384615384615384
Add1_1	0.03697153873631176	0.26973026973026976
Add1_3	0.11863262544057107	0.000999000999000999
Add1_9	0.1715469326058705	0.000999000999000999
Add3_1	0.38225178609355215	0.000999000999000999
Adpgk_1	0.033136245900517336	0.32967032967032966
Adprm_2	0.07664258958331949	0.012987012987012988
Akap2_1	1.7058894146271264e-05	0.999000999000999
Akap9_6	0.15991168320344007	0.000999000999000999
Aldoa_1	0.23083991088101652	0.000999000999000999
Alg13_10	0.09514966519039447	0.002997002997002997
Alg3_1	0.010941621627835407	0.7602397602397603
Alg3_3	0.03080371593536535	0.33466533466533466
Alg3_6	0.02083335592426483	0.5794205794205795
Alkbh1_nmdSE_1	0.014993016132431647	0.35264735264735264
Alkbh3_1	0.053944894946941324	0.04195804195804196
Alkbh3_2	0.02389083630635014	0.053946053946053944
Alkbh7_1	0.024000594348612903	0.4835164835164835
Amn1_1	0.048735006688147675	0.04695304695304695
Anapc15_3	0.035332158274269165	0.2957042957042957
Anapc16_1	0.025199404922333635	0.07292707292707293
Anapc16_4	0.03130506270339262	0.33466533466533466
Angel2_2	0.03453364418071203	0.27472527472527475
Ankra2_1	0.009870442527148415	0.7172827172827173
Ankrd10_nmdSE_1	0.017993517716035634	0.32967032967032966
Ankrd10_nmdSE_2	0.09474571530747422	0.002997002997002997
Ankrd17_2	0.01901368044464935	0.16183816183816183
Anks3_12	0.028687519464062228	0.4865134865134865
Anxa6_1	0.06334622002351042	0.000999000999000999
Ap2b1_2	0.025474505068601938	0.03496503496503497
Aplp2_2	0.044707410257531666	0.001998001998001998
Arfgap1_2	0.10113160739326199	0.016983016983016984
Arfgap1_4	0.03797312354736915	0.22077922077922077
Arfgap1_7	0.02266877674582235	0.5814185814185814
Arfrp1_17	0.12133574791467527	0.002997002997002997
Armc8_2	0.022929472797478256	0.4025974025974026
Armcx1_2	0.035294210924321945	0.007992007992007992
Armcx1_3	0.027703857653358588	0.04295704295704296
Armcx1_5	0.022823716031211583	0.08891108891108891
Asph_7	0.3623506592649952	0.000999000999000999
Aspscr1_1	0.003545508679506648	0.916083916083916
Atat1_6	0.04084426391171103	0.005994005994005994
Atg13_1	0.20935811288836326	0.000999000999000999
Atg13_4	0.0239708683106592	0.3756243756243756
Atg16l1_2	0.051059757919754256	0.011988011988011988
Atp5h_4	0.0034108642243397824	0.8841158841158842
Atp5j_1	0.13074346865945197	0.001998001998001998
Atp5s_1	0.05604831502121177	0.1928071928071928
Atp6v1h_1	0.15433122538271504	0.000999000999000999
Atrx_10	0.044766878112596276	0.001998001998001998
Atrx_4	0.05134493303662413	0.007992007992007992
Atrx_5	0.06137029461151566	0.02197802197802198
Atxn2_1	0.023703199616155746	0.07792207792207792
Atxn2_2	0.03276075875000917	0.0969030969030969
BC004004_4	0.031658946745510286	0.3966033966033966
BC004004_5	0.042365584388300626	0.28771228771228774
Bag6_1	0.012324198190409863	0.48951048951048953
Bag6_2	0.05177315093776491	0.23476523476523475
Banp_1	0.045275021347216615	0.09490509490509491
Banp_3	0.016215477783230958	0.4255744255744256
Bbx_5	0.08262257827014363	0.060939060939060936
Bcl2l12_1	0.004596139576653946	0.903096903096903
Bcl2l12_2	0.045842660017128445	0.11488511488511488
Bcl2l12_4	0.04296943581249468	0.2597402597402597
Bclaf1_3	0.03975497307300957	0.003996003996003996
Bclaf1_nmdSE_1	0.025751964714992637	0.45254745254745254
