	C_score	pval
ACADM_3	0.21349978680521342	0.02104894755262237
ACADM_5	0.22568904422514502	0.010749462526873657
ACP1_1	0.19749126059815036	0.12904354782260888
ACP1_2	0.3071929915874799	4.999750012499375e-05
ACP1_5	0.3031061297811197	0.005499725013749313
ACTR2_5	0.5155900043030176	4.999750012499375e-05
ACVR2A_4	0.12224470047166358	0.44577771111444425
AHI1_9	0.28656813949464865	0.015399230038498074
AKAP9_3	0.39132394525118475	4.999750012499375e-05
AKR1A1_5	0.1470337783385881	0.43097845107744615
ALDOA_1	0.23368240856289535	0.0009499525023748813
ANAPC11_3	0.14109599195255462	0.21168941552922355
ANAPC11_5	0.07300411073176527	0.784010799460027
ANAPC11_6	0.10053990938119772	0.6991150442477876
ANAPC15_4	0.12408044830391585	0.6034698265086745
ANAPC15_5	0.11612550043277259	0.6500674966251687
ANAPC16_1	0.11843918907447193	0.7234638268086596
ANXA2_1	0.3139664639837918	0.010449477526123694
APC_10	0.11030869303311963	0.680765961701915
ARID4B_3	0.2719265211878047	0.027548622568871556
ARL14EP_1	0.1668570396843495	0.45707714614269285
ARPP19_3	0.15055654265279983	0.35478226088695564
ATRX_1	0.2282635671046107	0.11219439028048597
ATRX_5	0.1821725063606281	0.3168341582920854
ATRX_6	0.1103676387749617	0.8069096545172741
BAZ2B_4	0.1256494411860949	0.6106694665266736
BAZ2B_6	0.16861773438674899	0.44847757612119393
BCLAF1_1	0.22083756646010022	0.13009349532523373
BEX4_1	0.234830568948724	0.03729813509324534
BOLA3_1	0.4427491170546619	4.999750012499375e-05
BTF3L4_1	0.14345832907855383	0.35563221838908055
BTF3L4_3	0.1309689123632386	0.45952702364881753
C11orf74_10	0.230173147881245	0.15709214539273036
C17orf49_1	0.2243401122664015	0.1176441177941103
C17orf49_4	0.27136064098899837	0.0263986800659967
C1orf43_10	0.15203297271246086	0.5260736963151842
C6orf48_5	0.14124344110180942	0.4536273186340683
C8orf59_1	0.08515078484886363	0.7643117844107795
C8orf59_2	0.27556741742212576	4.999750012499375e-05
C8orf59_3	0.2875832999143729	9.99950002499875e-05
C8orf59_4	0.25610888117328157	0.00034998250087495624
CAMTA1_3	0.14438817105313073	0.34773261336933153
CBWD2_4	0.20604336719366667	0.05319734013299335
CCDC25_4	0.2914356557914042	0.00359982000899955
CCDC25_5	0.2137440788093431	0.04314784260786961
CCDC82_2	0.11936521414515144	0.7491125443727814
CCDC90B_1	0.16982730337927987	0.12234388280585971
CD59_2	0.4361995182832388	4.999750012499375e-05
CDC42BPA_1	0.24359439084544388	0.02744862756862157
CHCHD5_3	0.3709206997399004	0.0014999250037498126
CHD6_6	0.13488157762342412	0.7245137743112844
CHURC1_2	0.18734315205878516	0.11254437278136094
CHURC1_3	0.1890307385934331	0.10784460776961152
CIAPIN1_4	0.13870219502988956	0.5992700364981751
CLTC_4	0.2545170618419538	0.01774911254437278
CMC2_1	0.2065745536544623	0.1784910754462277
CMC2_10	0.3394504117914906	0.000599970001499925
CMC2_18	0.26719756904270175	0.043647817609119545
CMC2_2	0.20509067416870108	0.18379081045947704
CMC2_4	0.34401243100692613	0.003799810009499525
CMC2_6	0.24660485102380236	0.0034498275086245686
CMC2_9	0.349375274715089	0.0030998450077496125
COA1_1	0.31781182586740997	0.001399930003499825
COPS5_4	0.23544995710802086	0.09564521773911304
COPS8_1	0.1445095571136359	0.39343032848357584
COX16_1	0.08647415883093956	0.7713614319284036
COX20_1	0.4390691239488066	4.999750012499375e-05
CRBN_1	0.23705553922622113	0.17529123543822808
CRYZL1_1	0.24708206068310934	0.14619269036548171
CSDE1_4	0.17125923451277614	0.17399130043497826
CSNK1A1_4	0.1993378714377062	0.12249387530623469
DDX6_1	0.3235626793376306	0.007149642517874106
DGUOK_1	0.5869615757881993	4.999750012499375e-05
DGUOK_11	0.14433287242464288	0.184090795460227
DGUOK_12	0.029074295389779348	0.9659517024148793
DGUOK_17	0.09754003470159411	0.6932153392330384
DGUOK_2	0.22400259628384955	0.007699615019249037
DGUOK_3	0.16935540840676833	0.09384530773461328
DGUOK_4	0.6075347074300452	4.999750012499375e-05
DGUOK_5	0.24891060503895346	0.03404829758512074
DGUOK_7	0.17960393751088988	0.02414879256037198
DGUOK_8	0.2054920629055813	0.03719814009299535
DGUOK_9	0.4037156048852667	4.999750012499375e-05
DHPS_3	0.34157323261729267	0.0017499125043747813
DNAJC19_4	0.16839493865119215	0.18839058047097645
DNAJC19_5	0.16043568520709062	0.23503824808759563
DNAJC8_2	0.17820896088382765	0.14174291285435728
DPH3_1	0.20329845631055665	0.04214789260536973
DYNC1I2_1	0.7906114574758184	4.999750012499375e-05
ECHDC1_9	0.3437238671911055	0.0015499225038748063
EIF3I_3	0.35578330924161117	0.00044997750112494374
EIF3I_4	0.3222676216477618	0.0012499375031248437
EIF3K_1	0.16538370372529343	0.1088445577721114
EIF3M_4	0.06694602444307007	0.8544572771361432
EIF4A2_3	0.3722042380629834	4.999750012499375e-05
EIF4A2_4	0.20964669791116042	0.002999850007499625
EIF4A2_7	0.39821422891993197	4.999750012499375e-05
EIF4E_1	0.624774384516857	4.999750012499375e-05
EIF5_1	0.17414518592719352	0.0783960801959902
EIF6_1	0.23408068061529663	0.01664916754162292
EMC4_3	0.10093909503836496	0.7186140692965352
ERGIC3_1	0.8706295056776772	4.999750012499375e-05
EWSR1_3	0.7673478415843294	4.999750012499375e-05
EWSR1_8	0.7741861760384202	4.999750012499375e-05
FAM192A_4	0.10415792123744771	0.8385580720963952
FAM200B_1	0.0670913535397425	0.8885055747212639
FAM204A_1	0.20788156161699212	0.027548622568871556
FDPS_3	0.18843215524092993	0.10024498775061247
FDPS_4	0.18697095759466253	0.1055447227638618
FIBP_1	0.07073342842422059	0.9326033698315084
FIS1_1	0.22059259315174296	0.02944852757362132
FIS1_2	0.39846571778658635	0.000199990000499975
G2E3_1	0.2811861619349064	0.02944852757362132
