	C_score	pval
AAMDC_3	0.01380653803235976	0.8581418581418582
ABL2_2	0.06826808864431277	0.029970029970029972
ACIN1_3	0.10044878512642663	0.000999000999000999
ACOT9_2	0.01842181118361741	0.8141858141858141
ACOT9_4	0.023436261495720534	0.7642357642357642
ACOT9_5	0.017088673387134046	0.8291708291708292
ADIRF_1	0.006791424131772805	0.8261738261738262
ADRM1_3	0.022816205883343765	0.7352647352647352
AHI1_7	0.021037431977537602	0.5534465534465535
AHI1_9	0.04824360783264181	0.16683316683316685
AIMP2_2	2.251214517456912e-05	1.0
AKAP9_8	0.04280992667617611	0.5374625374625375
AKIP1_2	0.01188699798743087	0.8151848151848152
AKR1A1_2	0.04026966071288607	0.17882117882117882
ALDOA_1	0.0326147013334388	0.4275724275724276
ALG11_4	0.019560451838116943	0.6433566433566433
ANAPC15_2	0.054391187163021715	0.4755244755244755
ANAPC15_3	0.04369985989572134	0.5634365634365635
ANAPC16_1	0.005587074961202476	0.939060939060939
ANAPC16_2	0.024471302644071713	0.2647352647352647
ANAPC16_3	0.020963518058191077	0.4805194805194805
ANAPC16_4	0.029342306012960062	0.5054945054945055
ANAPC16_6	0.013934800924521928	0.7772227772227772
ANAPC5_2	0.08978800529570596	0.22577422577422576
ANKRD10_3	0.06349407598572732	0.2677322677322677
ANXA2_2	0.17487945695493157	0.002997002997002997
ANXA2_3	0.003046212804850734	0.9410589410589411
ANXA2_5	0.025716890065953013	0.3836163836163836
ANXA2_7	0.10037529382697241	0.1108891108891109
ANXA7_1	0.033810051701029464	0.6353646353646354
AP2M1_5	0.09747082957148434	0.002997002997002997
APOPT1_6	0.01449456900532431	0.6573426573426573
ARHGAP29_1	0.23679357175349092	0.004995004995004995
ARIH2_11	0.02248091950823583	0.46853146853146854
ARL4A_2	0.06536099903375447	0.2017982017982018
ARPC1B_3	0.024918518278829405	0.7462537462537463
ARPC1B_6	0.005306302078594505	0.9470529470529471
ARPP19_3	0.037394683545218466	0.45454545454545453
ARPP19_6	0.001932979983662042	0.975024975024975
ASPH_12	0.025885727552485527	0.6103896103896104
ASPH_18	0.04544130911593269	0.1938061938061938
ATP2B1_2	0.31776289386205936	0.000999000999000999
ATRX_3	0.041568370904706775	0.3986013986013986
ATRX_6	0.00213628251901421	0.9790209790209791
AZIN1_1	0.030852162873432176	0.43156843156843155
AZIN1_4	0.03374095947745748	0.3986013986013986
BBIP1_3	0.045333542271401295	0.37662337662337664
BBX_5	0.19247107409933784	0.013986013986013986
BCLAF1_2	0.07678829055170422	0.03996003996003996
BECN1_10	0.011395287289359013	0.8881118881118881
BECN1_4	0.043211116308413455	0.5634365634365635
BOLA3_1	0.006953291405159212	0.8411588411588412
BTF3L4_2	0.005489005997518004	0.9000999000999002
C1orf43_1	0.10530296415412843	0.027972027972027972
C6orf48_2	0.0191524521529558	0.5704295704295704
C6orf48_3	0.021117300658798133	0.5314685314685315
C8orf59_1	0.023247172708006247	0.5714285714285714
C8orf59_2	0.006723698934503419	0.8221778221778222
C8orf59_3	0.006358952140432361	0.8241758241758241
CALCOCO2_6	0.05479342394127995	0.5114885114885115
CALD1_3	0.2134570878055141	0.001998001998001998
CAMTA1_2	0.008415764499243084	0.7912087912087912
CAP1_1	0.057401992577997496	0.44755244755244755
CASP3_1	0.023413316986671484	0.4905094905094905
CASP3_2	0.013992419712677617	0.7772227772227772
CAST_1	0.027506231901164302	0.5864135864135864
CAST_10	0.03136636761128364	0.12987012987012986
CAST_3	0.03153325950530128	0.5214785214785215
