	C_score	pval
0610010K14Rik_1	0.015680442328209976	0.2585870706464677
0610010K14Rik_2	0.005293919681461423	0.8215089245537723
0610010K14Rik_3	0.06162983894320251	0.00014999250037498125
0610010K14Rik_4	0.026080887372428974	0.06649667516624169
0610010K14Rik_6	0.05573643499796144	0.02384880755962202
1110038B12Rik_1	0.14359971204438793	4.999750012499375e-05
1110038B12Rik_8	0.024584139020447093	0.4279786010699465
1110059E24Rik_3	0.04508286910566428	0.0247987600619969
1110059G10Rik_1	0.04042796805019122	0.25143742812859354
2410002F23Rik_1	0.08942674198634737	4.999750012499375e-05
2410002F23Rik_10	0.051810447662590464	0.020348982550872457
2410002F23Rik_11	0.04977612581016666	0.02534873256337183
2410002F23Rik_2	0.06373049225881267	4.999750012499375e-05
2410002F23Rik_3	0.06701672065114106	4.999750012499375e-05
2410004B18Rik_nmdSE_1	0.05326870150067986	0.003749812509374531
2610318N02Rik_1	0.05218343032507877	0.004499775011249437
2700099C18Rik_1	0.026607740704687632	0.05529723513824309
3110009E18Rik_1	0.02880306541707478	0.463626818659067
4833439L19Rik_2	0.014876331068749638	0.6286185690715465
4833439L19Rik_4	0.010050513471272615	0.7712614369281536
5530601H04Rik_1	0.010686206806965859	0.4389280535973201
9430038I01Rik_1	0.022300607590664767	0.38768061596920156
9430038I01Rik_2	0.04455146257966436	0.12364381780910955
A430005L14Rik_1	0.028097367986804844	0.3688815559222039
Aamdc_12	0.0069640688003228535	0.7175141242937854
Aamdc_4	0.01759768847599985	0.5627718614069297
Aar2_2	0.001160173102287887	0.9663516824158792
Aar2_3	0.0001740747215736027	0.9952002399880006
Abcd3_1	0.013403939865419323	0.5205739713014349
Abhd10_2	0.0799488494508449	0.03974801259937003
Abhd14a_1	0.015885489048762302	0.35823208839558024
Abhd14a_4	0.023830528134745177	0.1647417629118544
Abi1_2	0.106089634131599	0.0014999250037498126
Abi1_5	0.37577582350526806	4.999750012499375e-05
Acin1_2	0.024037794563329773	0.12649367531623418
Acin1_8	0.026565090569953376	0.2071396430178491
Acly_1	0.0055914667275968055	0.703164841757912
Acot8_1	0.09309506562122194	0.0008499575021248938
Actr3b_5	0.02157665651586782	0.536023198840058
Add1_1	0.03697153873631176	0.2889355532223389
Add1_3	0.11863262544057107	4.999750012499375e-05
Add1_9	0.1715469326058705	4.999750012499375e-05
Add3_1	0.38225178609355215	4.999750012499375e-05
Adpgk_1	0.033136245900517336	0.3405329733513324
Adprm_2	0.07664258958331949	0.01454927253637318
Akap2_1	1.7058894146271264e-05	0.99950002499875
Akap9_6	0.15991168320344007	9.99950002499875e-05
Aldoa_1	0.23083991088101652	4.999750012499375e-05
Alg13_10	0.09514966519039447	0.0020998950052497373
Alg3_1	0.010941621627835407	0.7513624318784061
Alg3_3	0.03080371593536535	0.30993450327483624
Alg3_6	0.02083335592426483	0.5696215189240538
Alkbh1_nmdSE_1	0.014993016132431647	0.35303234838258085
Alkbh3_1	0.053944894946941324	0.045097745112744364
Alkbh3_2	0.02389083630635014	0.048047597620118995
Alkbh7_1	0.024000594348612903	0.43882805859707014
Amn1_1	0.048735006688147675	0.043447827608619566
Anapc15_3	0.035332158274269165	0.31078446077696115
Anapc16_1	0.025199404922333635	0.07214639268036598
Anapc16_4	0.03130506270339262	0.31798410079496026
Angel2_2	0.03453364418071203	0.25738713064346785
Ankra2_1	0.009870442527148415	0.7076646167691616
Ankrd10_nmdSE_1	0.017993517716035634	0.31268436578171094
Ankrd10_nmdSE_2	0.09474571530747422	0.002199890005499725
Ankrd17_2	0.01901368044464935	0.14734263286835658
Anks3_12	0.028687519464062228	0.5149242537873107
Anxa6_1	0.06334622002351042	0.00044997750112494374
Ap2b1_2	0.025474505068601938	0.035948202589870505
Aplp2_2	0.044707410257531666	0.0018499075046247689
Arfgap1_2	0.10113160739326199	0.01184940752962352
Arfgap1_4	0.03797312354736915	0.21658917054147292
Arfgap1_7	0.02266877674582235	0.6038198090095496
Arfrp1_17	0.12133574791467527	0.0013499325033748313
Armc8_2	0.022929472797478256	0.37478126093695313
Armcx1_2	0.035294210924321945	0.0030998450077496125
Armcx1_3	0.027703857653358588	0.029648517574121295
Armcx1_5	0.022823716031211583	0.0750962451877406
Asph_7	0.3623506592649952	4.999750012499375e-05
Aspscr1_1	0.003545508679506648	0.9086045697715114
Atat1_6	0.04084426391171103	0.005749712514374282
Atg13_1	0.20935811288836326	4.999750012499375e-05
Atg13_4	0.023970868310658977	0.35293235338233087
Atg16l1_2	0.051059757919754256	0.021798910054497276
Atp5h_4	0.0034108642243397824	0.8554072296385181
Atp5j_1	0.13074346865945197	0.000599970001499925
Atp5s_1	0.05604831502121177	0.21178941052947353
Atp6v1h_1	0.15433122538271504	4.999750012499375e-05
Atrx_10	0.044766878112596276	0.002849857507124644
Atrx_4	0.05134493303662413	0.00519974001299935
Atrx_5	0.06137029461151566	0.018699065046747662
Atxn2_1	0.023703199616155746	0.08659567021648917
Atxn2_2	0.03276075875000917	0.09179541022948852
BC004004_4	0.031658946745510286	0.3913304334783261
BC004004_5	0.042365584388300626	0.2898855057247138
Bag6_1	0.012324198190409863	0.47417629118544075
Bag6_2	0.05177315093776491	0.24538773061346933
Banp_1	0.045275021347216615	0.08904554772261387
Banp_3	0.016215477783230958	0.4356282185890705
Bbx_5	0.08262257827014363	0.07479626018699065
Bcl2l12_1	0.004596139576654168	0.9047047647617619
Bcl2l12_2	0.045842660017128445	0.1143442827858607
Bcl2l12_4	0.04296943581249457	0.24843757812109393
Bclaf1_3	0.03975497307300957	0.0031498425078746064
Bclaf1_nmdSE_1	0.025751964714992637	0.408079596020199
Bex1_1	0.015082657954600731	0.23513824308784562
Bin1_1	0.09765795870834881	4.999750012499375e-05
Bin1_3	0.06329561467694034	0.03719814009299535
Bin1_4	0.0416997486228432	0.005649717514124294
Bin1_5	0.10613821089269504	4.999750012499375e-05
Birc5_1	0.038691185745113876	0.22278886055697214
Bnip1_2	0.15141159475733612	0.00024998750062496874
Bnip2_2	0.11540675697646496	0.00039998000099995
Bpnt1_1	0.11480037471042015	0.00279986000699965
Bpnt1_3	0.043849363863673	0.00024998750062496874
Bptf_12	0.0153680003025789	0.1968401579921004
Brd8_1	0.001416964329304049	0.936053197340133
Brd8_2	0.025342528181324098	0.464226788660567
Btbd10_4	0.010491148327072763	0.5151742412879357
Btrc_1	0.05939070258670143	0.11644417779111045
Cacul1_1	0.019822220568049054	0.4790260486975651
Cad_1	0.024169018950796484	0.5098245087745613
Cadm1_2	0.037868384772001384	0.0016499175041247937
Cadm1_6	0.47843016399555727	4.999750012499375e-05
Camta1_3	0.047014137782013465	0.1855407229638518
Car4_4	0.1629984901037611	4.999750012499375e-05
Carm1_5	0.014785588997781929	0.6904154792260387
Cars_1	0.06297572517632666	0.0007499625018749063
Casp8ap2_4	0.07205007849725242	0.08314584270786461
Cbx5_2	0.012046229865192992	0.4712764361781911
Cbx5_3	0.018270379021439687	0.24913754312284386
Ccdc130_2	0.06645629912958928	0.0407979601019949
Ccm2_1	0.07407039449976771	0.07604619769011549
Ccnc_2	0.014169239341816797	0.2970851457427129
Ccnl1_nmdSE_1	0.011979277736196448	0.3877306134693265
Ccnl1_nmdSE_3	0.01324331274349333	0.27903604819759015
Ccnl2_nmdSE_1	0.04726166743582405	0.0014499275036248187
Cdc123_3	0.06491330376924531	0.05639718014099295
Cdc7_9	0.016194836865406792	0.5954202289885506
Cdk11b_2	0.0030867125529633332	0.8680065996700165
Cdk11b_3	0.07409372202546238	0.04259787010649468
Cdk2_1	0.05436487802373069	4.999750012499375e-05
