	C_score	pval
0610010K14Rik_1	0.1123125302353376	0.16919154042297885
0610010K14Rik_2	0.08821583055958293	0.2668366581670916
0610010K14Rik_3	0.08198767938857676	0.2989850507474626
0610010K14Rik_4	0.04508459502555362	0.9530023498825059
0610010K14Rik_6	0.04916871935121603	0.8489075546222689
1110038B12Rik_1	0.23050615032913613	4.999750012499375e-05
1110038B12Rik_8	0.07459130426314253	0.471776411179441
1110059E24Rik_3	0.1353679176672653	0.13389330533473326
1110059G10Rik_1	0.09163379220847867	0.38928053597320134
1810032O08Rik_1	0.11772402976509777	0.25873706314684264
1810043G02Rik_4	0.36186066171043063	4.999750012499375e-05
2410002F23Rik_1	0.2499819102196459	4.999750012499375e-05
2410002F23Rik_10	0.21984126012039262	0.0018499075046247689
2410002F23Rik_11	0.19928973000678551	0.008849557522123894
2410002F23Rik_2	0.2780042423188863	4.999750012499375e-05
2410002F23Rik_3	0.23136056439567265	4.999750012499375e-05
2410002F23Rik_5	0.15908833421823154	0.008599570021498925
2410004B18Rik_nmdSE_1	0.11391669501145163	0.0679466026698665
2610318N02Rik_1	0.17190849101084094	0.00014999250037498125
2700097O09Rik_1	0.0476338222164322	0.8735063246837658
2700099C18Rik_1	0.09451275707461304	0.44842757862106897
3110009E18Rik_1	0.06257482067255549	0.832208389580521
4833439L19Rik_2	0.05845112671509778	0.6792160391980401
4833439L19Rik_4	0.12893995268349778	0.10409479526023699
5530601H04Rik_1	0.11028818317180455	0.37003149842507876
9430038I01Rik_1	0.1382241878014231	0.06674666266686666
9430038I01Rik_2	0.12506637433713697	0.27563621818909056
A430005L14Rik_1	0.10518457063096287	0.15554222288885555
Aamdc_12	0.11693838883563845	0.5670716464176792
Aamdc_4	0.1779955696316533	0.08459577021148942
Aar2_2	0.14471236364457596	0.1288935553222339
Aar2_3	0.12184166173274513	0.30598470076496176
Abcd3_1	0.08382579891093578	0.895705214739263
Abhd10_2	0.14725154161108733	0.09074546272686365
Abhd10_3	0.08720837108674329	0.4363281835908205
Abhd14a_1	0.08037127067053318	0.511924403779811
Abhd14a_4	0.07528739474895851	0.6112694365281736
Abi1_2	0.23677189116006903	0.0002999850007499625
Abi1_5	0.6165894231967739	4.999750012499375e-05
Abtb1_3	0.15374325269229505	0.15009249537523123
Acadvl_1	0.1543307238177254	0.1471926403679816
Acd_1	0.2030553884264672	0.0015499225038748063
Acin1_2	0.169821465539166	4.999750012499375e-05
Acin1_8	0.19821164241562483	0.009799510024498775
Acly_1	0.12047144411644417	0.02039898005099745
Acot8_1	0.16607315959027902	0.0018999050047497626
Actr3b_5	0.19956606120496467	0.0019499025048747563
Add1_1	0.40667604278121416	4.999750012499375e-05
Add1_3	0.43950637283437033	4.999750012499375e-05
Add1_4	0.15512593437132793	0.08029598520073997
Add1_9	0.5410312710125689	4.999750012499375e-05
Add3_1	0.6161918390521953	4.999750012499375e-05
Adpgk_1	0.1277578657488352	0.10874456277186141
Adprm_2	0.16564211402160334	0.048347582620868954
Aen_1	0.0807516861848564	0.503524823758812
Aen_2	0.07565615248747537	0.6046697665116744
Akap2_1	0.1306437258179135	0.11069446527673617
Akap9_6	0.3964006814999187	4.999750012499375e-05
Aktip_1	0.09480543400626273	0.7423128843557822
Aktip_2	0.13494325340232993	0.38778061096945154
Aldoa_1	0.36188084625926364	4.999750012499375e-05
Alg13_10	0.12431089905699688	0.13984300784960751
Alg3_1	0.11917463928167082	0.15799210039498024
Alg3_3	0.22459511571913648	0.008699565021748913
Alg3_5	0.11805761119199987	0.04714764261786911
Alg3_6	0.14951591815649568	0.08254587270636468
Alkbh1_nmdSE_1	0.16239906980847896	0.05804709764511774
Alkbh3_1	0.12055266600850512	0.16899155042247888
