	C_score	pval
ACADM_3	0.07008366943799393	0.0033498325083745812
ACADM_5	0.058889099538296574	0.010549472526373681
ACP1_1	0.007799158203752432	0.8551072446377681
ACP1_2	0.08495823029955363	9.99950002499875e-05
ACP1_5	0.1605469328051956	0.0007999600019999
ACTR2_5	0.30215341737179247	4.999750012499375e-05
AHI1_9	0.04403199832486726	0.1055447227638618
AKAP9_3	0.19517299706163405	4.999750012499375e-05
ALDOA_1	0.11587960647531115	0.00014999250037498125
ANAPC11_3	0.014025868086230187	0.5741712914354282
ANAPC11_6	0.02981540745201794	0.1319934003299835
ANAPC16_1	0.03412803319404989	0.20133993300334982
ANXA2_1	0.1097686155069606	0.029598520073996302
APC_10	0.042751844844000964	0.4185290735463227
ARID4B_3	0.11751106851885496	0.0006499675016249188
ATRX_1	0.06514334643760311	0.19749012549372533
ATRX_5	0.002990164401851736	0.9503024848757562
ATRX_6	0.00950186903436856	0.8288585570721464
BAZ2B_4	0.052957084491645934	0.13874306284685767
BAZ2B_6	0.13554988415134528	0.01809909504524774
BCLAF1_1	0.07091550559105864	0.06944652767361632
BOLA3_1	0.2365582614893439	4.999750012499375e-05
BTF3L4_1	0.036910890272729646	0.2993350332483376
BTF3L4_3	0.0101705888733572	0.7948602569871507
C17orf49_1	0.007902182864221619	0.8588070596470176
C17orf49_4	0.09903720938136418	0.015149242537873106
C1orf43_10	0.02719417903681587	0.4954252287385631
C6orf48_5	0.05538558408393002	0.0143992800359982
C8orf59_1	0.10190306175591723	0.029148542572871357
C8orf59_2	0.05071859991374017	0.009699515024248788
C8orf59_3	0.019567533122024194	0.3703314834258287
C8orf59_4	0.03250627963278552	0.11049447527623618
CAMTA1_3	0.08084655620640657	0.023448827558622067
CCDC25_4	0.24051464195839578	4.999750012499375e-05
CCDC25_5	0.017389930694120537	0.5507224638768061
CCDC90B_1	0.0424073744190242	0.08389580520973951
CCDC90B_12	0.05912333646884349	0.24593770311484425
CD59_2	0.2517273275423567	4.999750012499375e-05
CDC42BPA_1	0.010066804433292331	0.808609569521524
CHCHD5_3	0.21079412052757351	0.00014999250037498125
CHD6_6	0.06386367403330573	0.15969201539923003
CLTC_4	0.15830115945828804	0.00034998250087495624
CMC2_1	0.007378179516064121	0.9031048447577621
CMC2_10	0.16286952368545193	0.00024998750062496874
CMC2_18	0.10285136951120888	0.04064796760161992
CMC2_2	0.006387676927522179	0.9176041197940104
CMC2_4	0.12519662578957014	0.013799310034498274
CMC2_6	0.12148640029515623	4.999750012499375e-05
CMC2_9	0.12582199646804326	0.013349332533373332
COA1_1	0.09936397074164383	0.00904954752262387
COPE_1	0.020243472197929213	0.7544122793860307
COPS8_1	0.08375809936401302	0.07304634768261586
COX20_1	0.22479017798250334	4.999750012499375e-05
CRBN_1	0.032081630879292944	0.6093195340232989
CRYZL1_1	0.14354338166697933	0.013049347532623368
CSDE1_4	0.006719622374938061	0.8656067196640168
CSNK1A1_4	0.014701655346460063	0.7111144442777861
DDX6_1	0.24912224448100018	4.999750012499375e-05
DGUOK_1	0.37695118256411164	4.999750012499375e-05
DGUOK_11	0.034038904407281634	0.13334333283335834
DGUOK_17	0.0460318617787876	0.3640317984100795
DGUOK_2	0.0404855990814077	0.18129093545322733
DGUOK_3	0.06308532513355358	0.03859807009649518
DGUOK_4	0.3975023242315441	4.999750012499375e-05
DGUOK_5	0.05877887528032322	0.22913854307284637
DGUOK_7	0.004998989377359542	0.863856807159642
DGUOK_8	0.06878238765040523	0.00279986000699965
DGUOK_9	0.24377384844950434	4.999750012499375e-05
DNAJC19_5	0.0029903702438961455	0.9425528723563822
DNAJC8_2	0.12320302687576912	0.0028998550072496373
DPH3_1	0.028756931621294668	0.14304284785760712
DYNC1I2_1	0.5298564028799453	4.999750012499375e-05
ECHDC1_9	0.11574558824736547	0.0066996650167491624
EIF3I_3	0.2993971613249895	4.999750012499375e-05
EIF3I_4	0.2988014816782907	4.999750012499375e-05
EIF4A2_3	0.20712649899234048	4.999750012499375e-05
EIF4A2_4	0.07761727152060782	0.0006499675016249188
EIF4A2_7	0.23375217159998185	4.999750012499375e-05
EIF4E_1	0.2479478192981489	4.999750012499375e-05
EIF5_1	0.023545308499501205	0.4546772661366932
EIF6_1	0.059955713625639895	0.08304584770761463
EMC4_3	0.01917109400302852	0.608219589020549
ERGIC3_1	0.6893157540689877	4.999750012499375e-05
EWSR1_3	0.5856531971600759	4.999750012499375e-05
EWSR1_8	0.582913006841097	4.999750012499375e-05
FAM192A_4	0.018594808950733288	0.6514174291285436
FAM200B_1	0.061438093783625525	0.2997850107494625
FAM204A_1	0.030089596894303794	0.15084245787710615
FDPS_3	0.09399565017469946	0.008899555022248887
FDPS_4	0.10394317542277631	0.004849757512124394
FIS1_1	0.003503724687306753	0.9322033898305084
FIS1_2	0.04661715001478961	0.3558322083895805
G2E3_1	0.19403649670831957	0.0002999850007499625
G3BP2_1	0.15073182955324238	0.0007499625018749063
GNAS_6	0.034960396108598135	0.3287335633218339
GNAS_7	0.15178828136372569	4.999750012499375e-05
HMGB1_1	0.06721679038283046	0.1574921253937303
HMGCS1_1	0.029166728142641207	0.11054447277636119
HMGN1_13	0.18165420096222418	4.999750012499375e-05
HNRNPA1_7	0.018620544665008065	0.7269136543172842
