	C_score	pval
ACADM_3	0.21349978680521342	0.022098895055247238
ACADM_5	0.22568904422514502	0.010949452527373631
ACP1_1	0.19749126059815036	0.13374331283435828
ACP1_2	0.3071929915874799	4.999750012499375e-05
ACP1_5	0.3031061297811197	0.00519974001299935
ACTR2_5	0.5155900043030176	4.999750012499375e-05
ACVR2A_4	0.12224470047166358	0.4512274386280686
AHI1_9	0.28656813949464865	0.01399930003499825
AKAP9_3	0.39132394525118475	4.999750012499375e-05
AKR1A1_5	0.1470337783385881	0.4310284485775711
ALDOA_1	0.23368240856289535	0.0005499725013749313
ANAPC11_3	0.14109599195255462	0.21148942552872357
ANAPC11_5	0.07300411073176527	0.783410829458527
ANAPC11_6	0.10053990938119772	0.6969651517424129
ANAPC15_4	0.12408044830391585	0.6065696715164242
ANAPC15_5	0.11612550043277259	0.6527673616319184
ANAPC16_1	0.11843918907447193	0.7237638118094095
ANXA2_1	0.3139664639837918	0.009899505024748763
APC_10	0.11030869303311963	0.6877656117194141
ARID4B_3	0.2719265211878047	0.027498625068746563
ARL14EP_1	0.1668570396843495	0.4544272786360682
ARPP19_3	0.15055654265279983	0.35268236588170593
ATRX_1	0.2282635671046107	0.11219439028048597
ATRX_5	0.1821725063606281	0.31313434328283585
ATRX_6	0.1103676387749617	0.8110094495275236
BAZ2B_4	0.1256494411860949	0.6087695615219239
BAZ2B_6	0.16861773438674899	0.44602769861506925
BCLAF1_1	0.22083756646010022	0.12849357532123393
BEX4_1	0.234830568948724	0.03829808509574521
BOLA3_1	0.4427491170546619	4.999750012499375e-05
BTF3L4_1	0.14345832907855383	0.35808209589520523
BTF3L4_3	0.1309689123632386	0.463626818659067
C11orf74_10	0.230173147881245	0.16039198040097996
C17orf49_1	0.2243401122664015	0.11614419279036048
C17orf49_4	0.27136064098899837	0.028848557572121392
C1orf43_10	0.15203297271246086	0.5266236688165592
C6orf48_5	0.14124344110180942	0.45577721113944303
C8orf59_1	0.08515078484886363	0.7611619419029049
C8orf59_2	0.27556741742212576	4.999750012499375e-05
C8orf59_3	0.2875832999143729	4.999750012499375e-05
C8orf59_4	0.25610888117328157	0.0005499725013749313
CAMTA1_3	0.14438817105313073	0.3508824558772061
CBWD2_4	0.20604336719366667	0.05479726013699315
CCDC25_4	0.2914356557914042	0.0036998150092495377
CCDC25_5	0.2137440788093431	0.04084795760211989
CCDC82_2	0.11936521414515144	0.7395130243487825
CCDC90B_1	0.16982730337927987	0.12414379281035948
CD59_2	0.4361995182832388	4.999750012499375e-05
CDC42BPA_1	0.24359439084544388	0.02734863256837158
CHCHD5_3	0.3709206997399004	0.0012999350032498376
CHD6_6	0.13488157762342412	0.7225138743062847
CHURC1_2	0.18734315205878516	0.1151942402879856
CHURC1_3	0.1890307385934331	0.11024448777561122
CIAPIN1_4	0.13870219502988956	0.5939203039848008
CLTC_4	0.2545170618419538	0.01784910754462277
CMC2_1	0.2065745536544623	0.17829108544572772
CMC2_10	0.3394504117914906	0.00039998000099995
CMC2_18	0.26719756904270175	0.04279786010699465
CMC2_2	0.20509067416870108	0.18419079046047698
CMC2_4	0.34401243100692613	0.003949802509874506
CMC2_6	0.24660485102380236	0.0035498225088745564
CMC2_9	0.349375274715089	0.003249837508124594
COA1_1	0.31781182586740997	0.0012499375031248437
COPS5_4	0.23544995710802086	0.09509524523773812
COPS8_1	0.1445095571136359	0.3903304834758262
COX16_1	0.08647415883093956	0.7713614319284036
COX20_1	0.4390691239488066	4.999750012499375e-05
CRBN_1	0.23705553922622113	0.17159142042897854
CRYZL1_1	0.24708206068310934	0.14454277286135694
CSDE1_4	0.17125923451277614	0.17394130293485327
CSNK1A1_4	0.1993378714377062	0.12759362031898405
DDX6_1	0.3235626793376306	0.006949652517374131
DGUOK_1	0.5869615757881993	4.999750012499375e-05
DGUOK_11	0.14433287242464288	0.18739063046847657
DGUOK_12	0.029074295389779348	0.9620018999050047
DGUOK_17	0.09754003470159411	0.6906654667266636
DGUOK_2	0.22400259628384955	0.006499675016249188
DGUOK_3	0.16935540840676833	0.0928453577321134
DGUOK_4	0.6075347074300452	4.999750012499375e-05
DGUOK_5	0.24891060503895346	0.03319834008299585
DGUOK_7	0.17960393751088988	0.022548872556372182
DGUOK_8	0.2054920629055813	0.03604819759012049
DGUOK_9	0.4037156048852667	4.999750012499375e-05
DHPS_3	0.34157323261729267	0.0016499175041247937
DNAJC19_4	0.16839493865119215	0.18934053297335132
DNAJC19_5	0.16043568520709062	0.23733813309334534
DNAJC8_2	0.17820896088382765	0.14374281285935703
DPH3_1	0.20329845631055665	0.04114794260286986
DYNC1I2_1	0.7906114574758184	4.999750012499375e-05
ECHDC1_9	0.3437238671911055	0.0015499225038748063
EIF3I_3	0.35578330924161117	0.0002999850007499625
EIF3I_4	0.3222676216477618	0.00119994000299985
EIF3K_1	0.16538370372529343	0.1088445577721114
EIF3M_4	0.06694602444307007	0.8491075446227688
EIF4A2_3	0.3722042380629834	4.999750012499375e-05
EIF4A2_4	0.20964669791116042	0.0030998450077496125
EIF4A2_7	0.39821422891993197	4.999750012499375e-05
EIF4E_1	0.624774384516857	4.999750012499375e-05
EIF5_1	0.17414518592719352	0.07574621268936553
EIF6_1	0.23408068061529663	0.017349132543372833
EMC4_3	0.10093909503836496	0.7153642317884106
ERGIC3_1	0.8706295056776772	4.999750012499375e-05
EWSR1_3	0.7673478415843294	4.999750012499375e-05
EWSR1_8	0.7741861760384202	4.999750012499375e-05
FAM192A_4	0.10415792123744771	0.8422578871056448
FAM200B_1	0.0670913535397425	0.8853057347132643
FAM204A_1	0.20788156161699212	0.029598520073996302
FDPS_3	0.18843215524092993	0.10434478276086195
FDPS_4	0.18697095759466253	0.1087945602719864
FIBP_1	0.07073342842422059	0.9308534573271336
FIS1_1	0.22059259315174296	0.03179841007949603
FIS1_2	0.39846571778658635	9.99950002499875e-05
G2E3_1	0.2811861619349064	0.027798610069496524
G3BP2_1	0.40554715334664204	0.000199990000499975
GAS5_19	0.20163606861266525	0.021798910054497276
GNAS_6	0.2842575209164566	0.0012999350032498376
GNAS_7	0.3318489005287454	4.999750012499375e-05
GPBP1_1	0.17553038500969576	0.2382380880955952
GPBP1_5	0.2805255386048432	0.028448577571121444
HMGB1_1	0.1869890309825476	0.1744412779361032
HMGCS1_1	0.12453213076604797	0.4824758762061897
HMGN1_13	0.3986040966175557	4.999750012499375e-05
HNRNPA1_7	0.16220783498457547	0.2120393980300985
HNRNPA2B1_1	0.1916273600062839	0.01624918754062297
HNRNPC_1	0.2341719148225816	0.0005499725013749313
HNRNPC_2	0.3795834852454282	0.000199990000499975
HNRNPDL_7	0.2334911726771085	0.004149792510374482
HNRNPD_4	0.19212652926564178	0.018299085045747714
HNRNPR_4	0.06472304318998734	0.8284585770711465
HNRNPR_6	0.23934738440794567	0.00014999250037498125
HNRNPR_7	0.2220568761129602	0.0006499675016249188
HP1BP3_7	0.14321534671486147	0.5721213939303035
IDI1_2	0.29294208580600967	0.000199990000499975
ILF3_1	0.156345887269276	0.31953402329883507
ILF3_11	0.4411778541504906	9.99950002499875e-05
IMMP1L_1	0.29231162769111874	0.000599970001499925
IMMP1L_2	0.2340667082391663	0.08814559272036399
IMMP1L_20	0.007378175601454706	0.9935503224838758
INIP_7	0.1484952063292232	0.551522423878806
IP6K2_6	0.3314444068187645	0.06789660516974151
ITGAE_2	0.14166516776293459	0.4072796360181991
KDM5B_5	0.2732815333493319	0.08389580520973951
KIAA1586_1	0.2501448800130822	0.021098945052747363
LAMTOR2_1	0.3264467957101541	0.00199990000499975
LAMTOR3_1	0.18853928586759394	0.27338633068346585
LRRC75A-AS1_12	0.2106388522969722	0.013799310034498274
LRRC75A-AS1_2	0.2039029191831493	0.019449027548622568
LRRC75A-AS1_3	0.18967277381262937	0.039248037598120095
LRRC75A-AS1_9	0.2119371697324055	0.058847057647117645
LSM1_1	0.14089189291737003	0.37918104094795263
LUC7L3_4	0.1411235279589731	0.33033348332583373
LUC7L3_nmdSE_2	0.11141232880440166	0.6804159792010399
MARCH7_8	0.26293297043065467	0.04809759512024399
MATR3_1	0.17422300700388405	0.15989200539973
MATR3_10	0.08662828623562646	0.7704614769261537
MEAF6_3	0.780712582033714	4.999750012499375e-05
MOB4_6	0.16737923931616916	0.3553322333883306
MORF4L2_1	0.3689471475878223	0.00024998750062496874
MORF4L2_3	0.37411737209611995	0.000199990000499975
MORF4L2_7	0.2171324017124533	0.01894905254737263
MORF4L2_8	0.23652092533111446	0.013299335033248337
MRPL22_1	0.18908927282551447	0.10274486275686216
MRPL22_2	0.16386828513153573	0.21478926053697314
MRPL33_3	0.24408246765198982	0.00014999250037498125
MRPL47_3	0.21316863076290016	0.09184540772961351
MRPL47_5	0.20199312848221007	0.1223938803059847
MRPL48_1	0.18983367982835853	0.3479826008699565
MRPL48_2	0.1539645991379961	0.4302284885755712
MRPL52_3	0.1761059833212687	0.2217389130543473
MRPL52_6	0.17216726282435846	0.23988800559972
MRPL55_3	0.16673337588939252	0.3589820508974551
MRPL55_4	0.16687064986179345	0.3582820858957052
MRPS10_1	0.1872432037409144	0.256137193140343
MRPS18C_1	0.08669840775262128	0.7529123543822809
MSMO1_1	0.13301578697056726	0.4472776361181941
MTCH2_2	0.3017150372370878	0.0055997200139993
MTCH2_3	0.20689693915871743	0.10849457527123643
MTF2_1	0.23187558071456815	0.042747862606869656
MTIF3_6	0.14609461697604442	0.3373331333433328
MYH10_2	0.2977300514132212	0.01654917254137293
MYL6_1	0.5329751110917498	4.999750012499375e-05
MYL6_4	0.39927137318076433	0.000199990000499975
MYL6_7	0.37646295322345114	0.000199990000499975
N4BP2L2_1	0.1849359392583202	0.18339083045847707
NAE1_11	0.18101217729044738	0.28538573071346435
NAE1_2	0.08810797413226179	0.79966001699915
NCOR1_3	0.2909990041698186	0.0024998750062496873
NDUFA12_1	0.13392539314890817	0.37408129593520323
NDUFA8_2	0.23894943601172214	0.045097745112744364
NDUFB3_1	0.19750493390991175	0.08819559022048898
NDUFB3_2	0.17759020474805132	0.14619269036548171
NDUFS4_1	0.09021465603863787	0.67981600919954
NDUFS8_3	0.10434404986929569	0.6486675666216689
NDUFV3_1	0.2055441485280569	0.11324433778311084
NDUFV3_3	0.08009638463528279	0.7873606319684016
NEMF_4	0.1507057385100341	0.4488775561221939
NFU1_1	0.2946529704173816	0.006899655017249137
NKTR_1	0.25487799649885035	0.014999250037498125
NME1-NME2_1	0.11709575895208357	0.48627568621568923
NONO_1	0.09863966337711627	0.7340632968351583
NONO_4	0.030606885661587313	0.9688015599220039
NOP58_8	0.2391417943202918	0.04484775761211939
NREP_1	0.049850034421581646	0.8945552722363882
NSRP1_4	0.2698089001543761	0.01629918504074796
NT5DC2_7	0.08349140275236222	0.8190590470476476
NVL_2	0.42785454594761774	9.99950002499875e-05
OCIAD1_13	0.18281423655758877	0.27653617319134044
OCIAD1_4	0.2189438131986916	0.07814609269536524
ORMDL1_1	0.16964801857969036	0.41062946852657367
PBDC1_1	0.13196313149426175	0.4704764761761912
PCBP2_11	0.1758865195156698	0.06509674516274186
PCBP2_12	0.19558910208593616	0.14024298785060746
PCBP2_5	0.124426805680392	0.5217739113044347
PCBP2_6	0.15935779057429844	0.303934803259837
PCBP2_9	0.21086597080783842	0.005499725013749313
PCM1_11	0.20912351239144333	0.16964151792410379
PCM1_4	0.3721164871200764	0.000199990000499975
PCNP_1	0.23494972072765896	0.0511974401279936
PCNP_11	0.20488707788228422	0.11464426778661067
PDCD10_3	0.20723062053497632	0.18024098795060248
PDCD10_8	0.2594157091869952	0.0002999850007499625
PDCD11_5	0.2161385546179062	0.03784810759462027
PDZD11_1	0.19093304302310043	0.1103944802759862
PFDN1_1	0.1735976988244028	0.16229188540572972
PFDN5_4	0.24636396498389712	0.0025498725063746812
PFDN5_7	0.23530258854989072	0.00359982000899955
PITPNB_1	0.44384634872084583	9.99950002499875e-05
PNISR_2	0.23591464850221	0.00359982000899955
PPHLN1_3	0.08163041799704618	0.8261086945652717
PPHLN1_4	0.28235880554097204	0.00014999250037498125
PPHLN1_5	0.20985846339408742	0.16869156542172892
PQBP1_2	0.20785807978360027	0.1055447227638618
PQBP1_3	0.21845502959699326	0.14029298535073245
PRDX5_1	0.16484519021177502	0.11089445527723614
PRDX5_2	0.196645406093388	0.0904454777261137
PRDX5_3	0.22145293302726854	0.04484775761211939
PRDX5_4	0.14749470129361952	0.20148992550372483
PRKRA_8	0.15373774810612606	0.5139243037848108
PRMT1_2	0.1492886259856575	0.36038198090095497
PRMT2_1	0.20800685473078917	0.018499075046247686
PRPF40A_3	0.6788049876730424	4.999750012499375e-05
PSAP_1	0.8280867577542965	4.999750012499375e-05
PSMA4_4	0.18043380564554423	0.13724313784310785
PTP4A2_4	0.2954287137604079	0.00679966001699915
RBFOX2_1	0.15499072413285842	0.4248787560621969
RBM23_1	0.19379058936361337	0.22758862056897156
RBM23_18	0.20724667001085828	0.175791210439478
RBM39_nmdSE_2	0.18148776444491221	0.019649017549122544
RBM4_2	0.16186586718390783	0.10449477526123693
RBPJ_1	0.14756518929204754	0.23963801809909505
RIMKLB_3	0.13999177205636382	0.615819209039548
RNF181_2	0.2908657910645953	0.007949602519874007
RNF7_4	0.19832630853606625	0.13374331283435828
RNMT_3	0.14150854202664764	0.33878306084695764
RNPS1_5	0.194410240554186	0.059947002649867506
RPAIN_1	0.12308440334012638	0.5405729713514325
RPAIN_10	0.17026744075098477	0.06534673266336684
RPAIN_2	0.097503750736042	0.7641617919104045
RPAIN_3	0.1861191410506864	0.03544822758862057
RPAIN_4	0.24707110277136357	0.07329633518324084
