	C_score	pval
AAMDC_3	0.17123329250665975	0.27722772277227725
AARSD1_3	0.08675864727710914	0.8118811881188119
ABL2_2	0.21046355722595866	0.04950495049504951
ACADM_2	0.11642109685650692	0.46534653465346537
ACADM_3	0.13344352175181673	0.31683168316831684
ACIN1_3	0.24503001570454552	0.009900990099009901
ACOT9_1	0.007745010671081909	0.9603960396039604
ACOT9_2	0.17000209185439197	0.1782178217821782
ACOT9_4	0.20573302123265835	0.1188118811881188
ACOT9_5	0.05961290163973132	0.7326732673267327
ACP1_6	0.09652606572141775	0.19801980198019803
ACSL4_2	0.15891871872023555	0.3564356435643564
ACTN1_3	0.12335533895011874	0.37623762376237624
ADIRF_1	0.10392367779249412	0.3069306930693069
ADRM1_1	0.10454435239729787	0.4752475247524752
ADRM1_3	0.04451212993287679	0.9108910891089109
ADSL_2	0.08326375956725451	0.4752475247524752
AHI1_7	0.21290806684199537	0.0297029702970297
AHI1_9	0.08548962428081996	0.7524752475247525
AIMP2_2	0.10780650380617085	0.49504950495049505
AK2_1	0.08997814728969322	0.6336633663366337
AKAP9_8	0.06286758421526706	0.7722772277227723
AKIP1_2	0.15411343201897065	0.2871287128712871
AKR1A1_1	0.10410870235594094	0.3465346534653465
AKR1A1_2	0.10867717925117826	0.2871287128712871
ALDOA_1	0.10074137401728833	0.2871287128712871
ALG11_3	0.23682126531044057	0.0594059405940594
ALG11_4	0.16843786236222413	0.15841584158415842
ANAPC11_4	0.08617596792138993	0.44554455445544555
ANAPC11_5	0.04806476828420603	0.9108910891089109
ANAPC11_6	0.09432321880343753	0.297029702970297
ANAPC15_2	0.014252464052780467	0.9603960396039604
ANAPC15_3	0.03716656599375101	0.8811881188118812
ANAPC16_1	0.12194076869012893	0.37623762376237624
ANAPC16_2	0.11293017228526692	0.2871287128712871
ANAPC16_3	0.08993010513332855	0.8217821782178217
ANAPC16_4	0.06442480233037706	0.8118811881188119
ANAPC16_6	0.06666424548968275	0.801980198019802
ANAPC5_2	0.20677672583856233	0.1188118811881188
ANKRD10_3	0.22716298691266856	0.10891089108910891
ANXA2_14	0.13107510796638444	0.09900990099009901
ANXA2_2	0.282309162319872	0.009900990099009901
ANXA2_29	0.12528065341517636	0.12871287128712872
ANXA2_3	0.07666179669347739	0.5643564356435643
ANXA2_4	0.024382584663764195	0.9306930693069307
ANXA2_5	0.19167545238326722	0.09900990099009901
ANXA2_7	0.17262122285971038	0.0297029702970297
ANXA7_1	0.09251773920552364	0.6336633663366337
AP2M1_5	0.188419303739622	0.009900990099009901
APOPT1_6	0.15836100710885925	0.07920792079207921
APOPT1_8	0.16141009595493627	0.31683168316831684
ARHGAP29_1	0.2811113449204624	0.0297029702970297
ARIH2_11	0.18099030824448115	0.1188118811881188
ARL4A_2	0.19252260666116106	0.04950495049504951
ARPC1B_3	0.10221606875419775	0.5247524752475248
ARPC1B_5	0.11041492308391765	0.48514851485148514
ARPC1B_6	0.10635500520088259	0.5148514851485149
ARPP19_3	0.13163563570864112	0.31683168316831684
ARPP19_6	0.1552968298805727	0.19801980198019803
ASPH_12	0.11984296846522291	0.26732673267326734
ASPH_18	0.15085678213957154	0.1782178217821782
ATP2B1_2	0.591600379350774	0.009900990099009901
ATP6V0B_1	0.058999959698065374	0.8514851485148515
ATP6V0B_2	0.04567174721969103	0.900990099009901
ATRX_3	0.10032354187419767	0.44554455445544555
ATRX_4	0.045432705729043676	0.8910891089108911
ATRX_6	0.13947501245184324	0.27722772277227725
AZIN1_1	0.16684325229091945	0.15841584158415842
AZIN1_4	0.20844556114018487	0.06930693069306931
BBIP1_3	0.17785973724680282	0.09900990099009901
BBX_5	0.26785520868905865	0.0297029702970297
BCAT1_11	0.15842727076175278	0.22772277227722773
BCLAF1_2	0.11833689338414044	0.46534653465346537
BECN1_10	0.14626624155249757	0.2871287128712871
BECN1_2	0.05966478992260815	0.8811881188118812
BECN1_4	0.1475736430582162	0.2871287128712871
BLOC1S6_10	0.20959908092740143	0.16831683168316833
BLOC1S6_2	0.2661570368760716	0.019801980198019802
BLOC1S6_9	0.10934128313292368	0.7227722772277227
BOLA3_1	0.12121965875575669	0.22772277227722773
BTF3L4_2	0.11294596627158526	0.27722772277227725
BTF3L4_3	0.0885758695427038	0.5544554455445545
C12orf10_5	0.19034587513935364	0.19801980198019803
C17orf49_2	0.15083795479766626	0.09900990099009901
C17orf49_3	0.12803126876552606	0.21782178217821782
C1orf43_1	0.1527150713805192	0.0891089108910891
C1orf43_7	0.09984699649872086	0.3564356435643564
C6orf48_2	0.11391332781329144	0.297029702970297
C6orf48_3	0.12041343165107266	0.26732673267326734
C8orf59_1	0.09492350238419534	0.3564356435643564
C8orf59_2	0.06907013415945873	0.5742574257425742
C8orf59_3	0.0762825334904359	0.5445544554455446
C8orf59_4	0.07195545394923564	0.5148514851485149
CALCOCO2_6	0.2567934409882593	0.039603960396039604
CALD1_3	0.17838980426828277	0.06930693069306931
CAMLG_3	0.08270275619351464	0.8514851485148515
CAMTA1_2	0.10155258351508778	0.33663366336633666
CAP1_1	0.12898578401644023	0.39603960396039606
CASP3_1	0.13133912867626385	0.19801980198019803
CASP3_2	0.12964722089993808	0.15841584158415842
CAST_1	0.13478998047369062	0.13861386138613863
CAST_10	0.05834212209535794	0.9702970297029703
CAST_3	0.0830380622000012	0.594059405940594
CAST_8	0.1276156989730879	0.18811881188118812
CAV2_2	0.07549560086979534	0.6336633663366337
CBWD1_3	0.1970884021393664	0.039603960396039604
CBWD1_4	0.04091944838205708	0.9306930693069307
CBWD2_3	0.2485116971628898	0.04950495049504951
CBWD2_nmdSE_1	0.14052154816378404	0.13861386138613863
CCAR1_13	0.2140771851732275	0.12871287128712872
CCAR1_2	0.12908863631049594	0.5742574257425742
CCDC25_5	0.18023440229837162	0.0594059405940594
CCDC25_6	0.21955144807316052	0.009900990099009901
CCDC90B_2	0.06899775052145152	0.6732673267326733
CCDC90B_5	0.12547092697593332	0.0594059405940594
CCNC_1	0.33931622543512463	0.009900990099009901
CCNL1_4	0.16047641430286397	0.21782178217821782
CCNL1_6	0.1705485313803765	0.18811881188118812
CD59_6	0.08173702393958182	0.39603960396039606
CDC27_2	0.06550754858191432	0.693069306930693
