	C_score	pval
AAMDC_3	0.20381914094419207	0.3535823208839558
AARSD1_3	0.1276230965412325	0.711864406779661
ABL2_2	0.25102599736728703	0.043247837608119594
ACADM_2	0.1683854632213191	0.40197990100494974
ACADM_3	0.18006461901437731	0.28673566321683913
ACIN1_3	0.27916703131157117	0.0012499375031248437
ACOT9_1	0.018604380989829084	0.9862006899655017
ACOT9_2	0.2231088615492851	0.1625418729063547
ACOT9_4	0.2646069530200269	0.06439678016099196
ACOT9_5	0.07818952650242872	0.8593570321483925
ACP1_6	0.13097754558993147	0.20918954052297384
ACSL4_2	0.23454474343850873	0.2335883205839708
ACTN1_3	0.16270632079807124	0.31253437328133593
ADIRF_1	0.13010101341243452	0.3671316434178291
ADRM1_1	0.17571071058288434	0.31388430578471077
ADRM1_3	0.08838513367383682	0.7771111444427778
ADSL_2	0.12080298722029392	0.33393330333483323
AHI1_7	0.2692389914961816	0.019099045047747613
AHI1_9	0.12100183417376009	0.7540122993850308
AIMP2_2	0.1318426419096873	0.5096245187740613
AK2_1	0.08858303713833882	0.776111194440278
AKAP9_8	0.12659816639569144	0.5434728263586821
AKIP1_2	0.19411439156762123	0.26843657817109146
AKR1A1_1	0.13729234052313055	0.3170841457927104
AKR1A1_2	0.13468605702445025	0.31713414329283535
ALDOA_1	0.1180307068618549	0.3626318684065797
ALG11_3	0.26964779266784633	0.12809359532023398
ALG11_4	0.20084745947920557	0.26593670316484175
ANAPC11_4	0.11444277582497542	0.4000799960002
ANAPC11_5	0.09361598642902658	0.6846657667116645
ANAPC11_6	0.12272528273924554	0.26288685565721714
ANAPC15_2	0.057204464262458954	0.9234038298085095
ANAPC15_3	0.08479893440076924	0.8335083245837708
ANAPC16_1	0.14660773468392063	0.4125293735313234
ANAPC16_2	0.1565344240399592	0.22603869806509674
ANAPC16_3	0.11499032778060281	0.8570571471426429
ANAPC16_4	0.10939398166237835	0.5896205189740513
ANAPC16_6	0.10093753789059834	0.7687115644217789
ANAPC5_2	0.24531556953768952	0.10184490775461227
ANKRD10_3	0.23650471796550032	0.1391930403479826
ANXA2_14	0.16407671250639466	0.1216439178041098
ANXA2_2	0.30064744997086645	0.00034998250087495624
ANXA2_29	0.16282722585738973	0.1263436828158592
ANXA2_3	0.09887926120943058	0.5697215139243038
ANXA2_30	0.01811786852180941	0.9885505724713765
ANXA2_4	0.05799012376493495	0.8777561121943903
ANXA2_5	0.24495647445174662	0.04004799760012
ANXA2_7	0.20766938836099613	0.02424878756062197
ANXA7_1	0.12608092559349904	0.5468726563671816
AP2M1_5	0.219998749398713	0.00044997750112494374
APOPT1_6	0.1938976641528778	0.12114394280285985
APOPT1_8	0.20461573623300555	0.27853607319634016
ARHGAP29_1	0.3242549187476148	0.01224938753062347
ARIH2_11	0.2405424645187314	0.04889755512224389
ARL4A_2	0.22269271946100955	0.09894505274736264
ARPC1B_3	0.15523691036376353	0.4732763361831908
ARPC1B_5	0.1904253881497594	0.2903354832258387
ARPC1B_6	0.16509519586900245	0.41862906854657267
ARPP19_3	0.2015074967999776	0.1774911254437278
ARPP19_6	0.18360505047666376	0.2656367181640918
ASPH_12	0.15419639646308192	0.3273336333183341
ASPH_18	0.18005830510574317	0.22023898805059747
ATP2B1_2	0.6256175470339405	4.999750012499375e-05
ATP6V0B_1	0.10240469435301247	0.6583170841457927
ATP6V0B_2	0.08483476910314014	0.8058597070146493
ATRX_3	0.10305000156635613	0.7535123243837808
ATRX_4	0.07976243977106634	0.8194090295485226
ATRX_6	0.13416561227240942	0.49557522123893805
AZIN1_1	0.2095140673226017	0.21253937303134843
AZIN1_4	0.2566257687277803	0.04779761011949402
BBIP1_3	0.21018985801436474	0.14069296535173242
BBX_5	0.3739452729670685	0.0023498825058747065
BCAT1_11	0.21568972809610087	0.18894055297235138
BCLAF1_2	0.14002557418322237	0.5728213589320534
BECN1_10	0.14837688333043542	0.5114744262786861
BECN1_2	0.07796225007525381	0.8857057147142643
BECN1_4	0.15022363629348823	0.5004749762511874
BLOC1S6_10	0.23274404675939153	0.15074246287685616
BLOC1S6_2	0.33722381117846767	0.0014999250037498126
BLOC1S6_9	0.22596607844809236	0.26428678566071695
BOLA3_1	0.14000608065306985	0.4384780760961952
BTF3L4_2	0.14880273193882687	0.22518874056297186
BTF3L4_3	0.11073223618135908	0.576271186440678
C12orf10_5	0.16015294290850957	0.5629718514074297
C17orf49_2	0.17236671876364962	0.09739513024348782
C17orf49_3	0.1668935369589064	0.12204389780510974
C1orf43_1	0.19961152283730088	0.028048597570121493
C1orf43_7	0.1147059389488243	0.5574221288935554
C6orf48_2	0.13326034419192967	0.47642617869106546
C6orf48_3	0.14287461795857292	0.3736813159342033
C8orf59_1	0.13523872438526818	0.2031398430078496
C8orf59_2	0.0974392460005048	0.6362681865906704
C8orf59_3	0.1027883971554111	0.5433728313584321
C8orf59_4	0.09820590405326668	0.6258687065646718
CALCOCO2_6	0.3124701968310417	0.05419729013549322
CALD1_3	0.21496941823053795	0.10064496775161241
CAMLG_3	0.1362872924103833	0.7772111394430279
CAMTA1_2	0.1428683757079131	0.23448827558622068
CAP1_1	0.23559463676111836	0.1271936403179841
CASP3_1	0.15455496906394528	0.2623868806559672
CASP3_2	0.1412424467346125	0.43627818609069546
CAST_1	0.17337984571722653	0.20198990050497476
CAST_10	0.11076191553150072	0.7826608669566522
CAST_3	0.11860305657445125	0.6311684415779211
CAST_8	0.16670810575834816	0.2422878856057197
CAV2_2	0.12259796571090698	0.46852657367131645
CBWD1_3	0.2517038603867542	0.041947902604869754
CBWD1_4	0.09180787434206472	0.8466576671166441
CBWD2_3	0.30658626848984327	0.06204689765511724
CBWD2_nmdSE_1	0.16739897721077213	0.23773811309434528
CCAR1_13	0.2611156038807191	0.1488425578721064
CCAR1_2	0.15091582604086873	0.6060696965151743
CCDC25_5	0.21864235685479538	0.04169791510424479
CCDC25_6	0.26069377156250084	0.008649567521623918
CCDC90B_2	0.10564510329494337	0.5957202139893005
CCDC90B_5	0.15140718860169478	0.07264636768161592
