	C_score	pvals
AASS_11	0.29934946037986954	0.015751211631663976
mock_AASS_11_0	0.04998025563048469	0.4095315024232633
mock_AASS_11_1	0.06402575837690128	0.25767366720516965
mock_AASS_11_2	0.084820348562054	0.13045234248788368
mock_AASS_11_3	0.047914741781481585	0.44063004846526654
mock_AASS_11_4	0.04936172446968712	0.4184168012924071
mock_AASS_11_5	0.04147692972479622	0.5290791599353797
mock_AASS_11_7	0.0545753858744068	0.3533925686591276
mock_AASS_11_8	0.042784746930034645	0.5105008077544426
mock_AASS_11_9	0.07517160805111256	0.17689822294022617
ACADM_3	0.1287053446392925	0.048869143780290794
mock_ACADM_3_0	0.0361888419038342	0.6118739903069467
mock_ACADM_3_1	0.009958670842240336	0.9426494345718901
mock_ACADM_3_2	0.022975661816300286	0.8105815831987075
mock_ACADM_3_3	0.04215880917134052	0.5205977382875606
mock_ACADM_3_5	0.04922478677084874	0.4204361873990307
mock_ACADM_3_6	0.08540249564805302	0.12924071082390953
mock_ACADM_3_8	0.020875287018761512	0.8311793214862682
mock_ACADM_3_9	0.036052518615026785	0.6138933764135702
ACADM_5	0.1242208877797284	0.05331179321486268
mock_ACADM_5_0	0.07604774025489203	0.17164781906300486
mock_ACADM_5_1	0.01007206444168951	0.9418416801292407
mock_ACADM_5_2	0.04995272784079041	0.40993537964458804
mock_ACADM_5_3	0.015001724109124814	0.9010500807754442
mock_ACADM_5_4	0.05801713463182723	0.31421647819063003
mock_ACADM_5_5	0.034296458673493624	0.6393376413570274
mock_ACADM_5_6	0.08466352555514334	0.13166397415185785
mock_ACADM_5_7	0.02570631371303078	0.7722132471728594
mock_ACADM_5_8	0.06619417671186101	0.2358642972536349
mock_ACADM_5_9	0.02949858040795683	0.7079967689822294
ACIN1_4	0.1313463649580794	0.048061389337641355
mock_ACIN1_4_0	0.010533679707153465	0.9378029079159935
mock_ACIN1_4_1	0.028621284795245616	0.7233441033925686
mock_ACIN1_4_2	0.038791930927675855	0.5735056542810986
mock_ACIN1_4_3	0.023459221249338635	0.8065428109854604
mock_ACIN1_4_4	0.026044428105027273	0.7645395799676898
