	SRR4047452	SRR4047453	SRR4047431	SRR4047415	SRR4047430	SRR4047450	SRR4047404	SRR4047426	SRR4047425	SRR4047424	SRR4047441	SRR4047410	SRR4047448	SRR4047440	SRR4047446	SRR4047406	SRR4047422	SRR4047435	SRR4047451	SRR4047434	SRR4047408	SRR4047437	SRR4047454	SRR4047405	SRR4047445	SRR4047444	SRR4047414	SRR4047399	SRR4047443	SRR4047449	SRR4047396	SRR4047400	SRR4047398	SRR4047442	SRR4047457	SRR4047419	SRR4047417	SRR4047401	SRR4047403	SRR4047412	SRR4047420	SRR4047423	SRR4047436	SRR4047455	SRR4047428	SRR4047411	SRR4047429	SRR4047427	SRR4047397	SRR4047447	SRR4047456	SRR4047438	SRR4047402	SRR4047433	SRR4047416	SRR4047418	SRR4047421	SRR4047458	SRR4047439	SRR4047432	SRR4047409	SRR4047407	SRR4047297	SRR4047296	SRR4047335	SRR4047282	SRR4047281	SRR4047356	SRR4047348	SRR4047372	SRR4047375	SRR4047366	SRR4047383	SRR4047380	SRR4047246	SRR4047382	SRR4047361	SRR4047386	SRR4047373	SRR4047251	SRR4047368	SRR4047376	SRR4047357	SRR4047245	SRR4047355	SRR4047266	SRR4047277	SRR4047258	SRR4047269	SRR4047247	SRR4047264	SRR4047253	SRR4047268	SRR4047276	SRR4047250	SRR4047256	SRR4047248	SRR4047377	SRR4047395	SRR4047270	SRR4047272	SRR4047265	SRR4047273	SRR4047275	SRR4047384	SRR4047257	SRR4047267	SRR4047259	SRR4047262	SRR4047249	SRR4047381	SRR4047365	SRR4047252	SRR4047274	SRR4047261	SRR4047387	SRR4047374	SRR4047388	SRR4047360	SRR4047364	SRR4047358	SRR4047363	SRR4047255	SRR4047392	SRR4047379	SRR4047271	SRR4047370	SRR4047367	SRR4047354	SRR4047369	SRR4047378	SRR4047391	SRR4047385	SRR4047394	SRR4047254	SRR4047291	SRR4047371	SRR4047393	SRR4047333	SRR4047342	SRR4047389	SRR4047292	SRR4047329	SRR4047313	SRR4047326	SRR4047293	SRR4047307	SRR4047328	SRR4047324	SRR4047305	SRR4047306	SRR4047304	SRR4047327	SRR4047334	SRR4047312	SRR4047337	SRR4047320	SRR4047317	SRR4047289	SRR4047347	SRR4047303	SRR4047294	SRR4047319	SRR4047316	SRR4047330	SRR4047314	SRR4047308	SRR4047298	SRR4047349	SRR4047286	SRR4047325	SRR4047310	SRR4047350	SRR4047284	SRR4047345	SRR4047339	SRR4047351	SRR4047352	SRR4047336	SRR4047340	SRR4047309	SRR4047301	SRR4047318	SRR4047343	SRR4047341	SRR4047287	SRR4047321	SRR4047288	SRR4047322	SRR4047346	SRR4047344	SRR4047302	SRR4047353	SRR4047299	SRR4047279	SRR4047283	SRR4047290	SRR4047300	SRR4047280	SRR4047311	SRR4047285	SRR4047338
AAAS_2						1.0													1.0									1.0														1.0																													1.0			1.0																																														1.0											1.0															0.0							1.0					1.0								1.0																	0.0																			1.0
AAMDC_4	0.0							0.3059701492537313																				0.5932203389830508	0.5447154471544715													0.0							0.0																													0.0					0.4463828797394743	0.0	0.0										0.0		0.0						0.0				0.8709677419354839								0.001941747572815534	0.0		0.0			0.0								0.0		0.9574970484061394																																																										0.0													
AARSD1_1	1.0	1.0	1.0			0.976267529665588					0.9982238010657194						1.0		0.526440410418311		0.8192090395480226	0.5733333333333334			0.5586883236285627	1.0		0.9496221662468514				1.0			1.0		0.6463595839524517					1.0			0.7805383022774327				1.0				0.9952267303102624	1.0									1.0	1.0		0.4531450577663672			0.5070210631895687										1.0							1.0								1.0											1.0											1.0													1.0		0.20399666944213155	1.0			1.0						1.0					0.0	1.0												1.0	0.9993740219092332																		0.9992475545522951								1.0	1.0											1.0				
AASS_1	0.6009244992295839	0.9353989711688	0.9336976320582878	1.0	0.8186429930247305	0.7771763644564728	0.8973647711511791	0.7145200984413453	0.9410586552217454	0.7652894904684289	1.0	0.928266438941076	0.8882783882783882	0.8240000000000001	1.0	0.8984400929306339	0.9964724486072254	0.9208581644815256	1.0	0.8611111111111112	0.9989189189189188	0.7212759368225456	0.7843059151563434	0.8358605596373301	0.7339751710159614	1.0	1.0	0.6328645447816432	0.6345004269854825	0.8923154701718908	1.0	1.0	0.8772563176895307	1.0	1.0	1.0	0.8333033950062869	1.0	1.0		0.8609211714617468	1.0		1.0	0.9826589595375722	0.8611398963730571	1.0	1.0	0.9239448391140828	0.8984732824427479	1.0	1.0	0.6659301811754308	0.6741868512110727		1.0	1.0	1.0	1.0	1.0	1.0	1.0					0.9991809991809992	1.0		1.0		1.0	1.0		1.0		1.0		1.0			1.0	1.0	1.0		1.0			1.0				1.0		1.0			1.0	1.0	0.5540355677154583	1.0													1.0			1.0			1.0			1.0	1.0		1.0				1.0				0.09817351598173517			1.0																																		1.0							1.0								1.0								1.0								
AASS_11	0.4013679890560876	0.2398973701090443	0.24761298535964354	0.5375626043405676	0.23109540636042405	0.34711246200607904	0.3925570228091236	0.2690166975881262	0.1173925584078454	0.2777608297742526	0.3879003558718861	0.3293963254593176	0.16995359628770298	0.3057607090103397	0.4374420759962929	0.10134398837631677	0.1799265605875153	0.0948437082554101	0.06048974189278624	0.3696969696969697	0.22128060263653485	0.11528608027327072	0.3393004115226337	0.3328671328671329	0.32831858407079645	0.0	0.00037893141341417203	0.1453320500481232	0.16030534351145034	0.2482468443197756	0.09198813056379823	0.0	0.14858645627876396	0.29148753224419605	0.0	0.228021978021978	0.28104359313077937	0.0	0.25		0.1008869179600887	0.14062706707236408		0.1037730004336782	0.2807807807807808	0.08848864526233359	0.34149326805385555	0.1444954128440367	0.3426908592947621	0.3315068493150685	0.8034806530709886	0.8245752666930067	0.0795805058605799	0.07291666666666667		0.18667432510051696	0.07960893854748602	0.1816386969397828	0.33075648812810604	0.0008613264427217916	0.0	0.01767215112736136					0.4520181769580326	0.001644736842105263		0.5593561368209256			0.0		0.0		0.0		0.1766602192134107			0.42366757000903343	0.0	0.0	1.0	0.4031413612565445			0.0				0.0		0.0			0.001122334455667789	0.16720955483170466	0.2815533980582524	0.0													0.3333333333333333			0.0			0.0			0.4957264957264957	0.0		0.0				0.6335282651072125							0.0																																		0.0							0.3087035358114234								0.2901554404145077								0.0								
AASS_9	0.9739818042683446	0.9834898359302444	0.9796696315120712	1.0	0.8924843423799582	0.8870462715992115	1.0	0.8527607361963192	0.7756563245823389	0.9666134097294916	0.9310035842293908	0.9116945107398567	0.7635597682991048	0.8135964912280702	0.8734793187347932	0.7860443622920518	0.9435503358948336	0.7940491127442194	0.9426819200377404	1.0	0.9172113289760347	0.9095710965560956	0.8328968903436988	0.8291032148900169	0.7993906726037029	0.9266862170087976	1.0	0.8703208556149733	0.8479087452471483	0.8857372762019714	0.9069622229160162	0.8866736621196223	0.8214067278287461	0.7877436017844565	0.9082099882866574	1.0	0.7796291319537758	1.0	0.8544194107452341		0.8403407229441957	0.9568287270526528		0.8986852992553094	0.8813618813618813	0.9700674536256324	1.0	0.7922794117647058	0.9087854056649064	0.9605815831987076	1.0	1.0	0.6486613433536872	0.653155159613957		0.7453142227122381	0.3576950105411103	0.7260612364298251	0.9974478945129732	1.0	0.7456790123456791	0.9592760180995475					1.0	1.0		1.0		1.0	1.0		1.0		1.0		0.8180152671755725			1.0	1.0	1.0	1.0	1.0			1.0				1.0		1.0			0.9957310565635006	0.696969696969697	0.36028537455410226	1.0													1.0			1.0			1.0			1.0	1.0		0.1828793774319066				1.0				1.0			1.0																																		1.0							1.0								1.0								1.0								
ABCB7_3	0.0							0.0		0.0					0.0				0.0		0.0				0.0																														0.0																	1.0																																																											1.0					0.0																																																								0.0	0.0									
ABCB7_4	0.0							0.0		0.0					0.0				0.0		0.0				0.0																														0.0																	1.0	1.0																																																										1.0					0.0																																																								0.0	0.0									
ABCD4_11						1.0																1.0																			0.5368663594470046																										1.0							1.0					1.0			1.0												1.0					1.0												0.10120068610634647					1.0											1.0							1.0	1.0	1.0																											1.0																										1.0			1.0	1.0						1.0			
ABCD4_9						1.0																																																													1.0												1.0															1.0				1.0													0.996007984031936																					0.0		0.0	0.8403908794788274	1.0																																																															1.0			
