	PC1	PC2	line_1	line_2	pseudotime	cell_type	AC
SRR4047452	28.5962185182224	9.778169143438259	28.112372398380398	-10.357821630478199	0.0	iPSC	1
SRR4047453	27.1482009952599	10.786016345032401	27.7548113867801	-10.0593480557053	0.46576426639915103	iPSC	1
SRR4047431	26.9166389629566	10.7289926844931	27.590270945202302	-9.92199911604494	0.680096457496116	iPSC	1
SRR4047415	26.853740079424895	10.710666586842699	27.544186154139105	-9.88353017357869	0.740127012231245	iPSC	1
SRR4047430	27.634126643175602	9.73688983761551	27.525052167639103	-9.86755821821465	0.7650511530897941	iPSC	1
SRR4047450	26.475481847002897	10.1234050843413	27.0321897000663	-9.45617970020977	1.40703689827252	iPSC	1
SRR4047404	27.0099160611057	9.43997518126893	27.011086699747402	-9.438572147679382	1.4345207576916	iPSC	1
SRR4047426	27.4261985996174	8.64421400323462	26.8650682554594	-9.316739830503652	1.62469041768154	iPSC	1
SRR4047425	26.3199135120465	9.568256823608301	26.667286336335398	-9.151756302179741	1.8822506089972901	iPSC	1
SRR4047424	27.691019209660503	7.79623941882353	26.6044200228892	-9.099330002369811	1.9641083531518702	iPSC	1
SRR4047441	25.783736585982105	10.020901632953	26.573618404824	-9.07364566886036	2.0042135231833798	iPSC	1
SRR4047410	26.7747272814513	8.68379436192297	26.5005238990417	-9.012696426336051	2.0993850364625297	iPSC	1
SRR4047448	27.2034011374957	7.931155913879981	26.3833351355272	-8.91500815661454	2.2519504464847597	iPSC	1
SRR4047440	26.9392731589852	8.228482742848769	26.3737181886717	-8.90699218549978	2.26447008944032	iPSC	1
SRR4047446	26.0163355729659	9.23801633664577	26.3256492663271	-8.86692550957648	2.3270477197479	iPSC	1
SRR4047406	25.9997557101163	8.99042815181327	26.194036772315197	-8.75725807705197	2.49836261792239	iPSC	1
SRR4047422	27.4619958758817	6.83571582875296	25.997893387007604	-8.59387309915547	2.75364065967722	iPSC	1
SRR4047435	25.6720241231525	8.3457487961347	25.683440714472198	-8.33203415159266	3.16283513388902	iPSC	1
SRR4047451	25.5305869853199	8.36399785457716	25.608857383449397	-8.26995535472738	3.25987352982943	iPSC	1
SRR4047434	26.232477229163603	7.4763055640915	25.587043176210198	-8.251799662479451	3.2882546643817996	iPSC	1
SRR4047408	25.3956684197983	8.25985786513325	25.477934348013395	-8.1609970543786	3.43020483179412	iPSC	1
SRR4047437	24.4569900898107	9.04599252361802	25.309776423985	-8.02106934427488	3.64896692053073	iPSC	1
SRR4047454	23.7533560653588	9.80572966132632	25.2674656107815	-7.98586641308269	3.70400737182305	iPSC	1
SRR4047405	23.6114340281888	9.74193507386716	25.152127095669304	-7.88990767725878	3.85404420746421	iPSC	1
