	C_score	pvals
AAMDC_5	0.008390147795298009	0.8238878031957696
mock_AAMDC_5_0	0.05556854749390594	0.061271410506954824
mock_AAMDC_5_1	0.03225065440065633	0.25796068513622256
mock_AAMDC_5_2	0.025260681554755693	0.3865961604782159
mock_AAMDC_5_4	0.040075100309245104	0.16185768479135532
mock_AAMDC_5_5	0.007409701131055435	0.8463041728934361
mock_AAMDC_5_6	0.06777967928860373	0.027474422347396252
mock_AAMDC_5_7	0.009957034284279298	0.7844579836762846
mock_AAMDC_5_8	0.015347620571684817	0.6424876422577308
mock_AAMDC_5_9	0.05246918503043996	0.07518105529371193
mock_AAMDC_5_10	0.01252077033425203	0.7153695827106564
mock_AAMDC_5_11	0.017629783875005245	0.5773077365214393
mock_AAMDC_5_12	0.040526117692353925	0.15737441085182205
mock_AAMDC_5_13	0.009928670157172248	0.7851477181285205
mock_AAMDC_5_14	0.03001910681493747	0.294631566846764
mock_AAMDC_5_15	0.03307351179045559	0.24577537648005518
mock_AAMDC_5_16	0.001732393899986251	0.9680423037130704
mock_AAMDC_5_17	0.024573021971364684	0.40027589378089434
mock_AAMDC_5_18	0.0548188100014767	0.0649499942522129
mock_AAMDC_5_19	0.06576732768591409	0.03115300609265433
mock_AAMDC_5_20	0.00786117437849998	0.8351534659156225
mock_AAMDC_5_21	0.004769967750936077	0.9075755834003908
mock_AAMDC_5_22	0.02392133027616128	0.4159098746982412
mock_AAMDC_5_23	0.0225609994915158	0.4485573054374066
mock_AAMDC_5_24	0.0013018577611008109	0.9772387630762157
mock_AAMDC_5_25	0.009530623922726189	0.7957236463961375
mock_AAMDC_5_27	0.013464704235270242	0.6901942752040464
mock_AAMDC_5_28	0.006935074082275783	0.8600988619381538
mock_AAMDC_5_29	0.030284632312189363	0.2892286469709162
mock_AAMDC_5_30	0.02442991915701631	0.4037245660420738
mock_AAMDC_5_31	0.023387673468519776	0.42889987354868375
mock_AAMDC_5_32	0.036001947235936194	0.2065754684446488
mock_AAMDC_5_33	0.01693108659767173	0.5960455224738476
mock_AAMDC_5_34	0.02784101523703686	0.33509598804460283
mock_AAMDC_5_35	0.032565233105430025	0.25382227842280725
mock_AAMDC_5_36	0.010567472742618489	0.7708932061156455
mock_AAMDC_5_37	0.015279731557106824	0.6442119783883204
mock_AAMDC_5_38	0.01756653292539323	0.5790320726520289
mock_AAMDC_5_39	0.010004708491071046	0.7836532934820094
mock_AAMDC_5_40	0.01720584148546278	0.5874238418208989
mock_AAMDC_5_41	0.03301185627832426	0.24612024370617314
mock_AAMDC_5_42	0.046216451130884906	0.11104724680997816
mock_AAMDC_5_43	0.0473843435937541	0.10391999080354064
