	C_score	pvals
AAMDC_3	0.011443978765935059	0.8514851485148515
AAMDC_5	0.008390147795298009	0.8514851485148515
ABI1_1	0.04049281045788933	0.2871287128712871
ABI1_8	0.16111241060466552	0.01485148514851485
ABL2_2	0.06456607628188082	0.019801980198019802
ACIN1_3	0.09647467223573136	0.0049504950495049506
ACOT9_2	0.02258564954184794	0.8217821782178217
ACOT9_4	0.027736283683193586	0.6881188118811881
ACSL3_1	0.030576626825581155	0.2376237623762376
ADIRF_1	0.0023350631627514495	0.9554455445544554
ADRM1_3	0.02436958792759636	0.7524752475247525
ADSL_2	0.0026922687696969705	0.9405940594059405
AHI1_7	0.020841453026116397	0.5297029702970297
AHI1_9	0.0455038260096946	0.17326732673267325
AIMP2_2	0.0018496535526257851	0.9752475247524752
AKAP9_8	0.0328458327406852	0.6534653465346535
AKIP1_2	0.006869630388605885	0.9405940594059405
AKR1A1_2	0.03981437809932875	0.21782178217821782
ALDOA_1	0.03412759198811066	0.3217821782178218
ALG11_4	0.019634878882676676	0.599009900990099
ANAPC15_2	0.06129642286756609	0.4405940594059406
ANAPC15_3	0.04596044532526933	0.5198019801980198
ANAPC16_1	0.010868205329663039	0.900990099009901
ANAPC16_2	0.024645006254103374	0.21782178217821782
ANAPC16_3	0.020988582000542988	0.400990099009901
ANAPC16_4	0.03284078530600276	0.39603960396039606
ANAPC16_6	0.01652353292638964	0.7524752475247525
ANAPC5_2	0.08698192815513328	0.3415841584158416
ANKRD10_3	0.056745960784643557	0.3811881188118812
ANXA2_2	0.17238870959228747	0.0049504950495049506
ANXA2_3	0.0028741415219416533	0.9504950495049505
ANXA2_5	0.024191988660437258	0.37623762376237624
ANXA2_7	0.09814170632171337	0.28217821782178215
ANXA7_1	0.027646587624325925	0.7178217821782178
AP2M1_5	0.09498971107914556	0.0049504950495049506
APOPT1_6	0.009446921612826897	0.7673267326732673
ARHGAP29_1	0.2350420878524887	0.009900990099009901
ARIH2_11	0.02303618239798766	0.44554455445544555
ARL4A_2	0.06572394478841825	0.13861386138613863
ARPC1B_10	0.006826978549797191	0.9257425742574258
ARPC1B_3	0.01996902041250881	0.806930693069307
ARPC1B_6	0.001135007699805679	0.9851485148514851
ARPP19_3	0.03664284254654493	0.4752475247524752
ASPH_12	0.022642383912084285	0.5742574257425742
ASPH_18	0.044135356990301466	0.17326732673267325
ATF2_6	0.04974264155286978	0.14356435643564355
ATG5_2	0.03903308481853607	0.2722772277227723
ATP2B1_2	0.3091012384765306	0.0049504950495049506
ATRX_3	0.03291216325943658	0.47029702970297027
AZIN1_1	0.026080187424821433	0.5544554455445545
AZIN1_4	0.02832389098490884	0.599009900990099
BBIP1_2	0.05227665385627145	0.47029702970297027
BBIP1_3	0.04028383100033228	0.42574257425742573
BBX_5	0.19227585956675108	0.054455445544554455
BCLAF1_2	0.0702167413073137	0.1188118811881188
BCLAF1_3	0.03418836174772644	0.5742574257425742
BECN1_10	0.009609543741066595	0.9158415841584159
BECN1_4	0.04719392595509886	0.4405940594059406
BLVRA_2	0.03208999847123073	0.7227722772277227
BOLA3_1	0.005037434538047614	0.8564356435643564
BROX_5	0.09835119875185772	0.19306930693069307
BTF3L4_2	0.0070683937671151	0.8811881188118812
C17orf49_1	0.024001058675953035	0.5198019801980198
C1orf43_1	0.11002073265519374	0.024752475247524754
C1orf52_1	0.05555289624954318	0.039603960396039604
C6orf48_2	0.019228055189737248	0.6633663366336634
C6orf48_3	0.0214191153979304	0.5198019801980198
C8orf59_1	0.028107459471888863	0.5792079207920792
C8orf59_2	0.009638896143200903	0.7722772277227723
C8orf59_3	0.008371851453067514	0.7871287128712872
CALCOCO2_6	0.05861663345549184	0.6188118811881188
CALD1_3	0.2186800713569892	0.009900990099009901
CAMTA1_2	0.005699211887427835	0.900990099009901
CAP1_1	0.048029848977282796	0.5594059405940595
CASP3_1	0.020857563163282133	0.5396039603960396
CASP3_2	0.010877309893008058	0.7475247524752475
CAST_1	0.028487590220401482	0.47029702970297027
CAST_10	0.03264168097178133	0.08415841584158416
CAST_3	0.02993879278176348	0.5445544554455446
CAST_8	0.031746866501582316	0.49504950495049505
CAV2_2	0.04543820745541127	0.46534653465346537
CBWD1_3	0.07152242150267507	0.13861386138613863
CBWD2_3	0.08038659791662262	0.30198019801980197
CCDC25_5	0.028663442458227606	0.4752475247524752
CCDC25_6	0.055555481515376814	0.054455445544554455
CCDC90B_2	0.06380192180152156	0.33663366336633666
CCDC90B_5	0.019785761199847762	0.5396039603960396
CCNC_1	0.14244720313136416	0.024752475247524754
CCNL1_4	0.03900696588966235	0.09900990099009901
CCNL1_6	0.03902180085302054	0.11386138613861387
CD59_6	0.02817182056848533	0.3069306930693069
