	PC1	PC2	line_1	line_2	pseudotime	cell_type	AC
SRR1033183	-4.629238154900589	33.9833609868919	-16.1075641427685	36.602377992098205	0.0	48	3
SRR1033010	-12.9620312473541	24.726476452768196	-18.5275453048505	25.9963633661303	10.878596190275399	24	3
SRR1033028	-12.183711166127999	24.0945949673217	-18.626071858130697	25.564552539868497	11.321504839297098	24	3
SRR1033278	-19.0727471465897	25.4738994166004	-18.667836626809898	25.381510723509496	11.5092509509448	72	3
SRR1032973	-22.313185743514104	25.232458505687198	-18.7742653153	24.7272101704243	12.172150852514699	0	3
SRR1033090	-15.2066573267727	21.834652095423998	-19.059237502185	22.239634938994303	14.6759958316062	24	3
SRR1032957	-22.070796364035697	20.409063333549103	-19.1754443964953	20.2898960017834	16.6291947373917	0	3
SRR1032941	-23.038976162062102	20.2989753091757	-19.1816050699554	20.140213049585302	16.7790044169062	0	3
SRR1032971	-18.928039790946396	19.292331530878002	-19.192668578946396	19.2893295221997	17.6299598672132	0	3
SRR1032970	-16.5968075296539	18.536244794230303	-19.1703169061903	18.424445947453197	18.4951322171767	0	3
SRR1032912	-20.8651316169629	18.091879196813604	-19.159089164879802	18.165993392951602	18.753828535479396	0	3
SRR1032968	-21.436939325353	17.602756384663	-19.1364880993518	17.7527222061743	19.1677172668834	0	3
SRR1033161	-27.2909520525033	17.1594087804585	-19.1342193775856	17.7179203845596	19.202592958792803	48	3
SRR1032965	-25.148641988927604	16.368424200041	-19.0700966122951	16.9951342681023	19.928217861323	0	3
SRR1032988	-25.8915358725694	15.0218505097205	-18.9456210729316	15.9890182383314	20.9420046363707	0	3
SRR1032930	-14.902966360651	16.5391158798808	-18.9438709722563	15.9764495288706	20.954694605239197	0	3
SRR1032972	-18.2671554763287	15.7874008240925	-18.9051770311014	15.698560998708198	21.235264126531103	0	3
SRR1032964	-21.0988789774342	14.0139442099063	-18.6833878304499	14.4917329655409	22.462302981320896	0	3
SRR1032981	-12.273129687979601	15.5065996792683	-18.635210219035198	14.248168016633	22.710587025468197	0	3
SRR1032924	-24.382340825301398	12.683077418798598	-18.5856139283026	14.006130377272502	22.9576538401594	0	3
SRR1033277	-21.2267850029146	12.947656684886901	-18.490727405391898	13.599842992935901	23.374874274583696	72	3
SRR1033275	-21.0740904868934	12.9686409894992	-18.4872509665107	13.585258606701801	23.389867271252697	72	3
SRR1032927	-23.3976971685747	11.920983851315901	-18.3861473401062	13.1832655043913	23.8043795118167	0	3
SRR1032929	-21.889568991041898	12.183733663356199	-18.372454999871103	13.130903791051303	23.858501865839898	0	3
SRR1032951	-21.8363469366615	11.7499576241011	-18.264128185978397	12.7286553019778	24.275081444756196	0	3
SRR1032953	-21.8060165317303	11.228219887379801	-18.1370512903955	12.2864419912869	24.735191376775997	0	3
SRR1033257	-18.4691584542532	11.945633940543	-18.070413763231603	12.0675043016366	24.964045636023897	72	3
SRR1032919	-14.272180746702098	12.8832235198456	-17.9590549166479	11.7074412029268	25.3409358425363	0	3
SRR1032985	-21.6467844947651	9.54533783882875	-17.6989513144452	10.932653865587499	26.1582174965455	0	3
SRR1032958	-15.9314367112094	11.526716027788	-17.6904861653711	10.9085649083879	26.183750545870105	0	3
SRR1032945	-17.331912246535403	10.6546572361614	-17.5716541344869	10.5704090553876	26.5421782686852	0	3
SRR1032989	-18.738119917878603	8.58766141776349	-17.065690159932302	9.25640734517974	27.950226576797	0	3
SRR1032916	-17.6838623973691	8.68743131786495	-16.9547550106643	8.978975756841349	28.2490156220296	0	3
SRR1032966	-16.481193681936	7.41309099971495	-16.3114837932454	7.48930791156883	29.871639468889605	0	3
SRR1032969	-10.0858870625504	9.553274090935561	-16.037933960179	6.8802027852679695	30.539350908103103	0	0
SRR1032963	-13.765403378062901	7.004793495967911	-15.671853655121	6.099113197390361	31.401972339579395	0	0
SRR1033077	-17.1344406989702	4.58709658555124	-15.358464148685698	5.45704565067116	32.116439775711896	24	3
SRR1032997	-12.9515303021386	6.34648284862793	-15.244064432744999	5.2235018479176105	32.3764974670266	0	0
SRR1032984	-9.3977072392983	7.17438683882086	-14.829159246240499	4.398480468741111	33.2999727454648	0	0
SRR1032910	-13.8366161352752	4.088792619713	-14.492667910281401	3.74776387705621	34.0325425386378	0	0
SRR1032980	-8.7255105746583	4.97175542474394	-13.700582954986698	2.2550891036706604	35.7223580775372	0	0
SRR1032960	-4.1046376525097	7.438073570400849	-13.6766339929451	2.21123100499053	35.7723289250656	0	0
SRR1033043	-16.1789658906446	-1.19040433163228	-12.841891506263199	0.6889645766535379	37.5084482495067	24	0
SRR1032952	-7.56599819027873	3.4073966494605	-12.7337862194029	0.497008978150693	37.7287519145778	0	0
SRR1033214	-12.7048959796333	-0.19880663116842	-12.4293216901456	-0.0436090862739745	38.3492086343884	72	0
SRR1032940	-6.92579641736261	2.82073374377763	-12.3103022138905	-0.252468549419946	38.589599797024704	0	0
SRR1032947	-4.93224007408545	3.2403339621715497	-11.963810949955	-0.8534823983664829	39.28333882764729	0	0
SRR1032974	-11.716024912707	-1.61348971836336	-11.568293068700699	-1.52642056639213	40.0639028367956	0	0
SRR1032946	-11.117139825876501	-1.4225750501959398	-11.4957453704827	-1.64869782725915	40.2060819387827	0	0
SRR1032915	-6.70559729983256	-1.6050383924531102	-10.0492798589076	-3.91717334241898	42.8964803551991	0	0
SRR1033264	-6.48022361729257	-1.9699581049923998	-9.80566330214519	-4.26947822495206	43.3248117187314	72	0
SRR1033148	-9.22403228780207	-4.44286013657283	-9.53640543803925	-4.65886415768843	43.7982261270418	48	0
SRR1033134	-10.140565746639401	-5.1201240493092595	-9.516061994771508	-4.68828372787696	43.833994364265095	48	0
SRR1033009	-7.08550808604193	-4.27423176554712	-8.84609100073517	-5.637657045078419	44.9959628785822	24	0
SRR1032956	-8.70577054041754	-6.96115888296299	-8.15310952071818	-6.47363619734699	46.0818194412433	0	0
SRR1032938	-7.73573824771037	-7.473021819417	-7.4725176609017	-7.2049342758709205	47.080820021474	0	0
SRR1033157	-7.29798135610209	-8.25369199710596	-6.8834721705045	-7.75317647006405	47.8855212661921	48	0
SRR1032967	-6.07117553554356	-7.18708602860529	-6.6797296514490405	-7.92190878920789	48.1500616404164	0	0
SRR1032944	-7.3124647275526105	-8.75387186617994	-6.64635361801815	-7.949549634872921	48.1933972603688	0	0
SRR1032978	-7.03456439844573	-8.787921365663859	-6.464784825022191	-8.09991846150951	48.429147150324404	0	0
SRR1033002	-4.06295188328786	-5.44984919664468	-6.06977517808765	-8.371410711638909	48.9084598489374	0	1
SRR1032961	-6.27776676483803	-8.86770409943133	-5.97947090471113	-8.43344080017268	49.0180161982448	0	0
SRR1033067	-6.3314540863132205	-9.088720025825	-5.949923247260919	-8.45304655313627	49.0534767341977	24	0
SRR1033044	-4.82095478382088	-8.55840339675417	-4.9417848556398	-8.92811963561775	50.167944073494304	24	0
SRR1033051	-5.324114911680599	-10.5884118495367	-4.79696870881304	-8.97544821787155	50.3202979742645	24	0
SRR1033012	-5.49433558942893	-11.580503642182	-4.65781822878945	-9.02092515593239	50.466691307398904	24	0
SRR1033222	-5.442457991010981	-11.551351716972402	-4.61955492944758	-9.03343030642759	50.506946230892	72	0
SRR1033034	-5.49047296985703	-11.894642923363	-4.56156946644741	-9.05238102301039	50.567949866671704	24	0
SRR1033087	-5.31267426414433	-12.200948896705501	-4.4746091436767	-9.08080125707444	50.659436518379096	24	0
SRR1033049	-5.10159752561182	-11.332033540372901	-4.4746091436767	-9.08080125707444	50.659436518379096	24	0
SRR1033078	-4.874759793213929	-10.3675642470194	-4.4746091436767	-9.08080125707444	50.659436518379096	24	0
SRR1033008	-4.9399746454215805	-11.5054884147259	-4.4231046717236	-9.09183062302485	50.7121086888721	24	0
SRR1033176	-4.544097684622769	-10.053173501663599	-4.36671887632701	-9.10376120065595	50.769742850661004	48	0
SRR1033041	-5.1814365424496795	-13.6550950165111	-4.33231133941157	-9.110189564695439	50.8047457428389	24	0
SRR1033246	-4.683589966470009	-11.5324035547749	-4.27355865463744	-9.121166335481279	50.864515028137	72	0
SRR1033082	-5.09322273025314	-14.461337274579199	-4.23714099581271	-9.12726117018352	50.9014391785581	24	0
SRR1033050	-4.66031986015454	-11.890217995504699	-4.21739336324052	-9.13043052645303	50.921439523839396	24	0
SRR1033052	-5.06123706129451	-14.8521066038986	-4.20547846592489	-9.132342783751199	50.933506897456596	24	0
SRR1033115	-4.68574379917474	-12.3654919404997	-4.20547846592489	-9.132342783751199	50.933506897456596	48	0
SRR1033253	-4.043224599044491	-8.13692494904835	-4.18973135986997	-9.13465508986095	50.949422867695596	72	0
SRR1033022	-4.50616043335643	-11.828723056670402	-4.14636877148111	-9.141022455249631	50.993250455055296	24	0
SRR1033154	-4.6237004286746695	-13.510794491130099	-4.08551950116646	-9.1489156698355	51.0546095337179	48	0
SRR1033193	-4.54960955369721	-15.795805169292601	-3.9588319647959302	-9.16225944647393	51.181997870101696	48	0
SRR1033281	-4.32042197291651	-13.602168885221902	-3.94900043753379	-9.16310886317109	51.19186602276729	72	0
SRR1033036	-4.12198537758625	-12.395215516394	-3.89163900499266	-9.167488633167741	51.2493944186114	24	0
SRR1033162	-4.04666551335857	-11.377508080357401	-3.8889613566776604	-9.16767972324406	51.252078876827795	48	0
SRR1033273	-4.11099888462883	-12.865765803194	-3.87779257602933	-9.168476782041688	51.2632760623625	72	0
SRR1033066	-4.07789832677789	-13.694257030478001	-3.83286705085698	-9.170910413528869	51.3082674545862	24	0
SRR1033042	-4.011635862681859	-13.929862908951499	-3.7922874546019	-9.17310862451926	51.348906546158	24	0
SRR1033181	-3.87536509593421	-14.5285620132632	-3.73731860643848	-9.17504512546763	51.4039094943003	48	0
SRR1032950	-3.6595348760067496	-6.50378655620638	-3.72212112620988	-9.1754011473666	51.4191111441084	0	1
SRR1033144	-3.8004905535655498	-13.5524314837504	-3.70444321914874	-9.17581527667928	51.4367939012789	48	0
SRR1033037	-3.75597496506069	-12.5339354050861	-3.7039935469752097	-9.175822237313449	51.43724362732229	24	0
SRR1033185	-3.6392167465381897	-14.3001980408917	-3.63629044957644	-9.1764850460634	51.5049499690698	48	0
SRR1033197	-3.59972072716335	-12.2864921646455	-3.61617807029763	-9.176453481835038	51.525062373116896	48	0
SRR1033191	-3.5565456778493196	-12.3431418436392	-3.5888614687780898	-9.17617474272742	51.5523803967289	48	0
SRR1033057	-3.5126782613473906	-11.278283157502802	-3.5580649409093796	-9.17574286545036	51.5831799526795	24	0
SRR1033114	-3.48255373615248	-12.6295751407439	-3.5580649409093796	-9.17574286545036	51.5831799526795	48	0
SRR1033105	-3.42374563010316	-13.300851744918198	-3.53850495784969	-9.17530267558668	51.6027448882636	48	0
SRR1033180	-3.43598066982732	-12.512858626477401	-3.52882808519212	-9.175033496531428	51.6124255040392	48	0
SRR1033119	-3.43023900951369	-10.938146915931599	-3.4982748261441405	-9.17408055196708	51.6429936204646	48	0
SRR1033065	-3.18836664641617	-13.7944910679848	-3.4325166944467003	-9.17117359044932	51.708815974643095	24	0
SRR1033111	-2.9178273168969304	-14.5252314027358	-3.3355321519731898	-9.16484047225584	51.80600707436339	48	0
SRR1033123	-2.8722066750054998	-13.946923054721301	-3.29827688577178	-9.16176072923533	51.8433894188165	48	0
SRR1033031	-3.00344661468566	-11.390971841036698	-3.25563958249095	-9.15781596903104	51.8862088158713	24	0
SRR1033103	-2.9859221121937	-11.778808985045	-3.25563958249095	-9.15781596903104	51.8862088158713	48	0
SRR1033138	-2.8685915705335896	-12.948790838222802	-3.25563958249095	-9.15781596903104	51.8862088158713	48	0
SRR1033109	-2.94803218720878	-11.3508818318173	-3.21291003333812	-9.15266719476899	51.9292474525505	48	0
SRR1033025	-3.38421602504081	-7.61011117278026	-3.1985514283720695	-9.15093702870935	51.9437099216054	24	0
SRR1033092	-2.64899731409769	-10.6355416128195	-2.92294355664704	-9.111449749353039	52.222135261917494	24	0
SRR1033170	-2.35554501859942	-12.134509697229301	-2.8996734644735302	-9.10726709181938	52.245778269632396	48	0
SRR1033207	-1.75231865691896	-13.840632582019598	-2.7789984667342598	-9.083230340194278	52.368823872999805	72	0
SRR1033136	-1.85860353281074	-12.955643960833399	-2.7493583670393402	-9.076808347939199	52.3991517066589	48	0
SRR1033126	-2.18242991494121	-11.3646320050861	-2.73624565684987	-9.07363853300497	52.4126421067727	48	0
SRR1033254	-2.01875959881035	-11.761341362073699	-2.6722159589419503	-9.05816024592856	52.4785160742029	72	0
SRR1033219	-1.7383149447647	-12.3788904594734	-2.5579427488645603	-9.03053629003758	52.5960807350515	72	0
SRR1033128	-1.7047528688425202	-11.929134019379498	-2.5040961964955297	-9.01604898860562	52.651842129446	48	0
SRR1033023	-2.165049950399	-9.994930806709869	-2.46588745711213	-9.00452034685773	52.691752245279204	24	0
SRR1033020	-1.80612573594623	-10.0942716234799	-2.20399846889135	-8.92381262773007	52.965795267591496	24	0
SRR1033146	-1.0845294376673	-12.008679160269198	-2.15285108879678	-8.9064261597076	53.01981696472179	48	0
SRR1033038	-1.94846766685114	-9.43587649059839	-2.14208612044418	-8.902518285961051	53.0312693016384	24	0
SRR1033131	-1.3524301491725799	-11.0328858155921	-2.12768854794857	-8.897291712716552	53.04658619302171	48	0
SRR1033190	-1.3763251954100502	-9.6492048484463	-1.7740400511542902	-8.75788762351269	53.4267187480227	48	0
SRR1033081	-1.46979340193336	-9.156322925154289	-1.66857731265826	-8.71082907168176	53.542204229843996	24	0
SRR1033166	-0.43629899907209596	-10.933862413864	-1.46814582124871	-8.62139449164378	53.7616839028327	48	0
SRR1033251	0.324868584669963	-11.596922260808102	-1.30013864150618	-8.54143802589779	53.94774692672421	72	0
SRR1032992	-2.86238487362109	-4.63388407297466	-0.7426700558849109	-8.23577055630952	54.583517188626296	0	1
SRR1032922	-2.09117336902272	-5.64969055430396	-0.6138698342395971	-8.159971460582192	54.732966176608706	0	1
SRR1032998	-1.98542666892771	-5.02413545179805	-0.131016538204772	-7.852465692964339	55.3054232515147	0	1
SRR1033186	1.04822534906539	-8.68044817423935	0.27670282466883	-7.57633861351885	55.797847096251296	48	1
SRR1033182	1.18176333596692	-8.6215986423594	0.38059469747761	-7.50335631771198	55.924811409099206	48	1
SRR1033005	-2.04153405648453	-3.2408100391464196	0.94157208790582	-7.0874502427128805	56.623147643153295	0	1
SRR1033266	-1.8595767591127699	-2.8413924247877995	1.24861895211064	-6.84933247272338	57.0117063249541	72	1
SRR1033152	-1.7568553108118101	-2.90809156577335	1.32621095226679	-6.78836730460706	57.1103839324022	48	1
SRR1033192	1.31580598436282	-6.736589308231849	1.3450517650546598	-6.77339736994651	57.134447913167	48	1
SRR1033150	2.86266025863868	-8.22025605504207	1.5591473774269	-6.60184670701684	57.4087954321801	48	1
SRR1033001	-1.4901556636131499	-2.39835857420857	1.8127268076838001	-6.3945461287470104	57.7363256707848	0	1
SRR1033040	3.58131019762679	-7.674701129786611	2.21775220212882	-6.0570837019910595	58.2635129805878	24	1
SRR1033060	2.82790228024106	-6.49877883831425	2.3539676300985297	-5.94135009469062	58.4422555627437	24	1
SRR1033184	1.8491134478652298	-5.3215397042295	2.36680572231315	-5.930434947576599	58.4591065878826	48	1
SRR1032994	0.6634169211037679	-3.61445531605537	2.5332429669711	-5.78799355166075	58.6781748596149	0	1
SRR1033075	2.3523022322341403	-5.33010709171509	2.6556320125393102	-5.68270613532572	58.839619954039	24	1
SRR1033139	1.5290029149320599	-3.8161869410360096	2.9509380154662206	-5.424697077072611	59.2317606296967	48	1
SRR1032928	-1.2917784867741202	-0.396217135895498	3.0646069478186697	-5.32421288295341	59.3834764807141	0	1
SRR1032962	1.78736134705946	-3.6834984291402204	3.16180668932813	-5.23828757784113	59.5132106235145	0	1
SRR1033237	-1.16830490948248	0.0773781841399893	3.3689261978110703	-5.0551923691016	59.7896565427421	72	1
SRR1033171	4.8810894390719195	-6.25539953858777	3.6123252165885003	-4.83969499069238	60.11474453458901	48	1
SRR1033153	3.52802145978822	-4.455608630500549	3.7570944547746	-4.709653719238361	60.309343775611104	48	1
SRR1033196	4.52532192483067	-4.10137668903483	4.48093500170346	-4.05279536791742	61.2867935344623	48	1
SRR1033132	4.5672199955275	-4.13132381560017	4.48885775989462	-4.04555664219531	61.297525228058205	48	1
SRR1033069	4.04177328584425	-3.4755627232805097	4.52947393130506	-4.0084455077394505	61.352542586052195	24	1
SRR1033125	5.72973464806099	-5.12175735910768	4.62719806546105	-3.91894008120144	61.4850613687824	48	1
SRR1032976	-0.7451452845672041	2.27813909835526	4.8160838716047	-3.7451964269190197	61.74170256805861	0	1
SRR1032939	4.4671252642149595	-3.11467170798985	4.94196744404138	-3.6289705599752904	61.913035944714295	0	1
SRR1033048	5.781560673561501	-4.45064671774	4.985669381519	-3.58862140660969	61.97251630715961	24	1
SRR1033094	3.75055525060538	-1.8706927330718797	5.17515720238082	-3.4136709676553196	62.230418013911	24	1
SRR1033147	5.6738087836865	-3.8287036164188497	5.23748554763359	-3.3561244123586405	62.315249780652294	48	1
SRR1033006	1.41876306009879	1.05820454470881	5.376189656926099	-3.2280615917766404	62.504032502187	24	1
SRR1033141	8.37664155056681	-6.37720568265535	5.426343897905969	-3.1817551514210294	62.5722947487562	48	1
SRR1033163	4.9176108137745995	-2.3574229528785	5.562572823202371	-3.05597762033491	62.7577086301501	48	1
SRR1033130	7.74725983068145	-3.21952171374318	6.65720839871353	-2.04255969696627	64.24943344746039	48	1
SRR1033076	6.93535477593493	-2.16943217607896	6.744084561674629	-1.96232354187696	64.3676929429538	24	1
SRR1033209	6.71705601117839	-1.3619082111734	7.02875752980842	-1.69942064640445	64.7551934348683	72	1
SRR1033269	8.63839139093516	-3.4144295710708303	7.04267003282635	-1.6865720877560402	64.7741313122458	72	1
SRR1032990	5.05390707913178	0.783630501194015	7.200548698650651	-1.5407670306385701	64.9890377751627	0	1
